Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,110.597616,[431 111] ; [ 71 115],[373.74175824 168.25824176] ; [128.25824176  57.74175824],1
d3,1,0.0,93.176817,[467  76] ; [96 90],[419.35390947 123.64609053] ; [143.64609053  42.35390947],1
a2,1,0.0,37.142047,[177 366] ; [ 18 168],[145.24691358 397.75308642] ; [ 49.75308642 136.24691358],1
u1,1,0.0,31.371331,[140 403] ; [ 12 174],[113.218107 429.781893] ; [ 38.781893 147.218107],1
b5,1,1.1e-05,19.379022,[356 187] ; [88 98],[330.71604938 212.28395062] ; [113.28395062  72.71604938],1
v4,1,0.000993,10.840058,[527  14] ; [171  15],[519.41953232  21.58046768] ; [178.58046768   7.41953232],1
p2,1,0.00735,7.185444,[459  82] ; [137  43],[447.20665742  93.79334258] ; [148.79334258  31.20665742],0
r1,1,0.008195,6.990351,[463  77] ; [144  42],[451.48760331  88.51239669] ; [155.51239669  30.48760331],0
b1,1,0.00839,6.948205,[192 351] ; [ 86 100],[207.06995885 335.93004115] ; [ 70.93004115 115.06995885],0
s5,1,0.010018,6.631707,[173 348] ; [77 98],[187.1408046 333.8591954] ; [ 62.8591954 112.1408046],0
d1,1,0.012427,6.248921,[397 146] ; [118  68],[383.60082305 159.39917695] ; [131.39917695  54.60082305],0
r4,1,0.014419,5.986108,[511  32] ; [165  21],[503.52263374  39.47736626] ; [172.47736626  13.52263374],0
p4,1,0.02213,5.235559,[332 207] ; [94 87],[318.90833333 220.09166667] ; [107.09166667  73.90833333],0
b3,1,0.02561,4.982142,[119 199] ; [59 61],[129.23287671 188.76712329] ; [48.76712329 71.23287671],0
b2,1,0.02561,4.982142,[119 199] ; [59 61],[129.23287671 188.76712329] ; [48.76712329 71.23287671],0
b4,1,0.051392,3.795461,[336 207] ; [100  86],[324.75720165 218.24279835] ; [111.24279835  74.75720165],0
a8,1,0.118358,2.438914,[ 70 413] ; [ 18 164],[ 63.91578947 419.08421053] ; [ 24.08421053 157.91578947],0
a1,1,0.1263,2.337404,[ 25 518] ; [ 14 172],[ 29.04938272 513.95061728] ; [  9.95061728 176.04938272],0
p10,1,0.12727,2.325487,[441  97] ; [139  42],[433.99165508 104.00834492] ; [146.00834492  34.99165508],0
u3,1,0.132997,2.257164,[90 48] ; [22 20],[85.86666667 52.13333333] ; [26.13333333 15.86666667],0
p12,1,0.144382,2.130619,[ 45 494] ; [  9 170],[ 40.53760446 498.46239554] ; [ 13.46239554 165.53760446],0
p8,1,0.153351,2.038599,[287 248] ; [85 94],[278.7394958 256.2605042] ; [93.2605042 85.7394958],0
r3,1,0.161711,1.958152,[523  17] ; [175  10],[519.88965517  20.11034483] ; [178.11034483   6.88965517],0
s8,1,0.167994,1.900756,[235 304] ; [91 93],[243.03457815 295.96542185] ; [ 82.96542185 101.03457815],0
s7,1,0.223852,1.479502,[252 266] ; [96 82],[259. 259.] ; [89. 89.],0
v2,1,0.225264,1.470516,[310 210] ; [98 82],[303.08571429 216.91428571] ; [104.91428571  75.08571429],0
u2,1,0.294521,1.098838,[86 51] ; [22 19],[83.12359551 53.87640449] ; [24.87640449 16.12359551],0
a3,1,0.362008,0.830917,[403 138] ; [144  41],[407.61294766 133.38705234] ; [139.38705234  45.61294766],0
n1,1,0.449053,0.573042,[43 71] ; [22 28],[45.18292683 68.81707317] ; [19.81707317 30.18292683],0
a4,1,0.454607,0.55914,[264 278] ; [96 89],[268.39064649 273.60935351] ; [91.60935351 93.39064649],0
d5,1,0.462689,0.539383,[481  62] ; [161  25],[478.19753086  64.80246914] ; [163.80246914  22.19753086],0
s6,1,0.467203,0.528584,[366 167] ; [117  61],[362.08016878 170.91983122] ; [120.91983122  57.08016878],0
s3,1,0.471723,0.517937,[303 231] ; [110  74],[307.16155989 226.83844011] ; [105.83844011  78.16155989],0
s4,1,0.494491,0.466739,[ 87 447] ; [ 34 150],[ 89.99164345 444.00835655] ; [ 31.00835655 152.99164345],0
n5,1,0.509665,0.434754,[393 147] ; [137  45],[396.39889197 143.60110803] ; [133.60110803  48.39889197],0
u4,1,0.538923,0.377539,[ 13 530] ; [  6 180],[ 14.15226337 528.84773663] ; [  4.84773663 181.15226337],0
s2,1,0.548427,0.360142,[290 248] ; [95 90],[286.4868603 251.5131397] ; [98.5131397 86.4868603],0
p1,1,0.571385,0.320371,[ 42 497] ; [ 12 172],[ 40.25726141 498.74273859] ; [ 13.74273859 170.25726141],0
v1,1,0.574096,0.315877,[287 242] ; [102  78],[290.24118477 238.75881523] ; [98.75881523 81.24118477],0
n6,1,0.586152,0.296394,[454  85] ; [151  32],[451.65512465  87.34487535] ; [153.34487535  29.65512465],0
d2,1,0.620562,0.245079,[292 250] ; [103  81],[294.88980716 247.11019284] ; [100.11019284  83.88980716],0
n2,1,0.66405,0.188642,[82 34] ; [37 13],[83.15662651 32.84337349] ; [35.84337349 14.15662651],0
p3,1,0.716799,0.131581,[270 272] ; [94 89],[272.12137931 269.87862069] ; [91.87862069 91.12137931],0
p7,1,0.750672,0.100967,[328 198] ; [114  65],[329.77588652 196.22411348] ; [112.22411348  66.77588652],0
p9,1,0.763767,0.090323,[451  83] ; [152  30],[449.72346369  84.27653631] ; [153.27653631  28.72346369],0
p11,1,0.773485,0.08284,[423 120] ; [143  43],[421.58847737 121.41152263] ; [144.41152263  41.58847737],0
a5,1,0.821706,0.050783,[416 127] ; [144  42],[417.11934156 125.88065844] ; [142.88065844  43.11934156],0
n4,1,0.826893,0.047824,[414 128] ; [142  42],[415.08539945 126.91460055] ; [140.91460055  43.08539945],0
n3,1,0.837974,0.041814,[80 36] ; [33 16],[79.44242424 36.55757576] ; [33.55757576 15.44242424],0
s1,1,0.857456,0.032261,[ 16 518] ; [  6 178],[ 16.36211699 517.63788301] ; [  5.63788301 178.36211699],0
v3,1,0.878271,0.023458,[210 308] ; [ 71 107],[209.13505747 308.86494253] ; [ 71.86494253 106.13505747],0
p6,1,0.962927,0.002161,[199 337] ; [ 65 111],[198.74157303 337.25842697] ; [ 65.25842697 110.74157303],0
p5,1,0.97577,0.000923,[ 60 479] ; [ 20 161],[ 59.88888889 479.11111111] ; [ 20.11111111 160.88888889],0
