Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,277.526991,[293  61] ; [ 46 235],[188.98582677 165.01417323] ; [150.01417323 130.98582677],1
s6,1,0.0,118.271069,[305  43] ; [132 146],[242.93290735 105.06709265] ; [194.06709265  83.93290735],1
s7,1,0.0,93.931508,[239 106] ; [ 80 188],[179.53507341 165.46492659] ; [139.46492659 128.53507341],1
s8,1,0.0,81.942093,[223 130] ; [ 76 205],[166.47791798 186.52208202] ; [132.52208202 148.47791798],1
s5,1,0.0,30.591152,[156 179] ; [ 69 208],[123.16176471 211.83823529] ; [101.83823529 175.16176471],1
a3,1,0.000217,13.681587,[287  65] ; [195  88],[267.18740157  84.81259843] ; [214.81259843  68.18740157],1
r2,1,0.000262,13.324862,[343   7] ; [256  23],[333.30683625  16.69316375] ; [265.69316375  13.30683625],1
s4,1,0.000361,12.723598,[ 75 275] ; [ 30 249],[ 58.42607313 291.57392687] ; [ 46.57392687 232.42607313],1
p12,1,0.000402,12.523632,[ 43 309] ; [ 12 270],[ 30.5362776 321.4637224] ; [ 24.4637224 257.5362776],1
p9,1,0.00053,12.008792,[318  33] ; [227  53],[303.16164818  47.83835182] ; [241.83835182  38.16164818],1
p2,1,0.001019,10.792352,[311  42] ; [222  61],[295.83176101  57.16823899] ; [237.16823899  45.83176101],0
r1,1,0.001963,9.583783,[303  51] ; [215  68],[287.86813187  66.13186813] ; [230.13186813  52.86813187],0
u4,1,0.00382,8.36743,[ 16 338] ; [  2 282],[  9.98746082 344.01253918] ; [  8.01253918 275.98746082],0
p4,1,0.004118,8.230985,[237 116] ; [158 124],[219.58267717 133.41732283] ; [175.41732283 106.58267717],0
r4,1,0.004575,8.040249,[333  21] ; [249  35],[322.92789969  31.07210031] ; [259.07210031  24.92789969],0
p10,1,0.005644,7.660684,[308  44] ; [223  58],[295.27962085  56.72037915] ; [235.72037915  45.27962085],0
d2,1,0.007596,7.126231,[212 142] ; [139 143],[195.36792453 158.63207547] ; [155.63207547 126.36792453],0
n4,1,0.007713,7.098978,[301  53] ; [218  66],[287.97178683  66.02821317] ; [231.02821317  52.97178683],0
r3,1,0.009834,6.664657,[345   8] ; [266  18],[338.59183673  14.40816327] ; [272.40816327  11.59183673],0
a2,1,0.011106,6.448264,[109 245] ; [ 62 222],[ 94.88087774 259.11912226] ; [ 76.11912226 207.88087774],0
