Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.083604,2.993413,[21 28] ; [29 19],[25.25773196 23.74226804] ; [24.74226804 23.25773196],0
p6,1,0.09929,2.716913,[17 94] ; [25 78],[21.78504673 89.21495327] ; [20.21495327 82.78504673],0
p7,1,0.205175,1.605153,[41 73] ; [47 59],[45.6 68.4] ; [42.4 63.6],0
s8,1,0.230855,1.435584,[18 95] ; [23 80],[21.44907407 91.55092593] ; [19.55092593 83.44907407],0
a7,1,0.249518,1.326002,[69 45] ; [56 50],[64.77272727 49.22727273] ; [60.22727273 45.77272727],0
n4,1,0.309115,1.034455,[66 47] ; [69 37],[69.65753425 43.34246575] ; [65.34246575 40.65753425],0
v4,1,0.320292,0.987752,[84 29] ; [84 21],[87.08256881 25.91743119] ; [80.91743119 24.08256881],0
p2,1,0.376962,0.780585,[55 60] ; [57 49],[58.28054299 56.71945701] ; [53.71945701 52.28054299],0
s5,1,0.390012,0.738903,[17 94] ; [20 81],[19.37264151 91.62735849] ; [17.62735849 83.37264151],0
u1,1,0.397359,0.716305,[ 15 100] ; [10 96],[ 13.00904977 101.99095023] ; [11.99095023 94.00904977],0
a6,1,0.401199,0.704731,[64 50] ; [53 52],[60.90410959 53.09589041] ; [56.09589041 48.90410959],0
n3,1,0.444732,0.584042,[27 23] ; [26 16],[28.80434783 21.19565217] ; [24.19565217 17.80434783],0
b4,1,0.485303,0.486923,[63 52] ; [63 43],[65.56561086 49.43438914] ; [60.43438914 45.56561086],0
b5,1,0.486937,0.483287,[73 42] ; [72 34],[75.45248869 39.54751131] ; [69.54751131 36.45248869],0
d3,1,0.490982,0.474372,[65 49] ; [55 50],[62.46575342 51.53424658] ; [57.53424658 47.46575342],0
p12,1,0.51384,0.42624,[  1 114] ; [  2 104],[  1.56108597 113.43891403] ; [  1.43891403 104.56108597],0
a3,1,0.530286,0.393843,[66 46] ; [58 48],[63.70642202 48.29357798] ; [60.29357798 45.70642202],0
s6,1,0.534769,0.385321,[49 64] ; [49 54],[51.26851852 61.73148148] ; [46.73148148 56.26851852],0
r3,1,0.551329,0.354941,[82 32] ; [80 26],[83.94545455 30.05454545] ; [78.05454545 27.94545455],0
s3,1,0.568563,0.325094,[48 64] ; [41 64],[45.93548387 66.06451613] ; [43.06451613 61.93548387],0
p1,1,0.573476,0.3169,[ 10 105] ; [ 7 98],[  8.88636364 106.11363636] ; [ 8.11363636 96.88636364],0
a8,1,0.574251,0.315621,[11 94] ; [13 87],[12.29268293 92.70731707] ; [11.70731707 88.29268293],0
s1,1,0.579181,0.30756,[ 11 103] ; [ 8 98],[  9.84545455 104.15454545] ; [ 9.15454545 96.84545455],0
p3,1,0.586016,0.296609,[39 75] ; [40 66],[40.93636364 73.06363636] ; [38.06363636 67.93636364],0
n6,1,0.59559,0.281698,[61 52] ; [61 45],[62.94977169 50.05022831] ; [59.05022831 46.94977169],0
a2,1,0.59643,0.280414,[25 90] ; [20 86],[23.41628959 91.58371041] ; [21.58371041 84.41628959],0
n2,1,0.602919,0.270616,[28 25] ; [25 18],[29.26041667 23.73958333] ; [23.73958333 19.26041667],0
u2,1,0.610747,0.259089,[19 28] ; [21 25],[20.21505376 26.78494624] ; [19.78494624 26.21505376],0
p8,1,0.613026,0.255792,[26 87] ; [27 77],[27.59907834 85.40092166] ; [25.40092166 78.59907834],0
r4,1,0.624377,0.239764,[69 46] ; [67 39],[70.76923077 44.23076923] ; [65.23076923 40.76923077],0
d2,1,0.675176,0.175607,[51 62] ; [44 60],[49.47004608 63.52995392] ; [45.52995392 58.47004608],0
p4,1,0.677382,0.173088,[41 73] ; [41 65],[42.49090909 71.50909091] ; [39.50909091 66.49090909],0
v1,1,0.700799,0.147642,[37 77] ; [37 69],[38.34545455 75.65454545] ; [35.65454545 70.34545455],0
a5,1,0.703871,0.144476,[68 47] ; [60 46],[66.60633484 48.39366516] ; [61.39366516 44.60633484],0
b2,1,0.742043,0.10834,[23 46] ; [19 43],[22.1221374 46.8778626] ; [19.8778626 42.1221374],0
b3,1,0.742043,0.10834,[23 46] ; [19 43],[22.1221374 46.8778626] ; [19.8778626 42.1221374],0
d1,1,0.758269,0.094713,[49 66] ; [43 63],[47.87330317 67.12669683] ; [44.12669683 61.87330317],0
v2,1,0.759281,0.093897,[38 74] ; [37 66],[39.06976744 72.93023256] ; [35.93023256 67.06976744],0
r1,1,0.766718,0.088014,[66 47] ; [64 42],[67.07762557 45.92237443] ; [62.92237443 43.07762557],0
s2,1,0.796912,0.066227,[34 80] ; [33 72],[34.87671233 79.12328767] ; [32.12328767 72.87671233],0
s4,1,0.813982,0.055362,[20 94] ; [17 87],[19.34862385 94.65137615] ; [17.65137615 86.34862385],0
r2,1,0.815826,0.05425,[91 21] ; [84 21],[90.32258065 21.67741935] ; [84.67741935 20.32258065],0
n1,1,0.824072,0.049422,[23 29] ; [20 23],[23.53684211 28.46315789] ; [19.46315789 23.53684211],0
d4,1,0.852068,0.034775,[78 35] ; [73 31],[78.63133641 34.36866359] ; [72.36866359 31.63133641],0
n5,1,0.871008,0.026367,[62 51] ; [57 49],[61.40182648 51.59817352] ; [57.59817352 48.40182648],0
p5,1,0.883485,0.021478,[  6 108] ; [ 6 99],[  6.24657534 107.75342466] ; [ 5.75342466 99.24657534],0
d5,1,0.898825,0.016166,[78 36] ; [71 34],[77.56164384 36.43835616] ; [71.43835616 33.56164384],0
p9,1,0.912922,0.011958,[30 82] ; [28 74],[30.35514019 81.64485981] ; [27.64485981 74.35514019],0
v3,1,0.954948,0.003192,[29 78] ; [28 74],[29.18181818 77.81818182] ; [27.81818182 74.18181818],0
s7,1,0.96838,0.001571,[29 76] ; [26 69],[28.875 76.125] ; [26.125 68.875],0
a4,1,0.970735,0.001346,[46 67] ; [43 62],[46.13302752 66.86697248] ; [42.86697248 62.13302752],0
a1,1,0.973481,0.001105,[ 11 104] ; [10 96],[ 10.92760181 104.07239819] ; [10.07239819 95.92760181],0
