Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,50.895753,[40  3] ; [25 67],[20.7037037 22.2962963] ; [44.2962963 47.7037037],1
s7,1,0.0,29.504946,[26 15] ; [14 74],[12.71317829 28.28682171] ; [27.28682171 60.71317829],1
s6,1,1.8e-05,18.39864,[33  9] ; [36 57],[21.46666667 20.53333333] ; [47.53333333 45.46666667],1
s8,1,2.8e-05,17.557456,[23 20] ; [17 76],[12.64705882 30.35294118] ; [27.35294118 65.64705882],1
s4,1,0.000233,13.546793,[16 27] ; [10 84],[ 8.16058394 34.83941606] ; [17.83941606 76.16058394],1
s5,1,0.002241,9.340641,[13 30] ; [ 9 85],[ 6.90510949 36.09489051] ; [15.09489051 78.90510949],0
b3,1,0.005776,7.618899,[ 1 27] ; [16 38],[ 5.80487805 22.19512195] ; [11.19512195 42.80487805],0
b2,1,0.005776,7.618899,[ 1 27] ; [16 38],[ 5.80487805 22.19512195] ; [11.19512195 42.80487805],0
u2,1,0.005844,7.59765,[ 2 18] ; [24 30],[ 7.02702703 12.97297297] ; [18.97297297 35.02702703],0
r2,1,0.027134,4.882288,[40  2] ; [75 18],[35.77777778  6.22222222] ; [79.22222222 13.77777778],0
d5,1,0.029131,4.75983,[26 17] ; [38 56],[20.08759124 22.91240876] ; [43.91240876 50.08759124],0
p10,1,0.031077,4.648677,[32  9] ; [54 38],[26.5112782 14.4887218] ; [59.4887218 32.5112782],0
n6,1,0.039305,4.247629,[36  7] ; [62 31],[30.98529412 12.01470588] ; [67.01470588 25.98529412],0
r3,1,0.044888,4.022845,[39  4] ; [70 22],[34.71851852  8.28148148] ; [74.28148148 17.71851852],0
n2,1,0.059678,3.546315,[13  1] ; [22 11],[10.42553191  3.57446809] ; [24.57446809  8.42553191],0
n3,1,0.06954,3.293853,[13  1] ; [21 10],[10.57777778  3.42222222] ; [23.42222222  7.57777778],0
r4,1,0.072127,3.233933,[36  7] ; [65 29],[31.70072993 11.29927007] ; [69.29927007 24.70072993],0
p7,1,0.102641,2.664021,[23 18] ; [38 55],[18.6641791 22.3358209] ; [42.3358209 50.6641791],0
p3,1,0.124245,2.362978,[10 32] ; [35 59],[13.89705882 28.10294118] ; [31.10294118 62.89705882],0
v4,1,0.161777,1.957533,[38  3] ; [77 15],[35.45112782  5.54887218] ; [79.54887218 12.45112782],0
u1,1,0.183049,1.772696,[ 2 41] ; [ 1 93],[ 0.94160584 42.05839416] ; [ 2.05839416 91.94160584],0
r1,1,0.220158,1.503341,[28 14] ; [51 41],[24.76119403 17.23880597] ; [54.23880597 37.76119403],0
p8,1,0.244011,1.357269,[13 30] ; [37 54],[16.04477612 26.95522388] ; [33.95522388 57.04477612],0
a3,1,0.277404,1.179763,[23 20] ; [40 52],[20.06666667 22.93333333] ; [42.93333333 49.06666667],0
b4,1,0.282513,1.154961,[23 20] ; [41 53],[20.08759124 22.91240876] ; [43.91240876 50.08759124],0
p2,1,0.362905,0.827816,[31 11] ; [62 32],[28.72058824 13.27941176] ; [64.27941176 29.72058824],0
p9,1,0.365181,0.819996,[32 11] ; [60 30],[29.7443609 13.2556391] ; [62.2556391 27.7443609],0
a7,1,0.396478,0.718981,[26 17] ; [49 44],[23.71323529 19.28676471] ; [51.28676471 41.71323529],0
p1,1,0.397094,0.717107,[ 5 37] ; [ 7 87],[ 3.70588235 38.29411765] ; [ 8.29411765 85.70588235],0
d1,1,0.415557,0.662847,[ 2 41] ; [ 2 92],[ 1.25547445 41.74452555] ; [ 2.74452555 91.25547445],0
n1,1,0.465819,0.531876,[4 9] ; [14 19],[5.08695652 7.91304348] ; [12.91304348 20.08695652],0
n4,1,0.507674,0.438857,[26 16] ; [63 30],[27.68888889 14.31111111] ; [61.31111111 31.68888889],0
v2,1,0.509037,0.436047,[16 27] ; [27 59],[14.33333333 28.66666667] ; [28.66666667 57.33333333],0
s1,1,0.528043,0.398157,[ 4 38] ; [ 6 87],[ 3.11111111 38.88888889] ; [ 6.88888889 86.11111111],0
v1,1,0.560665,0.338554,[19 24] ; [35 55],[17.45864662 25.54135338] ; [36.54135338 53.45864662],0
a4,1,0.598624,0.277077,[ 8 35] ; [21 72],[ 9.16911765 33.83088235] ; [19.83088235 73.16911765],0
p4,1,0.605874,0.266227,[18 25] ; [35 59],[16.6350365 26.3649635] ; [36.3649635 57.6350365],0
d2,1,0.649699,0.20628,[ 9 34] ; [23 71],[10.04379562 32.95620438] ; [21.95620438 72.04379562],0
d3,1,0.668436,0.183436,[12 31] ; [23 71],[10.98540146 32.01459854] ; [24.01459854 69.98540146],0
n5,1,0.68552,0.163979,[30 13] ; [68 25],[30.98529412 12.01470588] ; [67.01470588 25.98529412],0
v3,1,0.688176,0.161068,[12 30] ; [23 68],[11.05263158 30.94736842] ; [23.94736842 67.05263158],0
b1,1,0.720722,0.127802,[16 27] ; [38 56],[16.94890511 26.05109489] ; [37.05109489 56.94890511],0
u3,1,0.731805,0.11746,[ 8 12] ; [24 30],[ 8.64864865 11.35135135] ; [23.35135135 30.64864865],0
a2,1,0.759148,0.094004,[ 3 40] ; [ 8 86],[ 3.45255474 39.54744526] ; [ 7.54744526 86.45255474],0
a5,1,0.808862,0.058513,[22 21] ; [46 48],[21.34306569 21.65693431] ; [46.65693431 47.34306569],0
p11,1,0.826568,0.048007,[28 15] ; [63 31],[28.5620438 14.4379562] ; [62.4379562 31.5620438],0
a6,1,0.882332,0.021908,[23 20] ; [49 45],[22.59854015 20.40145985] ; [49.40145985 44.59854015],0
a8,1,0.892867,0.018138,[ 3 33] ; [ 8 80],[ 3.19354839 32.80645161] ; [ 7.80645161 80.19354839],0
p5,1,0.904259,0.014468,[ 2 40] ; [ 4 89],[ 1.86666667 40.13333333] ; [ 4.13333333 88.86666667],0
b5,1,0.933385,0.006987,[23 20] ; [51 43],[23.22627737 19.77372263] ; [50.77372263 43.22627737],0
