Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.550248,[22 28] ; [88  6],[38.19444444 11.80555556] ; [71.80555556 22.19444444],1
r2,1,1.2e-05,19.208101,[33 16] ; [89  5],[41.8041958  7.1958042] ; [80.1958042 13.8041958],1
d3,1,0.000226,13.599608,[ 9 41] ; [46 47],[19.23076923 30.76923077] ; [35.76923077 57.23076923],1
a7,1,0.00026,13.340715,[18 32] ; [63 30],[28.32167832 21.67832168] ; [52.67832168 40.32167832],1
v4,1,0.000316,12.975992,[35 14] ; [87  6],[42.09859155  6.90140845] ; [79.90140845 13.09859155],1
a5,1,0.000331,12.888657,[16 34] ; [59 34],[26.22377622 23.77622378] ; [48.77622378 44.22377622],1
n6,1,0.000706,11.473944,[33 17] ; [83 10],[40.55944056  9.44055944] ; [75.44055944 17.55944056],1
v2,1,0.000733,11.404492,[12 36] ; [49 40],[21.37226277 26.62773723] ; [39.62773723 49.37226277],1
v3,1,0.003338,8.612855,[ 9 41] ; [39 53],[16.90140845 33.09859155] ; [31.09859155 60.90140845],0
u3,1,0.004974,7.888934,[ 9 23] ; [24 15],[14.87323944 17.12676056] ; [18.12676056 20.87323944],0
a3,1,0.005463,7.719435,[18 32] ; [55 36],[25.88652482 24.11347518] ; [47.11347518 43.88652482],0
a6,1,0.006527,7.398653,[21 29] ; [61 32],[28.67132867 21.32867133] ; [53.32867133 39.67132867],0
u2,1,0.010167,6.605321,[ 8 23] ; [22 17],[13.28571429 17.71428571] ; [16.71428571 22.28571429],0
r3,1,0.011713,6.353779,[35 14] ; [83 11],[40.43356643  8.56643357] ; [77.56643357 16.43356643],0
p10,1,0.01299,6.170503,[31 18] ; [74 16],[37.01438849 11.98561151] ; [67.98561151 22.01438849],0
p11,1,0.016932,5.703437,[30 20] ; [74 20],[36.11111111 13.88888889] ; [67.88888889 26.11111111],0
s3,1,0.019055,5.496489,[20 30] ; [54 35],[26.61870504 23.38129496] ; [47.38129496 41.61870504],0
