Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,44.692985,[132  29] ; [75 87],[103.17956656  57.82043344] ; [103.82043344  58.17956656],1
v1,1,0.0,27.63411,[120  40] ; [73 85],[97.10691824 62.89308176] ; [95.89308176 62.10691824],1
p3,1,0.004107,8.235747,[103  58] ; [79 85],[90.16 70.84] ; [91.84 72.16],0
n5,1,0.006918,7.294164,[144  17] ; [127  35],[135.08049536  25.91950464] ; [135.91950464  26.08049536],0
s8,1,0.015368,5.87376,[120  39] ; [104  61],[109.92592593  49.07407407] ; [114.07407407  50.92592593],0
p11,1,0.024766,5.04018,[137  25] ; [123  42],[128.80733945  33.19266055] ; [131.19266055  33.80733945],0
d3,1,0.025113,5.016101,[120  41] ; [104  61],[110.62576687  50.37423313] ; [113.37423313  51.62576687],0
p1,1,0.025624,4.981222,[ 23 138] ; [ 11 153],[ 16.84307692 144.15692308] ; [ 17.15692308 146.84307692],0
p7,1,0.041699,4.147373,[117  40] ; [103  58],[108.6163522  48.3836478] ; [111.3836478  49.6163522],0
n4,1,0.044923,4.021523,[148  14] ; [137  26],[142.06153846  19.93846154] ; [142.93846154  20.06153846],0
p5,1,0.057842,3.598206,[ 36 126] ; [ 23 140],[ 29.40923077 132.59076923] ; [ 29.59076923 133.40923077],0
p6,1,0.076763,3.13213,[79 80] ; [65 98],[71.10559006 87.89440994] ; [72.89440994 90.10559006],0
p8,1,0.087712,2.915874,[96 63] ; [83 80],[88.38819876 70.61180124] ; [90.61180124 72.38819876],0
p12,1,0.099053,2.720729,[ 22 139] ; [ 13 150],[ 17.39197531 143.60802469] ; [ 17.60802469 145.39197531],0
n6,1,0.110173,2.551731,[147  12] ; [141  21],[142.65420561  16.34579439] ; [145.34579439  16.65420561],0
s5,1,0.125323,2.3495,[71 87] ; [ 58 101],[64.29652997 93.70347003] ; [64.70347003 94.29652997],0
p10,1,0.161155,1.963356,[143  18] ; [136  27],[138.63888889  22.36111111] ; [140.36111111  22.63888889],0
a1,1,0.170952,1.874572,[ 14 148] ; [  8 157],[ 10.89908257 151.10091743] ; [ 11.10091743 153.89908257],0
r4,1,0.20487,1.607312,[150  12] ; [146  19],[146.64220183  15.35779817] ; [149.35779817  15.64220183],0
d1,1,0.215676,1.532911,[106  56] ; [97 68],[100.56880734  61.43119266] ; [102.43119266  62.56880734],0
d5,1,0.236028,1.404163,[136  24] ; [132  33],[131.93846154  28.06153846] ; [136.06153846  28.93846154],0
d4,1,0.332846,0.937792,[139  21] ; [137  28],[135.87692308  24.12307692] ; [140.12307692  24.87692308],0
n1,1,0.354894,0.855881,[13 15] ; [27 20],[14.93333333 13.06666667] ; [25.06666667 21.93333333],0
r2,1,0.40205,0.702186,[153   8] ; [155   5],[154.47975078   6.52024922] ; [153.52024922   6.47975078],0
a8,1,0.404211,0.695762,[ 26 116] ; [ 34 119],[ 28.88135593 113.11864407] ; [ 31.11864407 121.88135593],0
s1,1,0.414975,0.664501,[  5 155] ; [  8 155],[  6.43962848 153.56037152] ; [  6.56037152 156.43962848],0
s2,1,0.428268,0.627516,[112  49] ; [108  57],[108.65030675  52.34969325] ; [111.34969325  53.65030675],0
u3,1,0.455514,0.556895,[21  8] ; [19 11],[19.66101695  9.33898305] ; [20.33898305  9.66101695],0
p4,1,0.477884,0.503689,[111  50] ; [107  57],[107.99384615  53.00615385] ; [110.00615385  53.99384615],0
b3,1,0.478576,0.502106,[57 62] ; [52 68],[54.27196653 64.72803347] ; [54.72803347 65.27196653],0
b2,1,0.478576,0.502106,[57 62] ; [52 68],[54.27196653 64.72803347] ; [54.72803347 65.27196653],0
u4,1,0.501681,0.451379,[  6 156] ; [  4 161],[  4.95412844 157.04587156] ; [  5.04587156 159.95412844],0
