Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,43.873413,[13 63] ; [86 47],[36. 40.] ; [63. 70.],1
s3,1,0.0,37.562904,[21 55] ; [95 38],[42.18181818 33.81818182] ; [73.81818182 59.18181818],1
s8,1,0.0,35.65132,[16 61] ; [85 49],[36.85781991 40.14218009] ; [64.14218009 69.85781991],1
s7,1,0.0,30.418273,[19 54] ; [88 45],[37.91747573 35.08252427] ; [69.08252427 63.91747573],1
s5,1,0.000193,13.900129,[15 60] ; [59 69],[27.33990148 47.66009852] ; [46.66009852 81.33990148],1
p6,1,0.000326,12.913485,[14 60] ; [57 73],[25.75490196 48.24509804] ; [45.24509804 84.75490196],1
p10,1,0.000958,10.907812,[51 25] ; [114  18],[60.28846154 15.71153846] ; [104.71153846  27.28846154],1
s4,1,0.00224,9.341379,[ 6 71] ; [ 33 100],[14.3 62.7] ; [ 24.7 108.3],0
p9,1,0.003406,8.576267,[57 20] ; [119  14],[64.53333333 12.46666667] ; [111.46666667  21.53333333],0
n4,1,0.003805,8.374602,[51 26] ; [112  22],[59.48341232 17.51658768] ; [103.51658768  30.48341232],0
p3,1,0.004693,7.993963,[26 50] ; [73 61],[35.82857143 40.17142857] ; [63.17142857 70.82857143],0
p12,1,0.012624,6.220984,[ 1 75] ; [ 14 118],[ 5.48076923 70.51923077] ; [  9.51923077 122.48076923],0
n5,1,0.02742,4.864194,[53 23] ; [111  23],[59.35238095 16.64761905] ; [104.64761905  29.35238095],0
p4,1,0.030887,4.659233,[32 43] ; [78 56],[39.47368421 35.52631579] ; [70.52631579 63.47368421],0
d5,1,0.049497,3.858415,[50 27] ; [103  30],[56.1 20.9] ; [96.9 36.1],0
v3,1,0.055819,3.657444,[22 54] ; [55 75],[28.40776699 47.59223301] ; [48.59223301 81.40776699],0
n3,1,0.061469,3.49729,[21  4] ; [19 12],[17.85714286  7.14285714] ; [22.14285714  8.85714286],0
d3,1,0.073024,3.213711,[27 50] ; [64 70],[33.20853081 43.79146919] ; [57.79146919 76.20853081],0
v4,1,0.076624,3.135087,[66 10] ; [125   8],[69.45454545  6.54545455] ; [121.54545455  11.45454545],0
r1,1,0.081401,3.036707,[50 27] ; [102  32],[55.46919431 21.53080569] ; [96.53080569 37.46919431],0
r4,1,0.090769,2.860674,[59 18] ; [115  19],[63.49763033 13.50236967] ; [110.50236967  23.49763033],0
p8,1,0.099136,2.719388,[31 45] ; [69 62],[36.71497585 39.28502415] ; [63.28502415 67.71497585],0
v1,1,0.151494,2.057141,[36 40] ; [75 55],[40.95145631 35.04854369] ; [70.04854369 59.95145631],0
p5,1,0.170811,1.875807,[ 6 70] ; [ 19 114],[ 9.09090909 66.90909091] ; [ 15.90909091 117.09090909],0
a2,1,0.188508,1.729242,[ 4 73] ; [ 14 120],[ 6.56872038 70.43127962] ; [ 11.43127962 122.56872038],0
a1,1,0.195062,1.678967,[ 2 75] ; [  9 125],[ 4.01421801 72.98578199] ; [  6.98578199 127.01421801],0
v2,1,0.195878,1.672848,[41 34] ; [57 69],[36.56716418 38.43283582] ; [61.43283582 64.56716418],0
d2,1,0.230146,1.439962,[40 36] ; [59 75],[35.82857143 40.17142857] ; [63.17142857 70.82857143],0
p2,1,0.234962,1.410569,[55 20] ; [107  26],[58.41346154 16.58653846] ; [103.58653846  29.41346154],0
n6,1,0.243689,1.359127,[60 17] ; [113  21],[63.13270142 13.86729858] ; [109.86729858  24.13270142],0
a5,1,0.309715,1.031889,[50 27] ; [96 38],[53.27962085 23.72037915] ; [92.72037915 41.27962085],0
d4,1,0.318161,0.996489,[53 24] ; [100  33],[56.1 20.9] ; [96.9 36.1],0
u1,1,0.394454,0.725168,[ 3 74] ; [  9 125],[ 4.37914692 72.62085308] ; [  7.62085308 126.37914692],0
r3,1,0.395753,0.721193,[70  7] ; [126   8],[71.52606635  5.47393365] ; [124.47393365   9.52606635],0
