Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.457085,[ 3 15] ; [64 21],[11.70873786  6.29126214] ; [55.29126214 29.70873786],1
v4,1,3.4e-05,17.177053,[ 6 12] ; [69 16],[13.10679612  4.89320388] ; [61.89320388 23.10679612],1
r1,1,0.000437,12.365592,[ 4 14] ; [57 28],[10.66019417  7.33980583] ; [50.33980583 34.66019417],1
d2,1,0.005825,7.603786,[ 3 15] ; [43 39],[8.28 9.72] ; [37.72 44.28],0
r3,1,0.018587,5.539962,[ 8 10] ; [62 23],[12.23300971  5.76699029] ; [57.76699029 27.23300971],0
d1,1,0.021943,5.250271,[ 3 15] ; [39 46],[ 7.33980583 10.66019417] ; [34.66019417 50.33980583],0
a8,1,0.02721,4.877453,[ 4 14] ; [ 5 79],[ 1.58823529 16.41176471] ; [ 7.41176471 76.58823529],0
u3,1,0.029727,4.725,[2 8] ; [19 13],[5. 5.] ; [16. 16.],0
v1,1,0.043924,4.059466,[ 2 16] ; [29 53],[ 5.58 12.42] ; [25.42 56.58],0
d5,1,0.058268,3.585998,[ 7 11] ; [53 31],[10.58823529  7.41176471] ; [49.41176471 34.58823529],0
d3,1,0.070923,3.261519,[ 5 13] ; [43 41],[8.47058824 9.52941176] ; [39.52941176 44.47058824],0
p11,1,0.078007,3.105938,[ 5 13] ; [43 42],[8.38834951 9.61165049] ; [39.61165049 45.38834951],0
n2,1,0.078247,3.100944,[2 4] ; [26 11],[3.90697674 2.09302326] ; [24.09302326 12.90697674],0
a4,1,0.079961,3.065693,[ 4 14] ; [37 46],[ 7.30693069 10.69306931] ; [33.69306931 49.30693069],0
s7,1,0.115385,2.478873,[ 2 14] ; [25 53],[ 4.59574468 11.40425532] ; [22.40425532 55.59574468],0
s8,1,0.122944,2.37941,[ 2 16] ; [24 60],[ 4.58823529 13.41176471] ; [21.41176471 62.58823529],0
b1,1,0.155217,2.020218,[12  6] ; [41 44],[9.26213592 8.73786408] ; [43.73786408 41.26213592],0
a3,1,0.217603,1.520108,[8 9] ; [53 31],[10.26732673  6.73267327] ; [50.73267327 33.26732673],0
p12,1,0.221281,1.496043,[ 1 17] ; [ 1 84],[ 0.34951456 17.65048544] ; [ 1.65048544 83.34951456],0
