Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,37.090436,[61 86] ; [173  65],[89.34545455 57.65454545] ; [144.65454545  93.34545455],1
v3,1,0.0,26.115449,[ 44 102] ; [135 102],[68.23498695 77.76501305] ; [110.76501305 126.23498695],1
n5,1,4.1e-05,16.822997,[103  46] ; [208  33],[118.81794872  30.18205128] ; [192.18205128  48.81794872],1
d5,1,0.001563,10.002692,[117  33] ; [217  25],[127.80612245  22.19387755] ; [206.19387755  35.80612245],0
n2,1,0.008058,7.020499,[17 14] ; [25  4],[21.7  9.3] ; [20.3  8.7],0
d1,1,0.009478,6.730372,[83 67] ; [166  77],[95.03816794 54.96183206] ; [153.96183206  89.03816794],0
b5,1,0.012665,6.21534,[74 76] ; [151  92],[85.8778626 64.1221374] ; [139.1221374 103.8778626],0
a3,1,0.013023,6.165948,[105  45] ; [195  46],[115.08951407  34.91048593] ; [184.91048593  56.08951407],0
p10,1,0.013823,6.060575,[122  27] ; [218  23],[129.8974359  19.1025641] ; [210.1025641  30.8974359],0
d4,1,0.0203,5.385953,[119  31] ; [213  29],[127.04081633  22.95918367] ; [204.95918367  37.04081633],0
r2,1,0.039029,4.259607,[137  11] ; [234   7],[141.15167095   6.84832905] ; [229.84832905  11.15167095],0
n1,1,0.040132,4.212299,[ 9 22] ; [16 13],[12.91666667 18.08333333] ; [12.08333333 16.91666667],0
r4,1,0.046506,3.963187,[133  17] ; [229  14],[138.16793893  11.83206107] ; [223.83206107  19.16793893],0
s8,1,0.053546,3.726787,[68 80] ; [135 106],[77.23393316 70.76606684] ; [125.76606684 115.23393316],0
p12,1,0.073011,3.213987,[ 11 138] ; [ 32 210],[ 16.38618926 132.61381074] ; [ 26.61381074 215.38618926],0
p9,1,0.081275,3.039213,[130  19] ; [224  18],[134.90025575  14.09974425] ; [219.09974425  22.90025575],0
n4,1,0.086876,2.931327,[119  31] ; [208  34],[125.12755102  24.87244898] ; [201.87244898  40.12755102],0
s3,1,0.0947,2.792604,[95 53] ; [134 107],[87.12596401 60.87403599] ; [141.87403599  99.12596401],0
a5,1,0.132509,2.262867,[112  38] ; [197  46],[117.9389313  32.0610687] ; [191.0610687  51.9389313],0
a2,1,0.141992,2.156242,[ 36 114] ; [ 75 168],[ 42.36641221 107.63358779] ; [ 68.63358779 174.36641221],0
a7,1,0.144209,2.132459,[104  46] ; [184  58],[110.20408163  39.79591837] ; [177.79591837  64.20408163],0
b2,1,0.158086,1.992439,[32 62] ; [68 90],[37.3015873 56.6984127] ; [62.6984127 95.3015873],0
b3,1,0.158086,1.992439,[32 62] ; [68 90],[37.3015873 56.6984127] ; [62.6984127 95.3015873],0
s4,1,0.158987,1.983836,[ 32 117] ; [ 38 202],[ 26.81233933 122.18766067] ; [ 43.18766067 196.81233933],0
d3,1,0.164149,1.935579,[102  48] ; [181  62],[108.01526718  41.98473282] ; [174.98473282  68.01526718],0
n6,1,0.186848,1.742294,[127  23] ; [215  26],[131.20204604  18.79795396] ; [210.79795396  30.20204604],0
r3,1,0.189662,1.720244,[139   9] ; [235   8],[141.56521739   6.43478261] ; [232.43478261  10.56521739],0
a8,1,0.202507,1.624203,[ 14 124] ; [ 32 184],[ 17.93220339 120.06779661] ; [ 28.06779661 187.93220339],0
p7,1,0.211559,1.560729,[114  35] ; [197  44],[118.81794872  30.18205128] ; [192.18205128  48.81794872],0
p8,1,0.244531,1.35428,[98 51] ; [172  69],[103.15384615  45.84615385] ; [166.84615385  74.15384615],0
a4,1,0.24769,1.336287,[66 84] ; [121 121],[71.55612245 78.44387755] ; [115.44387755 126.55612245],0
v4,1,0.346624,0.885779,[142   7] ; [236   7],[143.67857143   5.32142857] ; [234.32142857   8.67857143],0
u1,1,0.358164,0.84432,[ 31 119] ; [ 60 183],[ 34.73282443 115.26717557] ; [ 56.26717557 186.73282443],0
d2,1,0.377646,0.778351,[74 76] ; [131 112],[78.24427481 71.75572519] ; [126.75572519 116.24427481],0
r1,1,0.38465,0.755789,[118  31] ; [201  42],[121.25255102  27.74744898] ; [197.74744898  45.25255102],0
s7,1,0.393655,0.727622,[79 62] ; [138  90],[82.91869919 58.08130081] ; [134.08130081  93.91869919],0
s5,1,0.394026,0.726482,[55 88] ; [100 133],[58.94946809 84.05053191] ; [ 96.05053191 136.94946809],0
u3,1,0.44586,0.581154,[25 19] ; [31 17],[26.7826087 17.2173913] ; [29.2173913 18.7826087],0
p5,1,0.487759,0.481466,[ 26 124] ; [ 49 194],[ 28.6259542 121.3740458] ; [ 46.3740458 196.6259542],0
p6,1,0.493836,0.468157,[72 77] ; [123 114],[75.27202073 73.72797927] ; [119.72797927 117.27202073],0
p11,1,0.502686,0.449262,[122  28] ; [204  39],[124.42748092  25.57251908] ; [201.57251908  41.42748092],0
a6,1,0.552037,0.353681,[103  47] ; [173  69],[105.6122449  44.3877551] ; [170.3877551  71.6122449],0
p1,1,0.560765,0.338381,[ 21 129] ; [ 29 213],[ 19.13265306 130.86734694] ; [ 30.86734694 211.13265306],0
