Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.132478,[ 5 34] ; [11  3],[11.77358491 27.22641509] ; [4.22641509 9.77358491],1
s6,1,0.001956,9.59051,[ 6 34] ; [8 6],[10.37037037 29.62962963] ; [ 3.62962963 10.37037037],0
s7,1,0.005159,7.822807,[ 5 33] ; [7 7],[ 8.76923077 29.23076923] ; [ 3.23076923 10.76923077],0
b5,1,0.020082,5.404768,[17 23] ; [11  3],[20.74074074 19.25925926] ; [7.25925926 6.74074074],0
s8,1,0.026285,4.937143,[ 4 36] ; [5 9],[ 6.66666667 33.33333333] ; [ 2.33333333 11.66666667],0
p4,1,0.031012,4.652308,[ 8 32] ; [7 7],[11.11111111 28.88888889] ; [ 3.88888889 10.11111111],0
p8,1,0.03276,4.558265,[10 29] ; [8 6],[13.24528302 25.75471698] ; [4.75471698 9.24528302],0
p7,1,0.036112,4.391804,[14 25] ; [9 4],[17.25 21.75] ; [5.75 7.25],0
p6,1,0.047779,3.917753,[ 3 36] ; [ 4 10],[ 5.1509434 33.8490566] ; [ 1.8490566 12.1509434],0
p3,1,0.054291,3.703734,[ 5 35] ; [5 9],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
b3,1,0.064794,3.410218,[11 13] ; [1 8],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
b2,1,0.064794,3.410218,[11 13] ; [1 8],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
b4,1,0.088506,2.901334,[22 18] ; [ 4 10],[19.25925926 20.74074074] ; [6.74074074 7.25925926],0
s4,1,0.097668,2.74322,[ 6 34] ; [5 9],[ 8.14814815 31.85185185] ; [ 2.85185185 11.14814815],0
d4,1,0.103556,2.649907,[13 27] ; [8 6],[15.55555556 24.44444444] ; [5.44444444 8.55555556],0
n3,1,0.142781,2.147727,[14  7] ; [2 4],[12.44444444  8.55555556] ; [3.55555556 2.44444444],0
a6,1,0.143296,2.142198,[ 9 31] ; [6 8],[11.11111111 28.88888889] ; [ 3.88888889 10.11111111],0
s1,1,0.164079,1.936229,[ 3 36] ; [ 3 11],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],0
u2,1,0.167792,1.902562,[ 5 18] ; [3 3],[ 6.34482759 16.65517241] ; [1.65517241 4.34482759],0
p2,1,0.281604,1.159334,[22 18] ; [10  4],[23.7037037 16.2962963] ; [8.2962963 5.7037037],0
a3,1,0.33463,0.930899,[16 22] ; [8 6],[17.53846154 20.46153846] ; [6.46153846 7.53846154],0
u3,1,0.36131,0.833333,[ 4 20] ; [2 4],[ 4.8 19.2] ; [1.2 4.8],0
r3,1,0.42707,0.630777,[17 21] ; [8 6],[18.26923077 19.73076923] ; [6.73076923 7.26923077],0
a5,1,0.441105,0.593407,[10 30] ; [5 9],[11.11111111 28.88888889] ; [ 3.88888889 10.11111111],0
a1,1,0.45092,0.568338,[ 3 37] ; [ 2 12],[ 3.7037037 36.2962963] ; [ 1.2962963 12.7037037],0
p10,1,0.480472,0.497793,[18 21] ; [8 6],[19.13207547 19.86792453] ; [6.86792453 7.13207547],0
d2,1,0.511312,0.43138,[ 9 31] ; [ 2 12],[ 8.14814815 31.85185185] ; [ 2.85185185 11.14814815],0
p1,1,0.583044,0.301339,[ 5 35] ; [ 1 13],[ 4.44444444 35.55555556] ; [ 1.55555556 12.44444444],0
v1,1,0.639097,0.219925,[11 27] ; [5 9],[11.69230769 26.30769231] ; [4.30769231 9.69230769],0
d3,1,0.647443,0.20914,[ 9 31] ; [ 4 10],[ 9.62962963 30.37037037] ; [ 3.37037037 10.62962963],0
v3,1,0.68315,0.166602,[ 4 35] ; [ 2 12],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],0
v2,1,0.698509,0.150028,[ 7 30] ; [ 2 12],[ 6.52941176 30.47058824] ; [ 2.47058824 11.52941176],0
a7,1,0.743331,0.107221,[13 26] ; [ 4 10],[12.50943396 26.49056604] ; [4.49056604 9.50943396],0
b1,1,0.746758,0.104276,[22 18] ; [7 7],[21.48148148 18.51851852] ; [7.51851852 6.48148148],0
v4,1,0.748774,0.102564,[19 20] ; [7 6],[19.5 19.5] ; [6.5 6.5],0
n4,1,0.804681,0.061154,[21 18] ; [7 7],[20.60377358 18.39622642] ; [7.39622642 6.60377358],0
a8,1,0.813951,0.055381,[ 2 35] ; [ 1 13],[ 2.17647059 34.82352941] ; [ 0.82352941 13.17647059],0
n2,1,0.83131,0.045378,[13  8] ; [4 2],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
p9,1,0.866214,0.028382,[20 18] ; [7 7],[19.73076923 18.26923077] ; [7.26923077 6.73076923],0
n6,1,0.872687,0.025679,[20 19] ; [7 6],[20.25 18.75] ; [6.75 6.25],0
p11,1,0.88955,0.019286,[18 22] ; [6 8],[17.77777778 22.22222222] ; [6.22222222 7.77777778],0
r1,1,0.942224,0.005253,[ 8 31] ; [ 3 11],[ 8.09433962 30.90566038] ; [ 2.90566038 11.09433962],0
a4,1,0.948373,0.004193,[ 6 34] ; [ 2 12],[ 5.92592593 34.07407407] ; [ 2.07407407 11.92592593],0
s5,1,0.981807,0.00052,[ 3 37] ; [ 1 12],[ 3.01886792 36.98113208] ; [ 0.98113208 12.01886792],0
n5,1,0.99022,0.00015,[25 14] ; [9 5],[25.01886792 13.98113208] ; [8.98113208 5.01886792],0
r2,1,1.0,0.0,[18 21] ; [6 7],[18. 21.] ; [6. 7.],0
