Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5e-05,16.45584,[ 5 34] ; [7 2],[ 9.75 29.25] ; [2.25 6.75],1
p3,1,0.013113,6.153846,[ 4 35] ; [4 5],[ 6.5 32.5] ; [1.5 7.5],0
d3,1,0.014777,5.942857,[13 26] ; [7 2],[16.25 22.75] ; [3.75 5.25],0
s8,1,0.028086,4.822792,[ 1 38] ; [2 7],[ 2.4375 36.5625] ; [0.5625 8.4375],0
p2,1,0.041623,4.150474,[10 29] ; [5 3],[12.44680851 26.55319149] ; [2.55319149 5.44680851],0
p8,1,0.048659,3.887076,[ 4 35] ; [3 5],[ 5.80851064 33.19148936] ; [1.19148936 6.80851064],0
p11,1,0.065297,3.397459,[13 26] ; [6 3],[15.4375 23.5625] ; [3.5625 5.4375],0
s1,1,0.077041,3.12624,[ 4 35] ; [3 6],[ 5.6875 33.3125] ; [1.3125 7.6875],0
b5,1,0.091468,2.848352,[14 25] ; [6 3],[16.25 22.75] ; [3.75 5.25],0
n6,1,0.136189,2.220499,[13 25] ; [5 3],[14.86956522 23.13043478] ; [3.13043478 4.86956522],0
a4,1,0.178283,1.811879,[12 26] ; [5 4],[13.74468085 24.25531915] ; [3.25531915 5.74468085],0
a2,1,0.198363,1.654383,[ 3 36] ; [2 7],[ 4.0625 34.9375] ; [0.9375 8.0625],0
s4,1,0.198363,1.654383,[ 3 36] ; [2 7],[ 4.0625 34.9375] ; [0.9375 8.0625],0
a6,1,0.211606,1.560401,[17 22] ; [6 3],[18.6875 20.3125] ; [4.3125 4.6875],0
n3,1,0.273322,1.2,[ 9 11] ; [3 1],[10. 10.] ; [2. 2.],0
n5,1,0.293579,1.103134,[23 16] ; [7 2],[24.375 14.625] ; [5.625 3.375],0
v2,1,0.325661,0.966074,[ 7 31] ; [3 6],[ 8.08510638 29.91489362] ; [1.91489362 7.08510638],0
a5,1,0.331265,0.943946,[19 20] ; [6 3],[20.3125 18.6875] ; [4.6875 4.3125],0
r1,1,0.432768,0.615385,[14 25] ; [2 7],[13. 26.] ; [3. 6.],0
d2,1,0.465519,0.532592,[16 22] ; [5 4],[16.9787234 21.0212766] ; [4.0212766 4.9787234],0
v3,1,0.471313,0.518896,[ 5 34] ; [2 7],[ 5.6875 33.3125] ; [1.3125 7.6875],0
b1,1,0.484642,0.4884,[21 18] ; [6 3],[21.9375 17.0625] ; [5.0625 3.9375],0
s3,1,0.523118,0.407741,[10 28] ; [3 5],[10.73913043 27.26086957] ; [2.26086957 5.73913043],0
r2,1,0.550097,0.357143,[20 16] ; [4 5],[19.2 16.8] ; [4.8 4.2],0
v1,1,0.550552,0.356328,[ 9 29] ; [3 6],[ 9.70212766 28.29787234] ; [2.29787234 6.70212766],0
r4,1,0.619796,0.246154,[ 7 32] ; [1 8],[ 6.5 32.5] ; [1.5 7.5],0
p9,1,0.623288,0.241274,[15 22] ; [4 4],[15.62222222 21.37777778] ; [3.37777778 4.62222222],0
a3,1,0.629684,0.232489,[22 16] ; [6 3],[22.63829787 15.36170213] ; [5.36170213 3.63829787],0
b4,1,0.774537,0.082051,[24 15] ; [6 3],[24.375 14.625] ; [5.625 3.375],0
a7,1,0.817062,0.053512,[19 20] ; [4 5],[18.6875 20.3125] ; [4.3125 4.6875],0
p10,1,0.859076,0.031524,[13 25] ; [3 5],[13.2173913 24.7826087] ; [2.7826087 5.2173913],0
r3,1,0.8744,0.024987,[18 20] ; [4 5],[17.78723404 20.21276596] ; [4.21276596 4.78723404],0
n4,1,0.881087,0.022378,[27 12] ; [6 3],[26.8125 12.1875] ; [6.1875 2.8125],0
d4,1,0.884728,0.021019,[25 14] ; [6 3],[25.1875 13.8125] ; [5.8125 3.1875],0
d1,1,0.884728,0.021019,[14 25] ; [3 6],[13.8125 25.1875] ; [3.1875 5.8125],0
s7,1,0.898105,0.016398,[ 6 31] ; [1 6],[ 5.88636364 31.11363636] ; [1.11363636 5.88636364],0
d5,1,0.926084,0.008607,[21 18] ; [5 4],[21.125 17.875] ; [4.875 4.125],0
n1,1,0.930388,0.007631,[11 10] ; [2 2],[10.92 10.08] ; [2.08 1.92],0
n2,1,0.930388,0.007631,[11 10] ; [2 2],[10.92 10.08] ; [2.08 1.92],0
s2,1,0.980258,0.000612,[ 5 34] ; [1 7],[ 4.9787234 34.0212766] ; [1.0212766 6.9787234],0
