Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,43.476988,[  7 301] ; [19 66],[ 20.37659033 287.62340967] ; [ 5.62340967 79.37659033],1
s2,1,0.0,40.797324,[ 84 224] ; [56 31],[109.16455696 198.83544304] ; [30.83544304 56.16455696],1
s6,1,0.0,37.532924,[136 170] ; [71 16],[161.17557252 144.82442748] ; [45.82442748 41.17557252],1
p12,1,0.000142,14.470129,[ 10 296] ; [12 74],[ 17.17346939 288.82653061] ; [ 4.82653061 81.17346939],1
s3,1,0.000186,13.970133,[111 195] ; [49 34],[125.86118252 180.13881748] ; [34.13881748 48.86118252],1
n6,1,0.001455,10.134706,[234  73] ; [79  7],[244.50636132  62.49363868] ; [68.49363868 17.50636132],0
s7,1,0.00185,9.693026,[ 65 230] ; [32 50],[ 75.90185676 219.09814324] ; [21.09814324 60.90185676],0
s4,1,0.006652,7.364691,[ 34 271] ; [19 65],[ 41.55526992 263.44473008] ; [11.44473008 72.55526992],0
p9,1,0.009914,6.650355,[226  78] ; [72 10],[234.69430052  69.30569948] ; [63.30569948 18.69430052],0
p3,1,0.019613,5.446058,[121 186] ; [46 40],[130.45547074 176.54452926] ; [36.54452926 49.45547074],0
p10,1,0.02052,5.36709,[220  85] ; [71 13],[228.16195373  76.83804627] ; [62.83804627 21.16195373],0
u1,1,0.02652,4.921774,[ 41 268] ; [20 67],[ 47.59848485 261.40151515] ; [13.40151515 73.59848485],0
p1,1,0.038236,4.294482,[ 19 288] ; [11 74],[ 23.49489796 283.50510204] ; [ 6.50510204 78.49489796],0
p4,1,0.049203,3.868416,[155 153] ; [53 32],[163.01272265 144.98727735] ; [44.98727735 40.01272265],0
r2,1,0.051968,3.776811,[280  26] ; [83  2],[284.08695652  21.91304348] ; [78.91304348  6.08695652],0
a6,1,0.061248,3.503266,[239  69] ; [59 28],[232.36455696  75.63544304] ; [65.63544304 21.36455696],0
p6,1,0.087916,2.912131,[ 79 226] ; [30 55],[ 85.24358974 219.75641026] ; [23.75641026 61.24358974],0
p2,1,0.094589,2.794489,[239  69] ; [73 12],[244.51908397  63.48091603] ; [67.48091603 17.51908397],0
n2,1,0.103204,2.655326,[51 27] ; [13  2],[53.67741935 24.32258065] ; [10.32258065  4.67741935],0
b1,1,0.104936,2.628877,[118 191] ; [25 62],[111.58333333 197.41666667] ; [31.41666667 55.58333333],0
b4,1,0.115425,2.478325,[177 132] ; [58 29],[183.37121212 125.62878788] ; [51.62878788 35.37121212],0
d4,1,0.126558,2.334221,[247  61] ; [76 11],[251.85822785  56.14177215] ; [71.14177215 15.85822785],0
b5,1,0.151839,2.053682,[200 109] ; [49 38],[194.29545455 114.70454545] ; [54.70454545 32.29545455],0
a4,1,0.171111,1.873182,[120 188] ; [41 46],[125.53924051 182.46075949] ; [35.46075949 51.53924051],0
d2,1,0.188124,1.73225,[119 189] ; [40 46],[124.29441624 183.70558376] ; [34.70558376 51.29441624],0
p11,1,0.200329,1.639976,[224  85] ; [69 18],[228.62878788  80.37121212] ; [64.37121212 22.62878788],0
a2,1,0.214814,1.538682,[ 69 240] ; [25 62],[ 73.34848485 235.65151515] ; [20.65151515 66.34848485],0
r4,1,0.223226,1.483513,[261  48] ; [78  9],[264.52272727  44.47727273] ; [74.47727273 12.52272727],0
a1,1,0.233331,1.420441,[ 12 297] ; [ 6 81],[ 14.04545455 294.95454545] ; [ 3.95454545 83.04545455],0
a5,1,0.266889,1.232666,[208 101] ; [64 23],[212.24242424  96.75757576] ; [59.75757576 27.24242424],0
a3,1,0.320165,0.988272,[197 109] ; [61 26],[200.88549618 105.11450382] ; [57.11450382 29.88549618],0
v3,1,0.35469,0.856606,[ 95 203] ; [32 54],[ 98.55729167 199.44270833] ; [28.44270833 57.55729167],0
p8,1,0.357143,0.847914,[142 162] ; [44 40],[145.73195876 158.26804124] ; [40.26804124 43.73195876],0
