Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.1e-05,18.100959,[6 4] ; [241  14],[9.32075472 0.67924528] ; [237.67924528  17.32075472],1
v4,1,0.001454,10.136191,[8 2] ; [247   6],[9.69581749 0.30418251] ; [245.30418251   7.69581749],0
d5,1,0.001786,9.756916,[5 5] ; [218  35],[8.47908745 1.52091255] ; [214.52091255  38.47908745],0
r2,1,0.003203,8.688319,[8 2] ; [247   7],[9.65909091 0.34090909] ; [245.34090909   8.65909091],0
r1,1,0.004054,8.259515,[5 5] ; [214  39],[8.3269962 1.6730038] ; [210.6730038  42.3269962],0
s6,1,0.007114,7.243862,[6 4] ; [219  28],[8.75486381 1.24513619] ; [216.24513619  30.75486381],0
s7,1,0.007505,7.147996,[3 6] ; [181  64],[6.51968504 2.48031496] ; [177.48031496  67.51968504],0
s8,1,0.007657,7.111921,[3 7] ; [177  76],[6.84410646 3.15589354] ; [173.15589354  79.84410646],0
s1,1,0.025998,4.956144,[2 8] ; [ 11 240],[0.49808429 9.50191571] ; [ 12.50191571 238.49808429],0
p9,1,0.030961,4.655099,[7 3] ; [228  23],[9.00383142 0.99616858] ; [225.99616858  25.00383142],0
d2,1,0.036044,4.39503,[2 8] ; [136 117],[5.24714829 4.75285171] ; [132.75285171 120.24714829],0
b1,1,0.048371,3.897059,[7 3] ; [ 99 156],[4. 6.] ; [102. 153.],0
v2,1,0.048918,3.878172,[4 6] ; [169  74],[6.83794466 3.16205534] ; [166.16205534  76.83794466],0
p2,1,0.057165,3.617794,[6 4] ; [210  42],[8.24427481 1.75572519] ; [207.75572519  44.24427481],0
d4,1,0.059326,3.556115,[7 3] ; [226  27],[8.85931559 1.14068441] ; [224.14068441  28.85931559],0
d1,1,0.066664,3.363307,[4 6] ; [173  82],[6.67924528 3.32075472] ; [170.32075472  84.67924528],0
s3,1,0.082312,3.01864,[6 3] ; [220  33],[7.76335878 1.23664122] ; [218.23664122  34.76335878],0
p10,1,0.09217,2.836053,[7 3] ; [221  30],[8.73563218 1.26436782] ; [219.26436782  31.73563218],0
p11,1,0.136252,2.219787,[6 4] ; [203  52],[7.88679245 2.11320755] ; [201.11320755  53.88679245],0
a7,1,0.186999,1.741105,[5 5] ; [177  77],[6.89393939 3.10606061] ; [175.10606061  78.89393939],0
a2,1,0.190282,1.715435,[1 9] ; [ 74 181],[2.83018868 7.16981132] ; [ 72.16981132 182.83018868],0
p7,1,0.202172,1.626612,[5 5] ; [168  75],[6.83794466 3.16205534] ; [166.16205534  76.83794466],0
n1,1,0.281741,1.158672,[3 1] ; [24 27],[1.96363636 2.03636364] ; [25.03636364 25.96363636],0
u1,1,0.318768,0.993994,[1 9] ; [ 60 195],[2.30188679 7.69811321] ; [ 58.69811321 196.30188679],0
p1,1,0.328185,0.956048,[2 8] ; [ 26 227],[1.06463878 8.93536122] ; [ 26.93536122 226.06463878],0
p8,1,0.355471,0.853829,[7 3] ; [138 112],[5.57692308 4.42307692] ; [139.42307692 110.57692308],0
d3,1,0.390246,0.738175,[6 4] ; [184  70],[7.1969697 2.8030303] ; [182.8030303  71.1969697],0
b2,1,0.402806,0.699935,[3 2] ; [ 71 101],[2.09039548 2.90960452] ; [ 71.90960452 100.09039548],0
b3,1,0.402806,0.699935,[3 2] ; [ 71 101],[2.09039548 2.90960452] ; [ 71.90960452 100.09039548],0
a5,1,0.406248,0.689755,[9 1] ; [202  53],[7.96226415 2.03773585] ; [203.03773585  51.96226415],0
a4,1,0.480383,0.497995,[4 6] ; [131 124],[5.09433962 4.90566038] ; [129.90566038 125.09433962],0
u3,1,0.482284,0.493695,[1 1] ; [40 15],[1.43859649 0.56140351] ; [39.56140351 15.43859649],0
n6,1,0.482619,0.49294,[8 2] ; [218  31],[8.72586873 1.27413127] ; [217.27413127  31.72586873],0
p4,1,0.532027,0.390518,[6 4] ; [174  77],[6.89655172 3.10344828] ; [173.10344828  77.89655172],0
b5,1,0.573759,0.316434,[7 3] ; [156  99],[6.1509434 3.8490566] ; [156.8490566  98.1509434],0
p6,1,0.620178,0.245618,[4 6] ; [119 129],[4.76744186 5.23255814] ; [118.23255814 129.76744186],0
n2,1,0.627773,0.235093,[3 1] ; [43  8],[3.34545455 0.65454545] ; [42.65454545  8.34545455],0
a6,1,0.628188,0.234527,[7 3] ; [158  95],[6.27376426 3.72623574] ; [158.72623574  94.27376426],0
s5,1,0.64138,0.216942,[5 5] ; [139 103],[5.71428571 4.28571429] ; [138.28571429 103.71428571],0
a1,1,0.681111,0.168878,[1 9] ; [ 17 238],[0.67924528 9.32075472] ; [ 17.32075472 237.67924528],0
p12,1,0.74693,0.104129,[1 9] ; [ 34 217],[1.34099617 8.65900383] ; [ 33.65900383 217.34099617],0
n3,1,0.750914,0.100765,[3 1] ; [35 17],[2.71428571 1.28571429] ; [35.28571429 16.71428571],0
n5,1,0.786692,0.073229,[8 2] ; [209  42],[8.31417625 1.68582375] ; [208.68582375  42.31417625],0
v3,1,0.798846,0.064944,[5 5] ; [132 112],[5.39370079 4.60629921] ; [131.60629921 112.39370079],0
p3,1,0.838536,0.041521,[6 4] ; [143 109],[5.6870229 4.3129771] ; [143.3129771 108.6870229],0
p5,1,0.845376,0.038033,[2 8] ; [ 44 206],[1.76923077 8.23076923] ; [ 44.23076923 205.76923077],0
n4,1,0.857783,0.032111,[8 2] ; [208  45],[8.21292776 1.78707224] ; [207.78707224  45.21292776],0
b4,1,0.921334,0.009752,[6 4] ; [149 106],[5.8490566 4.1509434] ; [149.1509434 105.8490566],0
a3,1,0.923847,0.009137,[8 2] ; [200  54],[7.87878788 2.12121212] ; [200.12121212  53.87878788],0
s4,1,0.966109,0.001805,[2 8] ; [ 52 201],[2.05323194 7.94676806] ; [ 51.94676806 201.05323194],0
