Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,132.49897,[ 44 174] ; [327 161],[114.55807365 103.44192635] ; [256.44192635 231.55807365],1
s3,1,0.0,121.842272,[ 61 158] ; [348 134],[127.77603424  91.22396576] ; [281.22396576 200.77603424],1
s7,1,0.0,90.507346,[ 48 158] ; [298 175],[104.97201767 101.02798233] ; [241.02798233 231.97201767],1
s8,1,0.0,79.852157,[ 46 174] ; [279 210],[100.84626234 119.15373766] ; [224.15373766 264.84626234],1
s5,1,0.0,58.640902,[ 31 184] ; [212 265],[ 75.49855491 139.50144509] ; [167.50144509 309.49855491],1
p9,1,0.0,27.006064,[158  61] ; [426  58],[181.92887624  37.07112376] ; [402.07112376  81.92887624],1
p4,1,0.0,26.488346,[ 99 119] ; [322 166],[129.99716714  88.00283286] ; [291.00283286 196.99716714],1
s4,1,1e-06,24.938495,[ 13 207] ; [101 383],[ 35.625 184.375] ; [ 78.375 405.625],1
n5,1,4e-05,16.87528,[142  76] ; [390 100],[163.8079096  54.1920904] ; [368.1920904 121.8079096],1
n6,1,8.2e-05,15.51811,[166  54] ; [426  62],[183.95480226  36.04519774] ; [408.04519774  79.95480226],1
p10,1,9.2e-05,15.296236,[157  62] ; [409  76],[176.07102273  42.92897727] ; [389.92897727  95.07102273],1
p6,1,0.000267,13.289344,[ 57 160] ; [196 287],[ 78.43 138.57] ; [174.57 308.43],1
u1,1,0.000336,12.855992,[ 27 193] ; [118 374],[ 44.80337079 175.19662921] ; [100.19662921 391.80337079],1
p12,1,0.00121,10.474479,[  7 211] ; [ 51 437],[ 17.90934844 200.09065156] ; [ 40.09065156 447.90934844],0
p5,1,0.001347,10.277132,[ 11 206] ; [ 64 423],[ 23.11789773 193.88210227] ; [ 51.88210227 435.11789773],0
r4,1,0.00365,8.450425,[207  13] ; [483   9],[213.20224719   6.79775281] ; [476.79775281  15.20224719],0
d5,1,0.009275,6.769044,[169  51] ; [415  74],[181.21297602  38.78702398] ; [402.78702398  86.21297602],0
p3,1,0.009854,6.661082,[ 93 125] ; [260 229],[108.84582744 109.15417256] ; [244.15417256 244.84582744],0
