Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.681283,[103  15] ; [66 41],[88.63111111 29.36888889] ; [80.36888889 26.63111111],1
s6,1,0.00236,9.246103,[109  10] ; [84 25],[100.73245614  18.26754386] ; [92.26754386 16.73245614],0
p5,1,0.002593,9.073941,[31 89] ; [11 96],[22.20264317 97.79735683] ; [19.79735683 87.20264317],0
s4,1,0.004633,8.017252,[29 90] ; [11 98],[20.87719298 98.12280702] ; [19.12280702 89.87719298],0
a3,1,0.006035,7.539737,[106  13] ; [82 27],[98.12280702 20.87719298] ; [89.87719298 19.12280702],0
s3,1,0.006483,7.410942,[95 22] ; [69 37],[86.04484305 30.95515695] ; [77.95515695 28.04484305],0
d5,1,0.009019,6.818965,[110   9] ; [88 21],[103.34210526  15.65789474] ; [94.65789474 14.34210526],0
p6,1,0.035879,4.402866,[70 48] ; [49 59],[62.13274336 55.86725664] ; [56.86725664 51.13274336],0
d4,1,0.040986,4.176612,[109  10] ; [90 19],[103.86403509  15.13596491] ; [95.13596491 13.86403509],0
d1,1,0.055127,3.678245,[87 33] ; [66 43],[80.17467249 39.82532751] ; [72.82532751 36.17467249],0
p7,1,0.058193,3.588139,[96 20] ; [75 29],[90.16363636 25.83636364] ; [80.83636364 23.16363636],0
p11,1,0.070391,3.273879,[95 25] ; [96 13],[100.08733624  19.91266376] ; [90.91266376 18.08733624],0
a5,1,0.077002,3.127075,[106  14] ; [87 22],[101.13537118  18.86462882] ; [91.86462882 17.13537118],0
b5,1,0.100482,2.697874,[70 50] ; [75 34],[75.98253275 44.01746725] ; [69.01746725 39.98253275],0
s7,1,0.138549,2.193996,[95 19] ; [79 26],[90.57534247 23.42465753] ; [83.42465753 21.57534247],0
v4,1,0.142115,2.154903,[118   1] ; [104   4],[116.37885463   2.62114537] ; [105.62114537   2.37885463],0
p1,1,0.15961,1.977919,[ 17 102] ; [ 9 99],[ 13.62995595 105.37004405] ; [12.37004405 95.62995595],0
u1,1,0.184788,1.758693,[32 88] ; [21 88],[27.77292576 92.22707424] ; [25.22707424 83.77292576],0
b2,1,0.203984,1.613618,[39 40] ; [34 52],[34.95151515 44.04848485] ; [38.04848485 47.95151515],0
b3,1,0.203984,1.613618,[39 40] ; [34 52],[34.95151515 44.04848485] ; [38.04848485 47.95151515],0
p3,1,0.208079,1.584743,[78 42] ; [62 47],[73.36244541 46.63755459] ; [66.63755459 42.36244541],0
a4,1,0.214453,1.541106,[66 54] ; [51 58],[61.31004367 58.68995633] ; [55.68995633 53.31004367],0
p8,1,0.247252,1.338763,[80 38] ; [64 42],[75.85714286 42.14285714] ; [68.14285714 37.85714286],0
p4,1,0.248993,1.328943,[89 30] ; [74 35],[85.0745614 33.9254386] ; [77.9254386 31.0745614],0
a2,1,0.295801,1.093029,[36 84] ; [26 83],[32.48908297 87.51091703] ; [29.51091703 79.48908297],0
n4,1,0.301923,1.06568,[97 21] ; [95 14],[99.8061674 18.1938326] ; [92.1938326 16.8061674],0
u3,1,0.308456,1.037277,[11  3] ; [17 10],[9.56097561 4.43902439] ; [18.43902439  8.56097561],0
p10,1,0.352357,0.864949,[109  10] ; [94 13],[106.88938053  12.11061947] ; [96.11061947 10.88938053],0
a1,1,0.358162,0.844328,[  9 111] ; [  5 104],[  7.33624454 112.66375546] ; [  6.66375546 102.33624454],0
b1,1,0.370156,0.803139,[51 69] ; [40 69],[47.68558952 72.31441048] ; [43.31441048 65.68558952],0
d3,1,0.371981,0.797035,[90 30] ; [76 33],[86.98689956 33.01310044] ; [79.01310044 29.98689956],0
p12,1,0.374087,0.790043,[ 17 103] ; [11 96],[ 14.80176211 105.19823789] ; [13.19823789 93.80176211],0
a8,1,0.388952,0.742215,[18 92] ; [20 75],[20.3902439 89.6097561] ; [17.6097561 77.3902439],0
n6,1,0.416908,0.659013,[105  12] ; [94 15],[103.02212389  13.97787611] ; [95.97787611 13.02212389],0
b4,1,0.521337,0.411248,[71 49] ; [69 40],[73.36244541 46.63755459] ; [66.63755459 42.36244541],0
r1,1,0.527277,0.399636,[106  12] ; [95 14],[104.4845815  13.5154185] ; [96.5154185 12.4845815],0
n5,1,0.532669,0.389297,[103  15] ; [92 17],[101.36563877  16.63436123] ; [93.63436123 15.36563877],0
v2,1,0.556191,0.346343,[82 36] ; [76 28],[83.98198198 34.01801802] ; [74.01801802 29.98198198],0
n3,1,0.587775,0.293833,[17 10] ; [10  4],[17.7804878  9.2195122] ; [9.2195122 4.7804878],0
r2,1,0.590077,0.290225,[117   3] ; [103   4],[116.29955947   3.70044053] ; [103.70044053   3.29955947],0
u4,1,0.625784,0.237821,[  4 116] ; [  5 104],[  4.71615721 115.28384279] ; [  4.28384279 104.71615721],0
s1,1,0.639903,0.218869,[  3 113] ; [  4 105],[  3.60888889 112.39111111] ; [  3.39111111 105.60888889],0
a7,1,0.64026,0.218403,[81 39] ; [76 32],[82.63157895 37.36842105] ; [74.36842105 33.63157895],0
r4,1,0.642334,0.215703,[114   6] ; [102   7],[113.18777293   6.81222707] ; [102.81222707   6.18777293],0
