Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,72.791516,[ 34 134] ; [309 224],[82.20256776 85.79743224] ; [260.79743224 272.20256776],1
a3,1,0.0,72.329189,[80 86] ; [436  99],[122.19115549  43.80884451] ; [393.80884451 141.19115549],1
d1,1,0.0,61.229762,[ 60 108] ; [372 164],[103.09090909  64.90909091] ; [328.90909091 207.09090909],1
a4,1,0.0,51.747086,[ 38 129] ; [292 243],[78.5042735 88.4957265] ; [251.4957265 283.5042735],1
u1,1,0.0,32.940605,[  6 162] ; [125 411],[ 31.26136364 136.73863636] ; [ 99.73863636 436.26136364],1
d5,1,0.0,27.869234,[115  52] ; [462  71],[137.65571429  29.34428571] ; [439.34428571  93.65571429],1
a6,1,5e-06,20.906576,[94 74] ; [397 136],[117.67189729  50.32810271] ; [373.32810271 159.67189729],1
r1,1,5e-06,20.821154,[123  44] ; [471  63],[141.50927247  25.49072753] ; [452.49072753  81.50927247],1
d4,1,8e-06,20.057798,[122  46] ; [465  68],[140.67902996  27.32097004] ; [446.32097004  86.67902996],1
s7,1,0.000337,12.851503,[64 97] ; [288 227],[83.83431953 77.16568047] ; [268.16568047 246.83431953],1
s8,1,0.00048,12.190394,[ 62 106] ; [279 254],[81.7232525 86.2767475] ; [259.2767475 273.7232525],1
v2,1,0.000526,12.022615,[75 84] ; [322 192],[93.79346211 65.20653789] ; [303.20653789 210.79346211],1
n4,1,0.000727,11.418023,[117  51] ; [437  97],[132.58119658  35.41880342] ; [421.41880342 112.58119658],1
p4,1,0.000824,11.187472,[87 80] ; [354 179],[105.21  61.79] ; [335.79 197.21],1
p3,1,0.001791,9.752345,[72 96] ; [303 232],[89.61593172 78.38406828] ; [285.38406828 249.61593172],0
s5,1,0.002347,9.256426,[ 43 116] ; [208 307],[59.21216617 99.78783383] ; [191.78783383 323.21216617],0
d3,1,0.002646,9.036484,[103  64] ; [394 140],[118.40085592  48.59914408] ; [378.59914408 155.40085592],0
b2,1,0.002945,8.841491,[23 65] ; [146 189],[35.15839243 52.84160757] ; [133.84160757 201.15839243],0
b3,1,0.002945,8.841491,[23 65] ; [146 189],[35.15839243 52.84160757] ; [133.84160757 201.15839243],0
v3,1,0.029169,4.757632,[ 54 106] ; [223 290],[65.85438336 94.14561664] ; [211.14561664 301.85438336],0
p10,1,0.034981,4.446091,[147  21] ; [496  39],[153.66145092  14.33854908] ; [489.33854908  45.66145092],0
s6,1,0.044976,4.019548,[108  57] ; [386 139],[118.13043478  46.86956522] ; [375.86956522 149.13043478],0
v1,1,0.045342,4.005867,[82 81] ; [309 213],[93.04087591 69.95912409] ; [297.95912409 224.04087591],0
s2,1,0.053979,3.713344,[79 88] ; [297 235],[89.83118741 77.16881259] ; [286.16881259 245.83118741],0
a7,1,0.086154,2.944815,[115  51] ; [407 129],[123.43589744  42.56410256] ; [398.56410256 137.43589744],0
p7,1,0.087852,2.913296,[101  63] ; [361 164],[109.96806967  54.03193033] ; [352.03193033 172.96806967],0
p8,1,0.091125,2.854387,[85 82] ; [308 220],[94.43309353 72.56690647] ; [298.56690647 229.43309353],0
r2,1,0.093202,2.818184,[161   7] ; [522  10],[163.92   4.08] ; [519.08  12.92],0
n6,1,0.093252,2.81732,[140  27] ; [473  60],[146.24428571  20.75571429] ; [466.75571429  66.24428571],0
b1,1,0.100179,2.702699,[ 48 120] ; [190 346],[ 56.79545455 111.20454545] ; [181.20454545 354.79545455],0
n5,1,0.133708,2.248916,[123  44] ; [422 111],[130.02142857  36.97857143] ; [414.97857143 118.02142857],0
a1,1,0.143119,2.144096,[  4 164] ; [ 27 509],[  7.39772727 160.60227273] ; [ 23.60227273 512.39772727],0
u4,1,0.166763,1.911807,[  2 166] ; [ 17 519],[  4.53409091 163.46590909] ; [ 14.46590909 521.53409091],0
p6,1,0.184651,1.759791,[ 58 106] ; [219 313],[65.27011494 98.72988506] ; [211.72988506 320.27011494],0
p2,1,0.195701,1.674171,[140  28] ; [466  68],[145.02564103  22.97435897] ; [460.97435897  73.02564103],0
p12,1,0.224541,1.47511,[ 12 156] ; [ 55 479],[ 16.03418803 151.96581197] ; [ 50.96581197 483.03418803],0
