Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-05,17.421211,[11 27] ; [52 22],[21.375 16.625] ; [41.625 32.375],1
s2,1,0.00278,8.946252,[10 28] ; [42 33],[17.48672566 20.51327434] ; [34.51327434 40.48672566],0
s7,1,0.006906,7.297163,[ 9 28] ; [36 34],[15.56074766 21.43925234] ; [29.43925234 40.56074766],0
s8,1,0.013464,6.107143,[ 8 30] ; [34 42],[14. 24.] ; [28. 48.],0
v4,1,0.028839,4.777185,[33  5] ; [73  2],[35.6460177  2.3539823] ; [70.3539823  4.6460177],0
d4,1,0.048059,3.907911,[24 14] ; [61 15],[28.33333333  9.66666667] ; [56.66666667 19.33333333],0
p3,1,0.063037,3.455614,[13 25] ; [40 36],[17.66666667 20.33333333] ; [35.33333333 40.66666667],0
s5,1,0.068314,3.323077,[ 6 30] ; [24 48],[10. 26.] ; [20. 52.],0
b3,1,0.069403,3.297074,[11 13] ; [11 34],[ 7.65217391 16.34782609] ; [14.34782609 30.65217391],0
b2,1,0.069403,3.297074,[11 13] ; [11 34],[ 7.65217391 16.34782609] ; [14.34782609 30.65217391],0
r3,1,0.072948,3.215402,[33  5] ; [72  3],[35.30973451  2.69026549] ; [69.69026549  5.30973451],0
p8,1,0.089918,2.875836,[12 25] ; [37 38],[16.1875 20.8125] ; [32.8125 42.1875],0
d5,1,0.093903,2.806154,[21 17] ; [54 22],[25. 13.] ; [50. 26.],0
p5,1,0.093936,2.805588,[ 3 33] ; [16 60],[ 6.10714286 29.89285714] ; [12.89285714 63.10714286],0
n6,1,0.160924,1.965517,[26 12] ; [61 15],[29.  9.] ; [58. 18.],0
p9,1,0.164545,1.931951,[29  9] ; [65 10],[31.61061947  6.38938053] ; [62.38938053 12.61061947],0
n5,1,0.218385,1.51495,[26 12] ; [60 16],[28.66666667  9.33333333] ; [57.33333333 18.66666667],0
v2,1,0.218585,1.513636,[19 18] ; [47 27],[22. 15.] ; [44. 30.],0
r4,1,0.222894,1.485638,[29  9] ; [65 11],[31.33333333  6.66666667] ; [62.66666667 13.33333333],0
p4,1,0.23063,1.436975,[18 20] ; [45 31],[21. 17.] ; [42. 34.],0
d1,1,0.261054,1.263158,[10 28] ; [28 48],[12.66666667 25.33333333] ; [25.33333333 50.66666667],0
n4,1,0.287123,1.133063,[26 12] ; [59 17],[28.33333333  9.66666667] ; [56.66666667 19.33333333],0
u2,1,0.308313,1.037889,[10  9] ; [24 12],[11.74545455  7.25454545] ; [22.25454545 13.74545455],0
n2,1,0.317311,1.0,[7 1] ; [11  5],[6. 2.] ; [12.  4.],0
p2,1,0.329719,0.95,[28 10] ; [62 14],[30.  8.] ; [60. 16.],0
s4,1,0.352577,0.86416,[ 4 34] ; [13 63],[ 5.66666667 32.33333333] ; [11.33333333 64.66666667],0
b4,1,0.352649,0.863903,[18 20] ; [43 33],[20.33333333 17.66666667] ; [40.66666667 35.33333333],0
p7,1,0.363122,0.827068,[22 16] ; [48 24],[24.18181818 13.81818182] ; [45.81818182 26.18181818],0
p6,1,0.3868,0.748978,[12 26] ; [28 42],[14.07407407 23.92592593] ; [25.92592593 44.07407407],0
v3,1,0.455917,0.555899,[15 22] ; [36 39],[16.84821429 20.15178571] ; [34.15178571 40.84821429],0
a1,1,0.471618,0.518182,[ 2 36] ; [ 2 74],[ 1.33333333 36.66666667] ; [ 2.66666667 73.33333333],0
r2,1,0.487173,0.482764,[34  4] ; [69  5],[34.94642857  3.05357143] ; [68.05357143  5.94642857],0
d3,1,0.503568,0.44741,[20 18] ; [45 31],[21.66666667 16.33333333] ; [43.33333333 32.66666667],0
a6,1,0.506752,0.440767,[22 16] ; [39 37],[20.33333333 17.66666667] ; [40.66666667 35.33333333],0
p10,1,0.554466,0.349377,[29  9] ; [60 14],[30.19642857  7.80357143] ; [58.80357143 15.19642857],0
r1,1,0.565755,0.329837,[25 13] ; [54 22],[26.33333333 11.66666667] ; [52.66666667 23.33333333],0
a7,1,0.718105,0.130316,[23 15] ; [48 27],[23.87610619 14.12389381] ; [47.12389381 27.87610619],0
d2,1,0.737149,0.112648,[ 8 30] ; [14 62],[ 7.33333333 30.66666667] ; [14.66666667 61.33333333],0
n1,1,0.769698,0.085714,[5 3] ; [9 7],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
a4,1,0.776078,0.080902,[ 9 29] ; [16 59],[ 8.40707965 29.59292035] ; [16.59292035 58.40707965],0
b5,1,0.787868,0.072404,[23 15] ; [44 32],[22.33333333 15.66666667] ; [44.66666667 31.33333333],0
a8,1,0.813972,0.055368,[ 4 31] ; [ 9 60],[ 4.375 30.625] ; [ 8.625 60.375],0
u3,1,0.847439,0.037013,[12  7] ; [23 15],[11.66666667  7.33333333] ; [23.33333333 14.66666667],0
p11,1,0.88168,0.022153,[28 10] ; [55 21],[27.66666667 10.33333333] ; [55.33333333 20.66666667],0
b1,1,0.889633,0.019257,[13 25] ; [27 49],[13.33333333 24.66666667] ; [26.66666667 49.33333333],0
a3,1,0.945648,0.004648,[19 18] ; [38 37],[18.83035714 18.16964286] ; [38.16964286 36.83035714],0
s1,1,0.961861,0.002287,[ 2 36] ; [ 4 69],[ 2.05405405 35.94594595] ; [ 3.94594595 69.05405405],0
p1,1,1.0,0.0,[ 4 34] ; [ 8 68],[ 4. 34.] ; [ 8. 68.],0
u1,1,1.0,0.0,[ 1 37] ; [ 2 74],[ 1. 37.] ; [ 2. 74.],0
