Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,54.002988,[287  83] ; [71 87],[250.87121212 119.12878788] ; [107.12878788  50.87121212],1
a4,1,0.0,50.212683,[189 179] ; [ 29 130],[152.22770398 215.77229602] ; [65.77229602 93.22770398],1
d2,1,0.0,49.167872,[205 164] ; [ 36 124],[168.10775047 200.89224953] ; [72.89224953 87.10775047],1
d1,1,0.0,41.296715,[239 131] ; [ 55 105],[205.24528302 164.75471698] ; [88.75471698 71.24528302],1
u1,1,0.0,31.823192,[ 78 292] ; [  3 157],[ 56.54716981 313.45283019] ; [ 24.45283019 135.54716981],1
r1,1,0.0,26.640987,[332  37] ; [115  44],[312.39204545  56.60795455] ; [134.60795455  24.39204545],1
a6,1,0.0,25.894953,[286  83] ; [89 71],[261.57844991 107.42155009] ; [113.42155009  46.57844991],1
d5,1,3e-06,21.786884,[314  55] ; [107  52],[294.22159091  74.77840909] ; [126.77840909  32.22159091],1
n4,1,1.1e-05,19.262125,[299  71] ; [100  59],[279.07372401  90.92627599] ; [119.92627599  39.07372401],1
d4,1,0.00015,14.374322,[309  60] ; [110  49],[292.82386364  76.17613636] ; [126.17613636  32.82386364],1
d3,1,0.001069,10.703314,[269 100] ; [93 66],[252.98863636 116.01136364] ; [109.01136364  49.98863636],0
p10,1,0.003261,8.655383,[296  72] ; [107  49],[283.02290076  84.97709924] ; [119.97709924  36.02290076],0
p2,1,0.004364,8.125605,[314  54] ; [120  40],[302.48484848  65.51515152] ; [131.51515152  28.48484848],0
p4,1,0.004504,8.068454,[220 149] ; [73 85],[205.15559772 163.84440228] ; [87.84440228 70.15559772],0
s7,1,0.00628,7.46827,[155 198] ; [ 47 105],[141.2 211.8] ; [60.8 91.2],0
v2,1,0.011435,6.396406,[208 147] ; [69 80],[195.10912698 159.89087302] ; [81.89087302 67.10912698],0
v1,1,0.015686,5.837707,[192 169] ; [64 90],[179.44854369 181.55145631] ; [76.55145631 77.44854369],0
p9,1,0.016155,5.78591,[307  61] ; [116  40],[297.06870229  70.93129771] ; [125.93129771  30.06870229],0
p3,1,0.016678,5.729922,[180 189] ; [ 60 100],[167.41020794 201.58979206] ; [72.58979206 87.41020794],0
b2,1,0.02518,5.01145,[ 87 142] ; [22 67],[ 78.49371069 150.50628931] ; [30.50628931 58.49371069],0
b3,1,0.02518,5.01145,[ 87 142] ; [22 67],[ 78.49371069 150.50628931] ; [30.50628931 58.49371069],0
a1,1,0.034173,4.48604,[ 15 355] ; [  1 159],[ 11.16981132 358.83018868] ; [  4.83018868 155.16981132],0
p8,1,0.042601,4.111161,[189 174] ; [67 91],[178.3646833 184.6353167] ; [77.6353167 80.3646833],0
