Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.013823,6.060606,[ 5 27] ; [20 28],[10. 22.] ; [15. 33.],0
p3,1,0.056281,3.643719,[19 16] ; [16 32],[14.75903614 20.24096386] ; [20.24096386 27.75903614],0
d1,1,0.061318,3.501363,[ 9 26] ; [22 26],[13.07228916 21.92771084] ; [17.92771084 30.07228916],0
r4,1,0.065918,3.381862,[24 11] ; [41  7],[27.40963855  7.59036145] ; [37.59036145 10.40963855],0
d5,1,0.071112,3.257159,[18 17] ; [34 14],[21.92771084 13.07228916] ; [30.07228916 17.92771084],0
p10,1,0.094052,2.803607,[ 8 27] ; [19 28],[11.52439024 23.47560976] ; [15.47560976 31.52439024],0
r2,1,0.121616,2.39638,[28  7] ; [44  4],[30.36144578  4.63855422] ; [41.63855422  6.36144578],0
r1,1,0.145671,2.117004,[21 14] ; [36 12],[24.03614458 10.96385542] ; [32.96385542 15.03614458],0
n4,1,0.161268,1.962297,[18 17] ; [32 16],[21.08433735 13.91566265] ; [28.91566265 19.08433735],0
p5,1,0.162737,1.948608,[ 3 31] ; [ 1 47],[ 1.65853659 32.34146341] ; [ 2.34146341 45.65853659],0
a8,1,0.171767,1.867454,[ 2 31] ; [ 7 36],[ 3.90789474 29.09210526] ; [ 5.09210526 37.90789474],0
d4,1,0.180941,1.789876,[20 14] ; [35 13],[22.80487805 11.19512195] ; [32.19512195 15.80487805],0
v4,1,0.203604,1.61633,[29  5] ; [45  3],[30.68292683  3.31707317] ; [43.31707317  4.68292683],0
b4,1,0.20607,1.598822,[17 18] ; [30 18],[19.81927711 15.18072289] ; [27.18072289 20.81927711],0
r3,1,0.223397,1.482414,[29  6] ; [44  4],[30.78313253  4.21686747] ; [42.21686747  5.78313253],0
s8,1,0.231414,1.432147,[ 6 28] ; [14 34],[ 8.29268293 25.70731707] ; [11.70731707 36.29268293],0
d2,1,0.244527,1.354306,[13 22] ; [24 24],[15.60240964 19.39759036] ; [21.39759036 26.60240964],0
a5,1,0.255318,1.293967,[16 19] ; [28 20],[18.55421687 16.44578313] ; [25.44578313 22.55421687],0
d3,1,0.28365,1.149517,[17 18] ; [29 19],[19.39759036 15.60240964] ; [26.60240964 21.39759036],0
s2,1,0.290763,1.116085,[12 23] ; [22 26],[14.3373494 20.6626506] ; [19.6626506 28.3373494],0
