Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,66.638737,[364 101] ; [69 89],[323.18619583 141.81380417] ; [109.81380417  48.18619583],1
d3,1,0.0,65.088392,[374  92] ; [74 84],[334.56410256 131.43589744] ; [113.43589744  44.56410256],1
a2,1,0.0,34.113816,[156 310] ; [ 15 143],[127.70192308 338.29807692] ; [ 43.29807692 114.70192308],1
u1,1,0.0,28.205086,[127 339] ; [ 11 147],[103.05769231 362.94230769] ; [ 34.94230769 123.05769231],1
b5,1,1.2e-05,19.146402,[296 170] ; [69 89],[272.58012821 193.41987179] ; [92.41987179 65.58012821],1
d1,1,0.000962,10.900006,[313 153] ; [83 75],[295.73076923 170.26923077] ; [100.26923077  57.73076923],1
v2,1,0.009122,6.798686,[282 166] ; [78 75],[268.35274542 179.64725458] ; [91.64725458 61.35274542],0
b3,1,0.009948,6.644216,[ 98 181] ; [52 53],[108.984375 170.015625] ; [41.015625 63.984375],0
b2,1,0.009948,6.644216,[ 98 181] ; [52 53],[108.984375 170.015625] ; [41.015625 63.984375],0
r4,1,0.011434,6.396528,[454  12] ; [147  11],[448.82371795  17.17628205] ; [152.17628205   5.82371795],0
r3,1,0.01182,6.337666,[452  12] ; [147  11],[446.84244373  17.15755627] ; [152.15755627   5.84244373],0
b1,1,0.014871,5.931712,[159 307] ; [71 87],[171.76282051 294.23717949] ; [58.23717949 99.76282051],0
p4,1,0.019753,5.433612,[304 158] ; [87 70],[291.82875606 170.17124394] ; [99.17124394 57.82875606],0
u3,1,0.025347,5.0,[78 42] ; [18 22],[72. 48.] ; [24. 16.],0
v4,1,0.037535,4.325955,[455   9] ; [150   8],[451.31832797  12.68167203] ; [153.68167203   4.31832797],0
n5,1,0.051352,3.796744,[370  94] ; [137  21],[378.21221865  85.78778135] ; [128.78778135  29.21221865],0
p2,1,0.057924,3.595861,[401  63] ; [125  31],[393.6516129  70.3483871] ; [132.3483871  23.6516129],0
s8,1,0.066625,3.364266,[213 247] ; [86 71],[222.91734198 237.08265802] ; [76.08265802 80.91734198],0
s5,1,0.06687,3.358217,[158 292] ; [66 86],[167.44186047 282.55813953] ; [56.55813953 95.44186047],0
p1,1,0.095086,2.786089,[ 47 416] ; [  9 148],[ 41.81935484 421.18064516] ; [ 14.18064516 142.81935484],0
d4,1,0.110131,2.552342,[399  67] ; [126  31],[392.69662921  73.30337079] ; [132.30337079  24.69662921],0
b4,1,0.127265,2.32555,[280 186] ; [84 74],[271.83333333 194.16666667] ; [92.16666667 65.83333333],0
r2,1,0.175796,1.832809,[455   9] ; [149   6],[452.75605816  11.24394184] ; [151.24394184   3.75605816],0
p9,1,0.178488,1.81017,[399  59] ; [130  27],[393.95447154  64.04552846] ; [135.04552846  21.95447154],0
s7,1,0.23596,1.40457,[231 211] ; [89 65],[237.31543624 204.68456376] ; [82.68456376 71.31543624],0
p8,1,0.261991,1.258207,[258 199] ; [80 76],[251.98368679 205.01631321] ; [86.01631321 69.98368679],0
n3,1,0.275489,1.18921,[71 21] ; [23 11],[68.63492063 23.36507937] ; [25.36507937  8.63492063],0
p5,1,0.324874,0.969223,[ 57 406] ; [ 24 132],[ 60.58642973 402.41357027] ; [ 20.41357027 135.58642973],0
u2,1,0.336349,0.924297,[66 54] ; [18 21],[63.39622642 56.60377358] ; [20.60377358 18.39622642],0
a5,1,0.337693,0.919172,[368  98] ; [119  39],[363.68910256 102.31089744] ; [123.31089744  34.68910256],0
d5,1,0.356402,0.850532,[389  77] ; [126  31],[385.21669342  80.78330658] ; [129.78330658  27.21669342],0
s2,1,0.395677,0.721425,[247 211] ; [78 78],[242.4267101 215.5732899] ; [82.5732899 73.4267101],0
n4,1,0.443815,0.5864,[382  83] ; [134  24],[385.1364366  79.8635634] ; [130.8635634  27.1364366],0
p10,1,0.444321,0.585099,[393  68] ; [129  27],[390.01944895  70.98055105] ; [131.98055105  24.01944895],0
n2,1,0.459999,0.545897,[69 22] ; [25 11],[67.35433071 23.64566929] ; [26.64566929  9.35433071],0
p12,1,0.465815,0.531885,[ 45 419] ; [ 12 143],[ 42.726979 421.273021] ; [ 14.273021 140.726979],0
d2,1,0.495793,0.46393,[250 215] ; [80 78],[246.3081862 218.6918138] ; [83.6918138 74.3081862],0
s4,1,0.523805,0.406395,[ 74 381] ; [ 29 128],[ 76.57679739 378.42320261] ; [ 26.42320261 130.57679739],0
a4,1,0.567065,0.327618,[228 236] ; [73 84],[224.90177134 239.09822866] ; [76.09822866 80.90177134],0
u4,1,0.580564,0.305324,[ 11 455] ; [  5 153],[ 11.94871795 454.05128205] ; [  4.05128205 153.94871795],0
v3,1,0.590282,0.289904,[190 259] ; [69 85],[192.85406302 256.14593698] ; [66.14593698 87.85406302],0
a1,1,0.598591,0.277126,[ 19 447] ; [  8 150],[ 20.16346154 445.83653846] ; [  6.83653846 151.16346154],0
s1,1,0.631448,0.230102,[ 14 444] ; [  6 150],[ 14.91856678 443.08143322] ; [  5.08143322 150.91856678],0
s6,1,0.636416,0.223461,[328 128] ; [107  46],[325.71428571 130.28571429] ; [109.28571429  43.71428571],0
p11,1,0.656744,0.197502,[379  87] ; [131  27],[380.86538462  85.13461538] ; [129.13461538  28.86538462],0
a8,1,0.667612,0.184408,[ 63 347] ; [ 21 130],[ 61.39037433 348.60962567] ; [ 22.60962567 128.39037433],0
p7,1,0.680132,0.169977,[298 154] ; [105  50],[300.092257 151.907743] ; [102.907743  52.092257],0
p6,1,0.694763,0.153977,[181 279] ; [59 98],[178.93030794 281.06969206] ; [61.06969206 95.93030794],0
p3,1,0.768539,0.086604,[239 225] ; [83 74],[240.59259259 223.40740741] ; [81.40740741 75.59259259],0
s3,1,0.786105,0.073643,[263 191] ; [89 68],[261.55155483 192.44844517] ; [90.44844517 66.55155483],0
v1,1,0.799416,0.064568,[260 196] ; [86 68],[258.64918033 197.35081967] ; [87.35081967 66.64918033],0
n1,1,0.863293,0.029647,[36 54] ; [15 21],[36.42857143 53.57142857] ; [14.57142857 21.42857143],0
a3,1,0.966307,0.001784,[345 118] ; [118  40],[345.19967794 117.80032206] ; [117.80032206  40.19967794],0
