Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.758053,[ 5 24] ; [11  1],[11.31707317 17.68292683] ; [4.68292683 7.31707317],1
d4,1,0.000409,12.488786,[ 9 20] ; [11  1],[14.14634146 14.85365854] ; [5.85365854 6.14634146],1
u3,1,0.014119,6.023243,[ 1 13] ; [2 1],[ 2.47058824 11.52941176] ; [0.52941176 2.47058824],0
a5,1,0.014241,6.008057,[12 17] ; [10  2],[15.56097561 13.43902439] ; [6.43902439 5.56097561],0
a4,1,0.042817,4.102597,[ 8 20] ; [7 4],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
a7,1,0.05884,3.569771,[10 19] ; [8 4],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
d2,1,0.0602,3.53187,[ 9 20] ; [7 4],[11.6 17.4] ; [4.4 6.6],0
p7,1,0.085534,2.95647,[10 19] ; [ 1 11],[ 7.7804878 21.2195122] ; [3.2195122 8.7804878],0
p2,1,0.085534,2.95647,[10 19] ; [ 1 11],[ 7.7804878 21.2195122] ; [3.2195122 8.7804878],0
n2,1,0.099195,2.718437,[8 6] ; [2 7],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
a2,1,0.107009,2.597845,[ 2 27] ; [3 9],[ 3.53658537 25.46341463] ; [ 1.46341463 10.53658537],0
n5,1,0.167793,1.902551,[23  6] ; [7 5],[21.2195122  7.7804878] ; [8.7804878 3.2195122],0
a6,1,0.203057,1.620252,[13 16] ; [8 4],[14.85365854 14.14634146] ; [6.14634146 5.85365854],0
a3,1,0.249325,1.327083,[15 12] ; [9 3],[16.61538462 10.38461538] ; [7.38461538 4.61538462],0
s4,1,0.257363,1.282886,[ 5 24] ; [4 8],[ 6.36585366 22.63414634] ; [2.63414634 9.36585366],0
n1,1,0.264589,1.244589,[8 6] ; [3 6],[6.69565217 7.30434783] ; [4.30434783 4.69565217],0
p9,1,0.268206,1.225898,[ 7 21] ; [ 1 10],[ 5.74358974 22.25641026] ; [2.25641026 8.74358974],0
r2,1,0.314889,1.010059,[15 14] ; [7 3],[16.35897436 12.64102564] ; [5.64102564 4.35897436],0
b1,1,0.321829,0.981499,[17 12] ; [9 3],[18.3902439 10.6097561] ; [7.6097561 4.3902439],0
n3,1,0.342095,0.902564,[7 6] ; [3 6],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
