Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.913049,[43  9] ; [13 27],[31.65217391 20.34782609] ; [24.34782609 15.65217391],1
s6,1,0.002637,9.042977,[32 19] ; [12 27],[24.93333333 26.06666667] ; [19.06666667 19.93333333],0
d5,1,0.014777,5.94288,[37 14] ; [19 21],[31.38461538 19.61538462] ; [24.61538462 15.38461538],0
a2,1,0.027451,4.862198,[11 41] ; [ 2 38],[ 7.34782609 44.65217391] ; [ 5.65217391 34.34782609],0
r1,1,0.03058,4.676365,[39 12] ; [22 18],[34.18681319 16.81318681] ; [26.81318681 13.18681319],0
n6,1,0.03058,4.676365,[39 12] ; [22 18],[34.18681319 16.81318681] ; [26.81318681 13.18681319],0
s7,1,0.033402,4.525047,[19 30] ; [ 7 32],[14.47727273 34.52272727] ; [11.52272727 27.47727273],0
a4,1,0.036959,4.352288,[21 31] ; [ 8 32],[16.39130435 35.60869565] ; [12.60869565 27.39130435],0
s2,1,0.056584,3.634783,[23 29] ; [10 30],[18.65217391 33.34782609] ; [14.34782609 25.65217391],0
a8,1,0.076069,3.146949,[ 9 39] ; [ 2 34],[ 6.28571429 41.71428571] ; [ 4.71428571 31.28571429],0
s3,1,0.099726,2.709926,[33 19] ; [18 21],[29.14285714 22.85714286] ; [21.85714286 17.14285714],0
s8,1,0.118973,2.430792,[15 36] ; [ 6 33],[11.9 39.1] ; [ 9.1 29.9],0
v4,1,0.148157,2.091129,[48  3] ; [34  6],[45.95604396  5.04395604] ; [36.04395604  3.95604396],0
a7,1,0.149113,2.081303,[35 17] ; [21 19],[31.65217391 20.34782609] ; [24.34782609 15.65217391],0
r4,1,0.157487,1.99819,[45  7] ; [30 10],[42.39130435  9.60869565] ; [32.60869565  7.39130435],0
d3,1,0.222694,1.486928,[32 19] ; [20 20],[29.14285714 21.85714286] ; [22.85714286 17.14285714],0
u1,1,0.247889,1.335164,[ 8 44] ; [ 3 37],[ 6.2173913 45.7826087] ; [ 4.7826087 35.2173913],0
p9,1,0.317152,1.000655,[21 28] ; [13 27],[18.71910112 30.28089888] ; [15.28089888 24.71910112],0
d1,1,0.336777,0.92266,[22 30] ; [13 27],[19.7826087 32.2173913] ; [15.2173913 24.7826087],0
n3,1,0.368042,0.810264,[12  5] ; [11  2],[13.03333333  3.96666667] ; [9.96666667 3.03333333],0
n2,1,0.368042,0.810264,[12  5] ; [11  2],[13.03333333  3.96666667] ; [9.96666667 3.03333333],0
s5,1,0.393788,0.727214,[13 38] ; [ 7 32],[11.33333333 39.66666667] ; [ 8.66666667 30.33333333],0
s4,1,0.426196,0.633168,[ 8 43] ; [ 4 36],[ 6.72527473 44.27472527] ; [ 5.27472527 34.72527473],0
p1,1,0.457165,0.552826,[ 2 49] ; [ 3 37],[ 2.8021978 48.1978022] ; [ 2.1978022 37.8021978],0
u2,1,0.459221,0.547794,[12 13] ; [ 7 12],[10.79545455 14.20454545] ; [ 8.20454545 10.79545455],0
a3,1,0.585934,0.296739,[25 27] ; [21 18],[26.28571429 25.71428571] ; [19.71428571 19.28571429],0
v3,1,0.598613,0.277093,[14 36] ; [ 9 30],[12.92134831 37.07865169] ; [10.07865169 28.92134831],0
r3,1,0.611952,0.257343,[45  7] ; [36  4],[45.7826087  6.2173913] ; [35.2173913  4.7826087],0
r2,1,0.625041,0.238846,[46  6] ; [34  6],[45.2173913  6.7826087] ; [34.7826087  5.2173913],0
d2,1,0.625721,0.237908,[23 28] ; [16 24],[21.85714286 29.14285714] ; [17.14285714 22.85714286],0
v2,1,0.63321,0.227733,[20 30] ; [18 22],[21.11111111 28.88888889] ; [16.88888889 23.11111111],0
u3,1,0.685377,0.164136,[13 14] ; [ 8 11],[12.32608696 14.67391304] ; [ 8.67391304 10.32608696],0
b5,1,0.705744,0.142565,[37 15] ; [27 13],[36.17391304 15.82608696] ; [27.82608696 12.17391304],0
a5,1,0.754982,0.097392,[29 23] ; [21 19],[28.26086957 23.73913043] ; [21.73913043 18.26086957],0
b2,1,0.759535,0.093692,[ 7 24] ; [ 4 17],[ 6.55769231 24.44230769] ; [ 4.44230769 16.55769231],0
b3,1,0.759535,0.093692,[ 7 24] ; [ 4 17],[ 6.55769231 24.44230769] ; [ 4.44230769 16.55769231],0
a1,1,0.787906,0.072378,[ 2 50] ; [ 2 38],[ 2.26086957 49.73913043] ; [ 1.73913043 38.26086957],0
b4,1,0.796224,0.066686,[30 22] ; [22 18],[29.39130435 22.60869565] ; [22.60869565 17.39130435],0
p3,1,0.796224,0.066686,[22 30] ; [18 22],[22.60869565 29.39130435] ; [17.39130435 22.60869565],0
d4,1,0.799058,0.064804,[35 15] ; [27 13],[34.44444444 15.55555556] ; [27.55555556 12.44444444],0
p2,1,0.830259,0.045954,[40 12] ; [30 10],[39.56521739 12.43478261] ; [30.43478261  9.56521739],0
p12,1,0.850792,0.035385,[ 1 51] ; [ 1 39],[ 1.13043478 50.86956522] ; [ 0.86956522 39.13043478],0
s1,1,0.854536,0.033611,[ 3 48] ; [ 2 38],[ 2.8021978 48.1978022] ; [ 2.1978022 37.8021978],0
p4,1,0.903649,0.014654,[26 26] ; [20 19],[26.28571429 25.71428571] ; [19.71428571 19.28571429],0
p11,1,0.941338,0.005415,[29 23] ; [22 18],[28.82608696 23.17391304] ; [22.17391304 17.82608696],0
p8,1,0.946383,0.004523,[26 24] ; [20 19],[25.84269663 24.15730337] ; [20.15730337 18.84269663],0
v1,1,0.949811,0.003962,[19 33] ; [14 25],[18.85714286 33.14285714] ; [14.14285714 24.85714286],0
p6,1,0.952408,0.003562,[20 32] ; [14 23],[19.86516854 32.13483146] ; [14.13483146 22.86516854],0
b1,1,0.956206,0.003016,[27 25] ; [21 19],[27.13043478 24.86956522] ; [20.86956522 19.13043478],0
n1,1,0.957675,0.002817,[ 6 10] ; [5 8],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
a6,1,0.992556,8.7e-05,[28 23] ; [22 18],[28.02197802 22.97802198] ; [21.97802198 18.02197802],0
