Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001776,9.768149,[40 15] ; [ 9 16],[33.6875 21.3125] ; [15.3125  9.6875],0
n5,1,0.001776,9.768149,[40 15] ; [ 9 16],[33.6875 21.3125] ; [15.3125  9.6875],0
r1,1,0.0115,6.386445,[47  8] ; [15 10],[42.625 12.375] ; [19.375  5.625],0
d3,1,0.021631,5.275189,[37 18] ; [10 15],[32.3125 22.6875] ; [14.6875 10.3125],0
p11,1,0.069036,3.305785,[34 21] ; [10 15],[30.25 24.75] ; [13.75 11.25],0
v3,1,0.096566,2.761369,[21 33] ; [ 5 20],[17.7721519 36.2278481] ; [ 8.2278481 16.7721519],0
p10,1,0.096566,2.761369,[21 33] ; [ 5 20],[17.7721519 36.2278481] ; [ 8.2278481 16.7721519],0
p2,1,0.100267,2.701299,[39 16] ; [13 12],[35.75 19.25] ; [16.25  8.75],0
v1,1,0.104577,2.634312,[26 29] ; [ 7 18],[22.6875 32.3125] ; [10.3125 14.6875],0
r4,1,0.113043,2.511162,[46  9] ; [17  8],[43.3125 11.6875] ; [19.6875  5.3125],0
a2,1,0.121174,2.402078,[ 9 46] ; [ 1 24],[ 6.875 48.125] ; [ 3.125 21.875],0
s7,1,0.131463,2.275137,[26 24] ; [ 8 16],[22.97297297 27.02702703] ; [11.02702703 12.97297297],0
s4,1,0.133783,2.248051,[ 9 44] ; [ 8 17],[11.55128205 41.44871795] ; [ 5.44871795 19.55128205],0
a5,1,0.139649,2.181818,[36 19] ; [12 13],[33. 22.] ; [15. 10.],0
n1,1,0.141326,2.163462,[9 6] ; [3 7],[7.2 7.8] ; [4.8 5.2],0
p4,1,0.2278,1.454545,[25 30] ; [15 10],[27.5 27.5] ; [12.5 12.5],0
b5,1,0.238312,1.390549,[32 23] ; [11 14],[29.5625 25.4375] ; [13.4375 11.5625],0
b1,1,0.246516,1.342944,[34 21] ; [12 13],[31.625 23.375] ; [14.375 10.625],0
a3,1,0.25223,1.31091,[36 19] ; [13 12],[33.6875 21.3125] ; [15.3125  9.6875],0
n2,1,0.267938,1.227273,[12  4] ; [6 5],[10.66666667  5.33333333] ; [7.33333333 3.66666667],0
d1,1,0.275313,1.190083,[27 28] ; [ 9 16],[24.75 30.25] ; [11.25 13.75],0
u1,1,0.314,1.013774,[ 9 46] ; [ 2 23],[ 7.5625 47.4375] ; [ 3.4375 21.5625],0
b4,1,0.324756,0.969697,[31 24] ; [17  8],[33. 22.] ; [15. 10.],0
s6,1,0.330967,0.94511,[37 18] ; [14 11],[35.0625 19.9375] ; [15.9375  9.0625],0
d5,1,0.33424,0.932401,[39 16] ; [15 10],[37.125 17.875] ; [16.875  8.125],0
a8,1,0.336435,0.92397,[ 6 45] ; [ 1 21],[ 4.89041096 46.10958904] ; [ 2.10958904 19.89041096],0
n3,1,0.339039,0.914062,[11  5] ; [5 5],[9.84615385 6.15384615] ; [6.15384615 3.84615385],0
p8,1,0.341745,0.903875,[19 36] ; [11 13],[20.88607595 34.11392405] ; [ 9.11392405 14.88607595],0
r2,1,0.364672,0.821739,[50  5] ; [21  4],[48.8125  6.1875] ; [22.1875  2.8125],0
s1,1,0.396963,0.717506,[ 5 48] ; [ 4 21],[ 6.11538462 46.88461538] ; [ 2.88461538 22.11538462],0
a7,1,0.408328,0.683664,[34 21] ; [13 12],[32.3125 22.6875] ; [14.6875 10.3125],0
p7,1,0.438678,0.599739,[29 24] ; [16  9],[30.57692308 22.42307692] ; [14.42307692 10.57692308],0
u2,1,0.440495,0.594992,[10  9] ; [8 4],[11.03225806  7.96774194] ; [6.96774194 5.03225806],0
d4,1,0.492199,0.471715,[37 18] ; [18  6],[38.29113924 16.70886076] ; [16.70886076  7.29113924],0
s2,1,0.502274,0.450128,[33 22] ; [13 12],[31.625 23.375] ; [14.375 10.625],0
p6,1,0.516808,0.420259,[15 39] ; [ 5 19],[13.84615385 40.15384615] ; [ 6.15384615 17.84615385],0
a6,1,0.520161,0.413575,[31 24] ; [16  9],[32.3125 22.6875] ; [14.6875 10.3125],0
r3,1,0.535103,0.384692,[48  7] ; [23  2],[48.8125  6.1875] ; [22.1875  2.8125],0
s8,1,0.562343,0.335664,[19 36] ; [ 7 18],[17.875 37.125] ; [ 8.125 16.875],0
p3,1,0.584604,0.298851,[19 35] ; [10 14],[20.07692308 33.92307692] ; [ 8.92307692 15.07692308],0
d2,1,0.586854,0.295284,[25 30] ; [13 12],[26.125 28.875] ; [11.875 13.125],0
u3,1,0.625266,0.238535,[11  8] ; [8 4],[11.64516129  7.35483871] ; [7.35483871 4.64516129],0
v4,1,0.664461,0.18815,[47  7] ; [20  4],[46.38461538  7.61538462] ; [20.61538462  3.38461538],0
p1,1,0.687673,0.161616,[ 6 49] ; [ 2 23],[ 5.5 49.5] ; [ 2.5 22.5],0
v2,1,0.743204,0.107331,[20 33] ; [10 14],[20.64935065 32.35064935] ; [ 9.35064935 14.64935065],0
a1,1,0.782021,0.076555,[ 3 52] ; [ 1 24],[ 2.75 52.25] ; [ 1.25 23.75],0
a4,1,0.906623,0.013759,[18 36] ; [ 8 17],[17.7721519 36.2278481] ; [ 8.2278481 16.7721519],0
s5,1,0.929935,0.007731,[13 41] ; [ 6 18],[13.15384615 40.84615385] ; [ 5.84615385 18.15384615],0
b3,1,0.955247,0.003149,[10 26] ; [ 4 10],[10.08 25.92] ; [ 3.92 10.08],0
b2,1,0.955247,0.003149,[10 26] ; [ 4 10],[10.08 25.92] ; [ 3.92 10.08],0
