Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,3e-06,21.610719,[90  8] ; [4 6],[85.2962963 12.7037037] ; [8.7037037 1.2962963],1
v4,1,0.000143,14.46679,[93  5] ; [6 4],[89.83333333  8.16666667] ; [9.16666667 0.83333333],1
s6,1,0.001376,10.237443,[69 29] ; [2 8],[64.42592593 33.57407407] ; [6.57407407 3.42592593],0
b1,1,0.007991,7.035529,[36 62] ; [8 2],[39.92592593 58.07407407] ; [4.07407407 5.92592593],0
s2,1,0.009467,6.732619,[52 46] ; [1 9],[48.09259259 49.90740741] ; [4.90740741 5.09259259],0
d1,1,0.011259,6.423929,[51 47] ; [1 9],[47.18518519 50.81481481] ; [4.81481481 5.18518519],0
s3,1,0.026774,4.905318,[55 42] ; [2 8],[51.6728972 45.3271028] ; [5.3271028 4.6728972],0
v2,1,0.033168,4.537071,[51 41] ; [2 8],[47.80392157 44.19607843] ; [5.19607843 4.80392157],0
n3,1,0.068585,3.316576,[24  7] ; [3 4],[22.02631579  8.97368421] ; [4.97368421 2.02631579],0
d5,1,0.082934,3.00644,[74 24] ; [5 5],[71.68518519 26.31481481] ; [7.31481481 2.68518519],0
a7,1,0.099551,2.712716,[73 25] ; [5 5],[70.77777778 27.22222222] ; [7.22222222 2.77777778],0
s5,1,0.099853,2.707895,[34 61] ; [1 9],[31.66666667 63.33333333] ; [3.33333333 6.66666667],0
n1,1,0.120903,2.405587,[ 8 22] ; [4 3],[ 9.72972973 20.27027027] ; [2.27027027 4.72972973],0
n5,1,0.138538,2.194119,[35 62] ; [6 4],[37.1682243 59.8317757] ; [3.8317757 6.1682243],0
a6,1,0.150549,2.066684,[62 36] ; [4 6],[59.88888889 38.11111111] ; [6.11111111 3.88888889],0
p5,1,0.165523,1.923033,[ 8 90] ; [2 7],[ 9.1588785 88.8411215] ; [0.8411215 8.1588785],0
r1,1,0.168264,1.89834,[69 28] ; [5 5],[67.08411215 29.91588785] ; [6.91588785 3.08411215],0
s8,1,0.198349,1.654492,[40 58] ; [2 8],[38.11111111 59.88888889] ; [3.88888889 6.11111111],0
b4,1,0.21702,1.523965,[59 39] ; [4 6],[57.16666667 40.83333333] ; [5.83333333 4.16666667],0
d2,1,0.241517,1.371717,[38 60] ; [2 8],[36.2962963 61.7037037] ; [3.7037037 6.2962963],0
p3,1,0.269774,1.217895,[57 41] ; [4 6],[55.35185185 42.64814815] ; [5.64814815 4.35185185],0
p11,1,0.270863,1.212371,[66 32] ; [5 5],[64.42592593 33.57407407] ; [6.57407407 3.42592593],0
n2,1,0.294937,1.096949,[23  7] ; [4 3],[21.89189189  8.10810811] ; [5.10810811 1.89189189],0
s1,1,0.396191,0.719857,[ 4 94] ; [1 9],[ 4.53703704 93.46296296] ; [0.46296296 9.53703704],0
s7,1,0.409236,0.681018,[38 54] ; [5 4],[39.16831683 52.83168317] ; [3.83168317 5.16831683],0
p12,1,0.5195,0.414886,[ 5 93] ; [1 9],[ 5.44444444 92.55555556] ; [0.55555556 9.44444444],0
d3,1,0.523015,0.407944,[69 29] ; [8 2],[69.87037037 28.12962963] ; [7.12962963 2.87037037],0
b5,1,0.531591,0.39135,[59 39] ; [5 5],[58.07407407 39.92592593] ; [5.92592593 4.07407407],0
p8,1,0.579644,0.30681,[56 42] ; [6 3],[56.78504673 41.21495327] ; [5.21495327 3.78504673],0
a4,1,0.585951,0.296713,[38 60] ; [3 7],[37.2037037 60.7962963] ; [3.7962963 6.2037037],0
d4,1,0.589688,0.290833,[76 22] ; [7 3],[75.31481481 22.68518519] ; [7.68518519 2.31481481],0
a2,1,0.60077,0.273836,[16 82] ; [1 9],[15.42592593 82.57407407] ; [1.57407407 8.42592593],0
a3,1,0.628558,0.234022,[61 37] ; [7 3],[61.7037037 36.2962963] ; [6.2962963 3.7037037],0
v1,1,0.651359,0.204191,[40 54] ; [5 5],[40.67307692 53.32692308] ; [4.32692308 5.67307692],0
s4,1,0.701478,0.146939,[25 73] ; [2 8],[24.5 73.5] ; [2.5 7.5],0
p6,1,0.71851,0.129925,[35 63] ; [3 7],[34.48148148 63.51851852] ; [3.51851852 6.48148148],0
n6,1,0.722493,0.126116,[63 33] ; [6 4],[62.49056604 33.50943396] ; [6.50943396 3.49056604],0
p9,1,0.772174,0.083829,[72 25] ; [7 3],[71.61682243 25.38317757] ; [7.38317757 2.61682243],0
v3,1,0.805717,0.060494,[24 67] ; [3 7],[24.32673267 66.67326733] ; [2.67326733 7.32673267],0
p2,1,0.846584,0.037434,[75 22] ; [8 2],[75.24299065 21.75700935] ; [7.75700935 2.24299065],0
a5,1,0.864415,0.029158,[66 32] ; [7 3],[66.24074074 31.75925926] ; [6.75925926 3.24074074],0
b2,1,0.874018,0.02514,[16 37] ; [2 4],[16.16949153 36.83050847] ; [1.83050847 4.16949153],0
b3,1,0.874018,0.02514,[16 37] ; [2 4],[16.16949153 36.83050847] ; [1.83050847 4.16949153],0
p7,1,0.884618,0.021059,[70 27] ; [7 3],[69.80373832 27.19626168] ; [7.19626168 2.80373832],0
p10,1,0.940001,0.005665,[69 28] ; [7 3],[68.89719626 28.10280374] ; [7.10280374 2.89719626],0
u1,1,0.983784,0.000413,[10 88] ; [1 9],[ 9.98148148 88.01851852] ; [1.01851852 8.98148148],0
u2,1,1.0,0.0,[24 12] ; [2 1],[24. 12.] ; [2. 1.],0
