Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,30.010042,[19  3] ; [13 50],[ 8.28235294 13.71764706] ; [23.71764706 39.28235294],1
s2,1,2.4e-05,17.879365,[15  7] ; [13 53],[ 7. 15.] ; [21. 45.],1
s3,1,4.2e-05,16.761905,[16  6] ; [16 50],[ 8. 14.] ; [24. 42.],1
s6,1,0.00018,14.030061,[16  7] ; [17 49],[ 8.52808989 14.47191011] ; [24.47191011 41.52808989],1
p4,1,0.001399,10.206823,[15  8] ; [18 47],[ 8.625 14.375] ; [24.375 40.625],0
p9,1,0.001562,10.004038,[20  2] ; [34 30],[13.81395349  8.18604651] ; [40.18604651 23.81395349],0
r3,1,0.001959,9.587599,[18  5] ; [26 38],[11.63218391 11.36781609] ; [32.36781609 31.63218391],0
p11,1,0.003616,8.46747,[19  4] ; [32 35],[13.03333333  9.96666667] ; [37.96666667 29.03333333],0
p6,1,0.003738,8.406757,[11 12] ; [11 53],[ 5.81609195 17.18390805] ; [16.18390805 47.81609195],0
p10,1,0.010592,6.532456,[18  4] ; [33 32],[12.89655172  9.10344828] ; [38.10344828 26.89655172],0
p2,1,0.013386,6.117314,[18  5] ; [31 33],[12.95402299 10.04597701] ; [36.04597701 27.95402299],0
v2,1,0.022079,5.239538,[13 10] ; [19 45],[ 8.45977011 14.54022989] ; [23.54022989 40.45977011],0
p8,1,0.025363,4.998963,[11 12] ; [15 50],[ 6.79545455 16.20454545] ; [19.20454545 45.79545455],0
p7,1,0.026053,4.952517,[13  9] ; [21 44],[ 8.59770115 13.40229885] ; [25.40229885 39.59770115],0
p3,1,0.042308,4.122854,[10 13] ; [14 51],[ 6.27272727 16.72727273] ; [17.72727273 47.27272727],0
d4,1,0.044955,4.020327,[18  5] ; [36 30],[13.95505618  9.04494382] ; [40.04494382 25.95505618],0
n2,1,0.061664,3.492063,[10  1] ; [20 13],[7.5 3.5] ; [22.5 10.5],0
a5,1,0.069398,3.297204,[17  6] ; [35 32],[13.28888889  9.71111111] ; [38.71111111 28.28888889],0
v1,1,0.090232,2.870236,[10 11] ; [18 47],[ 6.8372093 14.1627907] ; [21.1627907 43.8372093],0
a1,1,0.110393,2.548581,[ 1 22] ; [12 55],[ 3.32222222 19.67777778] ; [ 9.67777778 57.32222222],0
n6,1,0.115102,2.482734,[18  5] ; [39 26],[14.89772727  8.10227273] ; [42.10227273 22.89772727],0
v3,1,0.193874,1.687933,[ 8 15] ; [14 52],[ 5.68539326 17.31460674] ; [16.31460674 49.68539326],0
a3,1,0.205036,1.606132,[17  6] ; [39 27],[14.47191011  8.52808989] ; [41.52808989 24.47191011],0
p1,1,0.231619,1.430889,[ 1 22] ; [ 9 58],[ 2.55555556 20.44444444] ; [ 7.44444444 59.55555556],0
r1,1,0.255414,1.293447,[ 8 15] ; [15 51],[ 5.94382022 17.05617978] ; [17.05617978 48.94382022],0
b5,1,0.277881,1.177422,[14  9] ; [32 35],[11.75555556 11.24444444] ; [34.24444444 32.75555556],0
n1,1,0.288159,1.128205,[6 5] ; [12 21],[4.5 6.5] ; [13.5 19.5],0
d1,1,0.308201,1.038371,[11 12] ; [24 43],[ 8.94444444 14.05555556] ; [26.05555556 40.94444444],0
v4,1,0.316622,1.002849,[15  7] ; [37 29],[13.  9.] ; [39. 27.],0
r2,1,0.359208,0.840659,[10 10] ; [40 25],[11.76470588  8.23529412] ; [38.23529412 26.76470588],0
a4,1,0.382605,0.762316,[10 13] ; [22 44],[ 8.26966292 14.73033708] ; [23.73033708 42.26966292],0
b2,1,0.396443,0.719087,[ 5 15] ; [14 25],[ 6.44067797 13.55932203] ; [12.55932203 26.44067797],0
b3,1,0.396443,0.719087,[ 5 15] ; [14 25],[ 6.44067797 13.55932203] ; [12.55932203 26.44067797],0
d5,1,0.399877,0.708696,[16  7] ; [40 27],[14.31111111  8.68888889] ; [41.68888889 25.31111111],0
s5,1,0.422709,0.642771,[ 4 17] ; [ 8 58],[ 2.89655172 18.10344828] ; [ 9.10344828 56.89655172],0
a8,1,0.468939,0.524474,[ 2 20] ; [ 3 59],[ 1.30952381 20.69047619] ; [ 3.69047619 58.30952381],0
a2,1,0.50699,0.440274,[ 4 19] ; [ 8 59],[ 3.06666667 19.93333333] ; [ 8.93333333 58.06666667],0
n4,1,0.518353,0.417169,[19  4] ; [51 16],[17.88888889  5.11111111] ; [52.11111111 14.88888889],0
b1,1,0.539485,0.376495,[11 12] ; [37 30],[12.26666667 10.73333333] ; [35.73333333 31.26666667],0
n3,1,0.601132,0.273292,[6 5] ; [15 18],[5.25 5.75] ; [15.75 17.25],0
s1,1,0.605359,0.266988,[ 1 22] ; [ 5 62],[ 1.53333333 21.46666667] ; [ 4.46666667 62.53333333],0
a6,1,0.624707,0.239308,[11 12] ; [36 31],[12.01111111 10.98888889] ; [34.98888889 32.01111111],0
u3,1,0.674576,0.176296,[2 4] ; [ 7 21],[1.58823529 4.41176471] ; [ 7.41176471 20.58823529],0
d3,1,0.678735,0.171553,[10 13] ; [32 34],[10.85393258 12.14606742] ; [31.14606742 34.85393258],0
p5,1,0.767719,0.087238,[ 3 20] ; [ 7 58],[ 2.61363636 20.38636364] ; [ 7.38636364 57.61363636],0
p12,1,0.772833,0.083331,[ 1 22] ; [ 2 63],[ 0.78409091 22.21590909] ; [ 2.21590909 62.78409091],0
a7,1,0.78254,0.076182,[ 9 14] ; [28 38],[ 9.56179775 13.43820225] ; [27.43820225 38.56179775],0
d2,1,0.790414,0.070635,[11 12] ; [29 36],[10.45454545 12.54545455] ; [29.54545455 35.45454545],0
s4,1,0.808598,0.058678,[ 4 19] ; [13 53],[ 4.39325843 18.60674157] ; [12.60674157 53.39325843],0
u2,1,0.864547,0.029101,[2 4] ; [10 17],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
b4,1,0.913934,0.011681,[13 10] ; [37 30],[12.77777778 10.22222222] ; [37.22222222 29.77777778],0
u1,1,0.969893,0.001424,[ 2 21] ; [ 6 61],[ 2.04444444 20.95555556] ; [ 5.95555556 61.04444444],0
