Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,42.120905,[ 8 28] ; [58  9],[23.06796117 12.93203883] ; [42.93203883 24.06796117],1
p2,1,4.2e-05,16.790949,[22 15] ; [62  5],[29.88461538  7.11538462] ; [54.11538462 12.88461538],1
n6,1,0.000552,11.931098,[21 15] ; [59  8],[27.96116505  8.03883495] ; [52.03883495 14.96116505],1
s7,1,0.002363,9.244002,[12 22] ; [40 19],[19.01075269 14.98924731] ; [32.98924731 26.01075269],0
r4,1,0.006552,7.39195,[27 10] ; [62  5],[31.66346154  5.33653846] ; [57.33653846  9.66346154],0
p9,1,0.009407,6.743809,[19 17] ; [52 15],[24.81553398 11.18446602] ; [46.18446602 20.81553398],0
p6,1,0.010958,6.472134,[ 9 28] ; [33 33],[15.08737864 21.91262136] ; [26.91262136 39.08737864],0
r1,1,0.024651,5.048272,[23 14] ; [55 12],[27.75  9.25] ; [50.25 16.75],0
s6,1,0.027114,4.883507,[24 13] ; [53 10],[28.49  8.51] ; [48.51 14.49],0
n1,1,0.032509,4.571429,[ 4 12] ; [10  6],[7. 9.] ; [7. 9.],0
p10,1,0.053537,3.727084,[16 20] ; [43 24],[20.62135922 15.37864078] ; [38.37864078 28.62135922],0
s8,1,0.061619,3.493258,[12 25] ; [34 32],[16.52427184 20.47572816] ; [29.47572816 36.52427184],0
u1,1,0.076548,3.136706,[ 4 33] ; [17 50],[ 7.47115385 29.52884615] ; [13.52884615 53.47115385],0
d1,1,0.078243,3.101017,[16 21] ; [41 26],[20.27884615 16.72115385] ; [36.72115385 30.27884615],0
a1,1,0.093045,2.820879,[ 3 34] ; [ 1 66],[ 1.42307692 35.57692308] ; [ 2.57692308 64.42307692],0
r2,1,0.094889,2.789408,[31  6] ; [62  4],[33.40776699  3.59223301] ; [59.59223301  6.40776699],0
d5,1,0.111524,2.532492,[26 11] ; [56 11],[29.17307692  7.82692308] ; [52.82692308 14.17307692],0
v3,1,0.11751,2.450197,[ 9 25] ; [28 38],[12.58 21.42] ; [24.42 41.58],0
s2,1,0.169834,1.884412,[19 18] ; [43 23],[22.27184466 14.72815534] ; [39.72815534 26.27184466],0
d3,1,0.193327,1.69208,[25 12] ; [53 14],[27.75  9.25] ; [50.25 16.75],0
v1,1,0.195813,1.673331,[14 22] ; [35 32],[17.12621359 18.87378641] ; [31.87378641 35.12621359],0
p3,1,0.201816,1.629184,[19 18] ; [43 24],[22.05769231 14.94230769] ; [39.94230769 27.05769231],0
s5,1,0.237182,1.397263,[11 25] ; [26 35],[13.73195876 22.26804124] ; [23.26804124 37.73195876],0
d2,1,0.241973,1.369064,[16 21] ; [37 30],[18.85576923 18.14423077] ; [34.14423077 32.85576923],0
s4,1,0.247861,1.33532,[11 26] ; [13 53],[ 8.62135922 28.37864078] ; [15.37864078 50.62135922],0
n2,1,0.264173,1.246753,[9 7] ; [12  4],[10.5  5.5] ; [10.5  5.5],0
v4,1,0.267172,1.231212,[31  6] ; [61  6],[32.73076923  4.26923077] ; [59.26923077  7.73076923],0
a2,1,0.287197,1.132715,[ 7 30] ; [19 48],[ 9.25 27.75] ; [16.75 50.25],0
u3,1,0.296852,1.088284,[10  3] ; [15 10],[8.55263158 4.44736842] ; [16.44736842  8.55263158],0
v2,1,0.297044,1.08742,[15 20] ; [36 31],[17.5 17.5] ; [33.5 33.5],0
r3,1,0.328817,0.953553,[32  5] ; [61  5],[33.40776699  3.59223301] ; [59.59223301  6.40776699],0
b5,1,0.368628,0.808283,[21 16] ; [44 23],[23.125 13.875] ; [41.875 25.125],0
b2,1,0.372407,0.795617,[ 3 15] ; [11 29],[ 4.34482759 13.65517241] ; [ 9.65517241 30.34482759],0
b3,1,0.372407,0.795617,[ 3 15] ; [11 29],[ 4.34482759 13.65517241] ; [ 9.65517241 30.34482759],0
s3,1,0.390364,0.737808,[20 17] ; [42 25],[22.05769231 14.94230769] ; [39.94230769 27.05769231],0
a4,1,0.393476,0.728174,[15 22] ; [33 34],[17.07692308 19.92307692] ; [30.92307692 36.07692308],0
d4,1,0.407794,0.685223,[26 11] ; [52 15],[27.75  9.25] ; [50.25 16.75],0
p12,1,0.455852,0.55606,[ 1 36] ; [ 4 63],[ 1.77884615 35.22115385] ; [ 3.22115385 63.77884615],0
a6,1,0.500238,0.454432,[19 18] ; [39 28],[20.63461538 16.36538462] ; [37.36538462 29.63461538],0
a7,1,0.579357,0.307275,[24 13] ; [47 20],[25.25961538 11.74038462] ; [45.74038462 21.25961538],0
p1,1,0.603736,0.269397,[ 5 31] ; [ 7 60],[ 4.19417476 31.80582524] ; [ 7.80582524 59.19417476],0
a3,1,0.674998,0.175812,[22 15] ; [42 24],[22.99029126 14.00970874] ; [41.00970874 24.99029126],0
s1,1,0.692014,0.156914,[ 3 34] ; [ 4 62],[ 2.51456311 34.48543689] ; [ 4.48543689 61.51456311],0
b4,1,0.704496,0.143837,[19 18] ; [37 30],[19.92307692 17.07692308] ; [36.07692308 30.92307692],0
n3,1,0.709749,0.138528,[10  6] ; [11  5],[10.5  5.5] ; [10.5  5.5],0
u2,1,0.718432,0.13,[7 7] ; [11 14],[6.46153846 7.53846154] ; [11.53846154 13.46153846],0
a5,1,0.744558,0.106161,[26 11] ; [45 22],[25.25961538 11.74038462] ; [45.74038462 21.25961538],0
p8,1,0.761609,0.092033,[15 21] ; [30 37],[15.72815534 20.27184466] ; [29.27184466 37.72815534],0
p7,1,0.793541,0.068495,[20 17] ; [38 29],[20.63461538 16.36538462] ; [37.36538462 29.63461538],0
b1,1,0.880224,0.022706,[21 16] ; [37 30],[20.63461538 16.36538462] ; [37.36538462 29.63461538],0
