Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9e-06,19.773641,[105  52] ; [72 98],[84.98165138 72.01834862] ; [92.01834862 77.98165138],1
v3,1,0.00141,10.192085,[70 87] ; [ 47 123],[ 56.17431193 100.82568807] ; [ 60.82568807 109.17431193],0
s6,1,0.011752,6.347896,[115  47] ; [103  75],[103.87058824  58.12941176] ; [114.12941176  63.87058824],0
n5,1,0.01704,5.692213,[120  42] ; [109  67],[109.75739645  52.24260355] ; [119.24260355  56.75739645],0
s2,1,0.022792,5.184325,[90 71] ; [ 77 100],[79.54733728 81.45266272] ; [87.45266272 89.54733728],0
a8,1,0.028686,4.786341,[ 25 123] ; [ 14 148],[ 18.61935484 129.38064516] ; [ 20.38064516 141.61935484],0
p9,1,0.031209,4.641408,[128  34] ; [123  56],[119.24340176  42.75659824] ; [131.75659824  47.24340176],0
b5,1,0.039742,4.228855,[112  52] ; [103  76],[102.79883382  61.20116618] ; [112.20116618  66.79883382],0
s8,1,0.04375,4.066167,[71 92] ; [ 59 120],[ 61.95906433 101.04093567] ; [ 68.04093567 110.95906433],0
p3,1,0.046913,3.948505,[ 61 102] ; [ 49 130],[ 52.42690058 110.57309942] ; [ 57.57309942 121.42690058],0
p6,1,0.049902,3.844753,[ 43 118] ; [ 32 147],[ 35.51470588 125.48529412] ; [ 39.48529412 139.51470588],0
p7,1,0.055803,3.657932,[77 82] ; [ 67 109],[68.34626866 90.65373134] ; [ 75.65373134 100.34626866],0
p2,1,0.06824,3.324855,[123  40] ; [119  60],[115.33918129  47.66081871] ; [126.66081871  52.33918129],0
r3,1,0.076304,3.14192,[159   5] ; [164  13],[155.3431085   8.6568915] ; [167.6568915   9.3431085],0
r2,1,0.09376,2.808596,[159   4] ; [167  11],[155.82991202   7.17008798] ; [170.17008798   7.82991202],0
p10,1,0.108536,2.575414,[122  40] ; [120  58],[115.30588235  46.69411765] ; [126.69411765  51.30588235],0
a4,1,0.108676,2.573365,[87 76] ; [80 99],[79.59356725 83.40643275] ; [87.40643275 91.59356725],0
b1,1,0.13987,2.179388,[ 56 108] ; [ 75 104],[ 62.63556851 101.36443149] ; [ 68.36443149 110.63556851],0
b3,1,0.143804,2.136772,[44 64] ; [31 69],[38.94230769 69.05769231] ; [36.05769231 63.94230769],0
b2,1,0.143804,2.136772,[44 64] ; [31 69],[38.94230769 69.05769231] ; [36.05769231 63.94230769],0
r4,1,0.149604,2.076282,[153  11] ; [159  20],[149.17784257  14.82215743] ; [162.82215743  16.17784257],0
a3,1,0.156596,2.006792,[122  42] ; [120  58],[116.04678363  47.95321637] ; [125.95321637  52.04678363],0
v4,1,0.170955,1.874544,[155   7] ; [163  14],[151.96460177  10.03539823] ; [166.03539823  10.96460177],0
p4,1,0.171478,1.869976,[75 89] ; [ 68 109],[68.77419355 95.22580645] ; [ 74.22580645 102.77419355],0
p11,1,0.189443,1.721942,[118  46] ; [117  62],[112.36151603  51.63848397] ; [122.63848397  56.36151603],0
a5,1,0.203113,1.619849,[122  42] ; [122  57],[116.66472303  47.33527697] ; [127.33527697  51.66472303],0
s7,1,0.209654,1.573814,[76 79] ; [72 99],[70.36809816 84.63190184] ; [77.63190184 93.36809816],0
u2,1,0.224787,1.473544,[27 14] ; [30 26],[24.09278351 16.90721649] ; [32.90721649 23.09278351],0
u1,1,0.224915,1.472732,[ 40 124] ; [ 34 145],[ 35.3819242 128.6180758] ; [ 38.6180758 140.3819242],0
n4,1,0.228804,1.448283,[125  38] ; [127  52],[120.10526316  42.89473684] ; [131.89473684  47.10526316],0
a7,1,0.229782,1.44221,[111  53] ; [131  47],[116.04678363  47.95321637] ; [125.95321637  52.04678363],0
n3,1,0.240957,1.374987,[35  9] ; [43 19],[32.37735849 11.62264151] ; [45.62264151 16.37735849],0
n2,1,0.25789,1.280047,[31 12] ; [40 25],[28.26851852 14.73148148] ; [42.73148148 22.26851852],0
u4,1,0.273557,1.198823,[  3 161] ; [  1 178],[  1.91253644 162.08746356] ; [  2.08746356 176.91253644],0
s5,1,0.278735,1.173245,[ 50 107] ; [ 46 128],[ 45.5347432 111.4652568] ; [ 50.4652568 123.5347432],0
a2,1,0.325709,0.965883,[ 49 115] ; [ 45 134],[ 44.94460641 119.05539359] ; [ 49.05539359 129.94460641],0
s4,1,0.346365,0.886731,[ 24 138] ; [ 33 144],[ 27.23893805 134.76106195] ; [ 29.76106195 147.23893805],0
d5,1,0.393537,0.727985,[135  29] ; [140  38],[131.87134503  32.12865497] ; [143.12865497  34.87134503],0
n6,1,0.461867,0.541367,[130  32] ; [137  41],[127.21764706  34.78235294] ; [139.78235294  38.21764706],0
p5,1,0.465419,0.532831,[ 10 150] ; [  8 171],[  8.49557522 151.50442478] ; [  9.50442478 169.49557522],0
a1,1,0.488998,0.478731,[  9 155] ; [  7 172],[  7.65014577 156.34985423] ; [  8.34985423 170.65014577],0
p12,1,0.489197,0.478292,[ 11 151] ; [  9 170],[  9.50146628 152.49853372] ; [ 10.49853372 168.50146628],0
d2,1,0.523452,0.407086,[83 80] ; [84 93],[80.06176471 82.93823529] ; [86.93823529 90.06176471],0
s3,1,0.542832,0.370317,[91 68] ; [96 82],[88.22848665 70.77151335] ; [98.77151335 79.22848665],0
u3,1,0.636386,0.223499,[28 14] ; [36 22],[26.88 15.12] ; [37.12 20.88],0
a6,1,0.751246,0.100487,[115  49] ; [122  56],[113.64912281  50.35087719] ; [123.35087719  54.64912281],0
d1,1,0.780326,0.077782,[91 73] ; [102  77],[92.27988338 71.72011662] ; [100.72011662  78.27988338],0
b4,1,0.851088,0.035243,[101  63] ; [112  67],[101.8425656  62.1574344] ; [111.1574344  67.8425656],0
d4,1,0.876746,0.024055,[135  29] ; [146  30],[135.54117647  28.45882353] ; [145.45882353  30.54117647],0
p1,1,0.939641,0.005734,[  8 156] ; [  9 169],[  8.15204678 155.84795322] ; [  8.84795322 169.15204678],0
n1,1,0.957446,0.002847,[15 28] ; [23 42],[15.12962963 27.87037037] ; [22.87037037 42.12962963],0
d3,1,0.960902,0.002403,[112  52] ; [122  56],[112.21052632  51.78947368] ; [121.78947368  56.21052632],0
s1,1,0.997767,8e-06,[  9 151] ; [ 10 168],[  8.99408284 151.00591716] ; [ 10.00591716 167.99408284],0
