Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000276,13.224096,[15 71] ; [10  7],[20.87378641 65.12621359] ; [ 4.12621359 12.87378641],1
s6,1,0.00058,11.838087,[35 51] ; [14  2],[41.31372549 44.68627451] ; [7.68627451 8.31372549],1
p7,1,0.002017,9.534451,[22 62] ; [11  6],[27.44554455 56.55445545] ; [ 5.55445545 11.44554455],0
r4,1,0.018377,5.559828,[57 30] ; [16  1],[61.06730769 25.93269231] ; [11.93269231  5.06730769],0
p12,1,0.021648,5.273834,[ 3 84] ; [ 3 14],[ 5.01923077 81.98076923] ; [ 0.98076923 16.01923077],0
p3,1,0.053913,3.715398,[21 66] ; [8 9],[24.25961538 62.74038462] ; [ 4.74038462 12.25961538],0
p5,1,0.054027,3.71188,[ 4 81] ; [ 3 14],[ 5.83333333 79.16666667] ; [ 1.16666667 15.83333333],0
a6,1,0.063421,3.445571,[40 47] ; [12  5],[43.5 43.5] ; [8.5 8.5],0
n6,1,0.071891,3.239311,[51 35] ; [14  3],[54.27184466 31.72815534] ; [10.72815534  6.27184466],0
v4,1,0.074735,3.175828,[64 22] ; [16  1],[66.7961165 19.2038835] ; [13.2038835  3.7961165],0
r3,1,0.074735,3.175828,[64 22] ; [16  1],[66.7961165 19.2038835] ; [13.2038835  3.7961165],0
b5,1,0.086632,2.935874,[47 40] ; [13  4],[50.19230769 36.80769231] ; [9.80769231 7.19230769],0
s7,1,0.08676,2.933481,[15 67] ; [ 6 10],[17.57142857 64.42857143] ; [ 3.42857143 12.57142857],0
s2,1,0.09534,2.781818,[27 58] ; [9 8],[30. 55.] ; [ 6. 11.],0
r2,1,0.104235,2.639515,[66 20] ; [16  1],[68.46601942 17.53398058] ; [13.53398058  3.46601942],0
u2,1,0.143682,2.138081,[20 25] ; [7 3],[22.09090909 22.90909091] ; [4.90909091 5.09090909],0
s8,1,0.143789,2.136935,[18 69] ; [ 6 10],[20.27184466 66.72815534] ; [ 3.72815534 12.27184466],0
a7,1,0.144516,2.129202,[39 47] ; [11  6],[41.74757282 44.25242718] ; [8.25242718 8.74757282],0
r1,1,0.156474,2.007978,[50 36] ; [13  4],[52.60194175 33.39805825] ; [10.39805825  6.60194175],0
a5,1,0.248769,1.330204,[44 43] ; [ 6 11],[41.82692308 45.17307692] ; [8.17307692 8.82692308],0
p11,1,0.285711,1.139722,[44 43] ; [11  6],[46.00961538 40.99038462] ; [8.99038462 8.00961538],0
v2,1,0.313754,1.014805,[30 52] ; [8 8],[31.79591837 50.20408163] ; [6.20408163 9.79591837],0
v1,1,0.341787,0.903718,[30 56] ; [8 9],[31.72815534 54.27184466] ; [ 6.27184466 10.72815534],0
p4,1,0.366352,0.816,[21 64] ; [ 6 11],[22.5 62.5] ; [ 4.5 12.5],0
p1,1,0.388726,0.742923,[ 9 78] ; [ 3 14],[10.03846154 76.96153846] ; [ 1.96153846 15.03846154],0
d5,1,0.401718,0.703178,[35 52] ; [ 5 12],[33.46153846 53.53846154] ; [ 6.53846154 10.46153846],0
u3,1,0.445525,0.582011,[21 24] ; [6 4],[22.09090909 22.90909091] ; [4.90909091 5.09090909],0
s4,1,0.447955,0.575822,[17 70] ; [ 2 15],[15.89423077 71.10576923] ; [ 3.10576923 13.89423077],0
p10,1,0.45138,0.567185,[41 43] ; [10  7],[42.41584158 41.58415842] ; [8.58415842 8.41584158],0
b4,1,0.478347,0.50263,[43 44] ; [10  7],[44.33653846 42.66346154] ; [8.66346154 8.33653846],0
p9,1,0.478771,0.501661,[41 42] ; [10  7],[42.33 40.67] ; [8.67 8.33],0
v3,1,0.492951,0.470078,[27 56] ; [ 7 10],[28.22 54.78] ; [ 5.78 11.22],0
s1,1,0.506739,0.440795,[10 75] ; [ 3 14],[10.83333333 74.16666667] ; [ 2.16666667 14.83333333],0
a8,1,0.519083,0.415714,[10 74] ; [ 3 14],[10.81188119 73.18811881] ; [ 2.18811881 14.81188119],0
d4,1,0.533546,0.387633,[43 44] ; [ 7 10],[41.82692308 45.17307692] ; [8.17307692 8.82692308],0
a3,1,0.534989,0.384906,[42 43] ; [ 7 10],[40.83333333 44.16666667] ; [8.16666667 8.83333333],0
a4,1,0.546191,0.364185,[21 65] ; [ 3 14],[20.03883495 65.96116505] ; [ 3.96116505 13.03883495],0
n3,1,0.578932,0.307964,[20  9] ; [1 1],[19.64516129  9.35483871] ; [1.35483871 0.64516129],0
s5,1,0.591105,0.288621,[17 66] ; [ 4 11],[17.78571429 65.21428571] ; [ 3.21428571 11.78571429],0
d2,1,0.611875,0.257454,[20 66] ; [ 3 14],[19.2038835 66.7961165] ; [ 3.7961165 13.2038835],0
s3,1,0.670817,0.180648,[32 52] ; [7 9],[32.76 51.24] ; [6.24 9.76],0
b3,1,0.78984,0.071032,[19 31] ; [3 6],[18.6440678 31.3559322] ; [3.3559322 5.6440678],0
b2,1,0.78984,0.071032,[19 31] ; [3 6],[18.6440678 31.3559322] ; [3.3559322 5.6440678],0
b1,1,0.790875,0.070318,[43 44] ; [9 8],[43.5 43.5] ; [8.5 8.5],0
d3,1,0.802528,0.062539,[23 64] ; [ 4 13],[22.58653846 64.41346154] ; [ 4.41346154 12.58653846],0
n5,1,0.926619,0.008482,[54 31] ; [11  6],[54.16666667 30.83333333] ; [10.83333333  6.16666667],0
n4,1,0.958325,0.002731,[50 36] ; [10  7],[50.09708738 35.90291262] ; [9.90291262 7.09708738],0
