Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.50025,[34 50] ; [34  5],[46.43902439 37.56097561] ; [21.56097561 17.43902439],1
p6,1,2e-06,22.930157,[ 6 77] ; [17 22],[15.64754098 67.35245902] ; [ 7.35245902 31.64754098],1
s4,1,0.000128,14.666295,[ 7 76] ; [14 24],[14.40495868 68.59504132] ; [ 6.59504132 31.40495868],1
p12,1,0.000617,11.723456,[ 2 82] ; [ 8 31],[ 6.82926829 77.17073171] ; [ 3.17073171 35.82926829],1
s2,1,0.001343,10.282729,[28 56] ; [25 14],[36.19512195 47.80487805] ; [16.80487805 22.19512195],0
s8,1,0.003107,8.743604,[25 59] ; [22 16],[32.36065574 51.63934426] ; [14.63934426 23.36065574],0
r4,1,0.003306,8.63027,[54 30] ; [35  4],[60.7804878 23.2195122] ; [28.2195122 10.7804878],0
p5,1,0.00773,7.095072,[ 4 77] ; [ 8 31],[ 8.1 72.9] ; [ 3.9 35.1],0
v1,1,0.008403,6.945465,[25 55] ; [22 17],[31.59663866 48.40336134] ; [15.40336134 23.59663866],0
p7,1,0.024187,5.081174,[19 62] ; [17 22],[24.3 56.7] ; [11.7 27.3],0
s7,1,0.024662,5.047465,[29 49] ; [22 15],[34.59130435 43.40869565] ; [16.40869565 20.59130435],0
p10,1,0.02982,4.719658,[42 42] ; [27 11],[47.50819672 36.49180328] ; [21.49180328 16.50819672],0
r3,1,0.030747,4.667057,[63 20] ; [36  3],[67.35245902 15.64754098] ; [31.64754098  7.35245902],0
n6,1,0.045035,4.017324,[52 30] ; [31  7],[56.71666667 25.28333333] ; [26.28333333 11.71666667],0
v2,1,0.045609,3.995974,[36 44] ; [24 13],[41.02564103 38.97435897] ; [18.97435897 18.02564103],0
r1,1,0.062934,3.458338,[52 31] ; [31  8],[56.46721311 26.53278689] ; [26.53278689 12.46721311],0
p1,1,0.069692,3.290271,[ 6 78] ; [ 7 32],[ 8.87804878 75.12195122] ; [ 4.12195122 34.87804878],0
s3,1,0.073783,3.196793,[34 50] ; [22 16],[38.55737705 45.44262295] ; [17.44262295 20.55737705],0
p4,1,0.084891,2.968684,[25 59] ; [17 20],[29.15702479 54.84297521] ; [12.84297521 24.15702479],0
p9,1,0.08783,2.913705,[45 36] ; [28 11],[49.275 31.725] ; [23.725 15.275],0
a6,1,0.113482,2.505055,[62 21] ; [23 15],[58.30578512 24.69421488] ; [26.69421488 11.30578512],0
v4,1,0.125662,2.345297,[65 18] ; [35  4],[68.03278689 14.96721311] ; [31.96721311  7.03278689],0
