Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,34.427043,[14 68] ; [15  2],[24.02020202 57.97979798] ; [ 4.97979798 12.02020202],1
s2,1,0.000429,12.399369,[16 71] ; [10  7],[21.75 65.25] ; [ 4.25 12.75],1
p10,1,0.000553,11.929412,[36 49] ; [15  2],[42.5 42.5] ; [8.5 8.5],1
s3,1,0.001206,10.48081,[23 62] ; [11  5],[28.61386139 56.38613861] ; [ 5.38613861 10.61386139],0
p2,1,0.00385,8.353437,[39 46] ; [15  3],[44.5631068 40.4368932] ; [9.4368932 8.5631068],0
p4,1,0.004589,8.034666,[16 70] ; [9 9],[20.67307692 65.32692308] ; [ 4.32692308 13.67307692],0
p9,1,0.005967,7.560105,[38 45] ; [14  3],[43.16 39.84] ; [8.84 8.16],0
s6,1,0.008688,6.885951,[23 64] ; [10  7],[27.60576923 59.39423077] ; [ 5.39423077 11.60576923],0
p11,1,0.027413,4.864617,[38 49] ; [13  5],[42.25714286 44.74285714] ; [8.74285714 9.25714286],0
v3,1,0.031983,4.599397,[14 71] ; [ 7 11],[17.33009709 67.66990291] ; [ 3.66990291 14.33009709],0
p6,1,0.033048,4.543312,[ 8 77] ; [ 5 13],[10.72815534 74.27184466] ; [ 2.27184466 15.72815534],0
d1,1,0.047443,3.929609,[27 60] ; [10  8],[30.65714286 56.34285714] ; [ 6.34285714 11.65714286],0
v4,1,0.053883,3.716322,[46 37] ; [13  3],[49.46464646 33.53535354] ; [9.53535354 6.46464646],0
u3,1,0.056337,3.642079,[11 29] ; [4 2],[13.04347826 26.95652174] ; [1.95652174 4.04347826],0
p8,1,0.085056,2.965536,[17 68] ; [ 7 11],[19.80582524 65.19417476] ; [ 4.19417476 13.80582524],0
n2,1,0.097459,2.74664,[22 21] ; [8 2],[24.33962264 18.66037736] ; [5.66037736 4.33962264],0
d4,1,0.100549,2.696806,[49 37] ; [14  4],[52.09615385 33.90384615] ; [10.90384615  7.09615385],0
r1,1,0.118952,2.431071,[24 62] ; [8 9],[26.7184466 59.2815534] ; [ 5.2815534 11.7184466],0
a7,1,0.130662,2.284624,[40 45] ; [12  6],[42.91262136 42.08737864] ; [9.08737864 8.91262136],0
n4,1,0.144619,2.128109,[46 40] ; [13  5],[48.78846154 37.21153846] ; [10.21153846  7.78846154],0
v1,1,0.155993,2.012651,[22 62] ; [7 9],[24.36 59.64] ; [ 4.64 11.36],0
d3,1,0.161565,1.959518,[37 49] ; [11  7],[39.69230769 46.30769231] ; [8.30769231 9.69230769],0
p5,1,0.173935,1.848697,[ 3 82] ; [ 2 16],[ 4.12621359 80.87378641] ; [ 0.87378641 17.12621359],0
d5,1,0.18204,1.780892,[48 39] ; [13  5],[50.54285714 36.45714286] ; [10.45714286  7.54285714],0
b1,1,0.182465,1.777429,[44 43] ; [ 6 12],[41.42857143 45.57142857] ; [8.57142857 9.42857143],0
n5,1,0.199767,1.644079,[51 34] ; [13  4],[53.33333333 31.66666667] ; [10.66666667  6.33333333],0
p7,1,0.228913,1.447606,[24 60] ; [7 9],[26.04 57.96] ; [ 4.96 11.04],0
n1,1,0.234471,1.413529,[13 30] ; [5 5],[14.60377358 28.39622642] ; [3.39622642 6.60377358],0
u2,1,0.239317,1.384615,[16 23] ; [4 2],[17.33333333 21.66666667] ; [2.66666667 3.33333333],0
s5,1,0.30885,1.035589,[12 75] ; [ 4 13],[13.38461538 73.61538462] ; [ 2.61538462 14.38461538],0
a3,1,0.375578,0.785126,[47 38] ; [12  6],[48.68932039 36.31067961] ; [10.31067961  7.68932039],0
a1,1,0.38958,0.740252,[11 76] ; [ 1 17],[ 9.94285714 77.05714286] ; [ 2.05714286 15.94285714],0
b3,1,0.434967,0.609524,[20 30] ; [ 4 10],[18.75 31.25] ; [5.25 8.75],0
b2,1,0.434967,0.609524,[20 30] ; [ 4 10],[18.75 31.25] ; [5.25 8.75],0
a2,1,0.442865,0.588849,[ 9 78] ; [ 3 15],[ 9.94285714 77.05714286] ; [ 2.05714286 15.94285714],0
a5,1,0.458895,0.548589,[40 47] ; [10  8],[41.42857143 45.57142857] ; [8.57142857 9.42857143],0
v2,1,0.470036,0.521892,[29 53] ; [ 8 10],[30.34 51.66] ; [ 6.66 11.34],0
r3,1,0.473134,0.514646,[43 40] ; [11  7],[44.37623762 38.62376238] ; [9.62376238 8.37623762],0
n6,1,0.506789,0.440692,[42 42] ; [10  7],[43.24752475 40.75247525] ; [8.75247525 8.24752475],0
u1,1,0.539548,0.376378,[ 6 81] ; [ 2 16],[ 6.62857143 80.37142857] ; [ 1.37142857 16.62857143],0
a4,1,0.605232,0.267176,[28 58] ; [ 7 11],[28.94230769 57.05769231] ; [ 6.05769231 11.94230769],0
d2,1,0.727411,0.121502,[34 51] ; [ 8 10],[34.66019417 50.33980583] ; [ 7.33980583 10.66019417],0
r2,1,0.735813,0.113841,[47 34] ; [8 7],[46.40625 34.59375] ; [8.59375 6.40625],0
p1,1,0.826778,0.047889,[ 6 80] ; [ 1 17],[ 5.78846154 80.21153846] ; [ 1.21153846 16.78846154],0
b5,1,0.835531,0.043103,[46 41] ; [10  8],[46.4 40.6] ; [9.6 8.4],0
b4,1,0.844936,0.038253,[51 36] ; [11  7],[51.37142857 35.62857143] ; [10.62857143  7.37142857],0
s4,1,0.853016,0.034325,[13 74] ; [ 3 15],[13.25714286 73.74285714] ; [ 2.74285714 15.25714286],0
a6,1,0.905426,0.014116,[40 47] ; [ 8 10],[39.77142857 47.22857143] ; [8.22857143 9.77142857],0
a8,1,0.954428,0.003266,[ 5 75] ; [ 1 16],[ 4.94845361 75.05154639] ; [ 1.05154639 15.94845361],0
n3,1,1.0,0.0,[21 21] ; [5 5],[21. 21.] ; [5. 5.],0
