Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,3e-05,17.415177,[21  6] ; [ 1 12],[14.85 12.15] ; [7.15 5.85],1
d3,1,0.000468,12.238288,[18  9] ; [ 1 12],[12.825 14.175] ; [6.175 6.825],1
p4,1,0.032654,4.563831,[11 16] ; [ 1 12],[ 8.1 18.9] ; [3.9 9.1],0
a7,1,0.05617,3.647009,[17 10] ; [4 9],[14.175 12.825] ; [6.825 6.175],0
s6,1,0.108789,2.571732,[11 16] ; [ 2 11],[ 8.775 18.225] ; [4.225 8.775],0
s7,1,0.114905,2.485428,[ 7 16] ; [ 1 12],[ 5.11111111 17.88888889] ; [ 2.88888889 10.11111111],0
b4,1,0.121867,2.393162,[21  6] ; [7 6],[18.9  8.1] ; [9.1 3.9],0
v2,1,0.141032,2.166667,[11 16] ; [ 2 10],[ 9. 18.] ; [4. 8.],0
a8,1,0.156788,2.004938,[ 2 23] ; [3 9],[ 3.37837838 21.62162162] ; [ 1.62162162 10.37837838],0
d2,1,0.161617,1.959029,[10 17] ; [ 2 11],[ 8.1 18.9] ; [3.9 9.1],0
n1,1,0.163165,1.944643,[1 9] ; [3 5],[2.22222222 7.77777778] ; [1.77777778 6.22222222],0
s8,1,0.176914,1.823362,[ 7 20] ; [ 1 12],[ 5.4 21.6] ; [ 2.6 10.4],0
n5,1,0.191063,1.709402,[15 12] ; [10  3],[16.875 10.125] ; [8.125 4.875],0
u2,1,0.194567,1.682692,[7 6] ; [2 6],[5.57142857 7.42857143] ; [3.42857143 4.57142857],0
s2,1,0.237923,1.392857,[ 6 20] ; [ 1 12],[ 4.66666667 21.33333333] ; [ 2.33333333 10.66666667],0
a6,1,0.29769,1.084516,[13 14] ; [4 9],[11.475 15.525] ; [5.525 7.475],0
s3,1,0.323595,0.974359,[ 5 20] ; [ 1 12],[ 3.94736842 21.05263158] ; [ 2.05263158 10.94736842],0
v1,1,0.329804,0.949668,[ 8 19] ; [ 2 11],[ 6.75 20.25] ; [3.25 9.75],0
p10,1,0.336819,0.922502,[13 13] ; [4 8],[11.63157895 14.36842105] ; [5.36842105 6.63157895],0
a5,1,0.408295,0.683761,[12 15] ; [4 9],[10.8 16.2] ; [5.2 7.8],0
b1,1,0.427017,0.630922,[13 14] ; [8 5],[14.175 12.825] ; [6.825 6.175],0
s4,1,0.43088,0.62045,[ 2 25] ; [ 2 11],[ 2.7 24.3] ; [ 1.3 11.7],0
a4,1,0.454591,0.559181,[ 7 20] ; [ 2 11],[ 6.075 20.925] ; [ 2.925 10.075],0
p3,1,0.498174,0.458824,[ 4 22] ; [ 1 12],[ 3.33333333 22.66666667] ; [ 1.66666667 11.33333333],0
p8,1,0.519496,0.414894,[ 4 23] ; [ 3 10],[ 4.725 22.275] ; [ 2.275 10.725],0
p1,1,0.523496,0.407,[ 4 23] ; [ 1 12],[ 3.375 23.625] ; [ 1.625 11.375],0
b2,1,0.525718,0.402661,[ 6 11] ; [3 3],[ 6.65217391 10.34782609] ; [2.34782609 3.65217391],0
b3,1,0.525718,0.402661,[ 6 11] ; [3 3],[ 6.65217391 10.34782609] ; [2.34782609 3.65217391],0
a3,1,0.556982,0.344956,[14 13] ; [5 7],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
p6,1,0.564746,0.331553,[ 1 25] ; [ 1 11],[ 1.36842105 24.63157895] ; [ 0.63157895 11.36842105],0
p12,1,0.587734,0.293897,[ 1 26] ; [ 1 12],[ 1.35 25.65] ; [ 0.65 12.35],0
n2,1,0.595883,0.28125,[5 5] ; [5 3],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
n3,1,0.595883,0.28125,[5 5] ; [3 5],[4.44444444 5.55555556] ; [3.55555556 4.44444444],0
r3,1,0.616573,0.250714,[18  9] ; [7 5],[17.30769231  9.69230769] ; [7.69230769 4.30769231],0
r1,1,0.663766,0.188981,[ 8 19] ; [ 3 10],[ 7.425 19.575] ; [3.575 9.425],0
r4,1,0.701883,0.14652,[ 3 24] ; [ 2 11],[ 3.375 23.625] ; [ 1.625 11.375],0
n4,1,0.719958,0.128533,[15 12] ; [8 5],[15.525 11.475] ; [7.475 5.525],0
v4,1,0.73568,0.11396,[13 14] ; [7 6],[13.5 13.5] ; [6.5 6.5],0
p2,1,0.73568,0.11396,[13 14] ; [7 6],[13.5 13.5] ; [6.5 6.5],0
p11,1,0.73568,0.11396,[14 13] ; [6 7],[13.5 13.5] ; [6.5 6.5],0
a2,1,0.73568,0.11396,[ 3 24] ; [ 1 12],[ 2.7 24.3] ; [ 1.3 11.7],0
p9,1,0.909285,0.012982,[13 12] ; [6 6],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
b5,1,0.918928,0.01036,[15 12] ; [7 6],[14.85 12.15] ; [7.15 5.85],0
a1,1,0.974439,0.001027,[ 2 25] ; [ 1 12],[ 2.025 24.975] ; [ 0.975 12.025],0
s1,1,0.974439,0.001027,[ 2 25] ; [ 1 12],[ 2.025 24.975] ; [ 0.975 12.025],0
p5,1,0.974439,0.001027,[ 2 25] ; [ 1 12],[ 2.025 24.975] ; [ 0.975 12.025],0
n6,1,1.0,0.0,[18  8] ; [9 4],[18.  8.] ; [9. 4.],0
