Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4e-06,21.252965,[104  18] ; [15 17],[94.27272727 27.72727273] ; [24.72727273  7.27272727],1
p10,1,8.4e-05,15.463761,[100  22] ; [16 17],[91.30322581 30.69677419] ; [24.69677419  8.30322581],1
p8,1,0.00091,11.002114,[66 57] ; [ 7 26],[57.55769231 65.44230769] ; [15.44230769 17.55769231],1
p4,1,0.003087,8.755373,[74 51] ; [10 23],[66.4556962 58.5443038] ; [17.5443038 15.4556962],0
v4,1,0.008817,6.85961,[120   4] ; [28  5],[116.89171975   7.10828025] ; [31.10828025  1.89171975],0
p7,1,0.013708,6.075418,[80 41] ; [13 18],[74.03289474 46.96710526] ; [18.96710526 12.03289474],0
a6,1,0.0205,5.368842,[70 55] ; [11 22],[64.08227848 60.91772152] ; [16.91772152 16.08227848],0
p3,1,0.032735,4.559595,[60 65] ; [ 9 24],[54.58860759 70.41139241] ; [14.41139241 18.58860759],0
d4,1,0.035715,4.410652,[95 30] ; [19 14],[90.18987342 34.81012658] ; [23.81012658  9.18987342],0
d3,1,0.052955,3.745345,[80 45] ; [15 18],[75.15822785 49.84177215] ; [19.84177215 13.15822785],0
d5,1,0.055165,3.677091,[90 35] ; [18 15],[85.44303797 39.55696203] ; [22.55696203 10.44303797],0
r2,1,0.060121,3.534047,[114   9] ; [27  6],[111.17307692  11.82692308] ; [29.82692308  3.17307692],0
s7,1,0.060163,3.532891,[62 56] ; [10 20],[57.40540541 60.59459459] ; [14.59459459 15.40540541],0
s1,1,0.060822,3.514821,[  5 118] ; [ 4 27],[  7.18831169 115.81168831] ; [ 1.81168831 29.18831169],0
r3,1,0.077991,3.106284,[118   5] ; [29  4],[115.90384615   7.09615385] ; [31.09615385  1.90384615],0
n5,1,0.080195,3.060949,[98 27] ; [21 12],[94.14556962 30.85443038] ; [24.85443038  8.14556962],0
s3,1,0.103851,2.645386,[94 30] ; [19 12],[90.4 33.6] ; [22.6  8.4],0
b1,1,0.104472,2.635907,[45 80] ; [17 16],[49.05063291 75.94936709] ; [12.94936709 20.05063291],0
a3,1,0.105146,2.625705,[63 62] ; [11 21],[58.91719745 66.08280255] ; [15.08280255 16.91719745],0
d1,1,0.126345,2.33685,[44 81] ; [ 7 26],[40.34810127 84.65189873] ; [10.65189873 22.34810127],0
p5,1,0.142386,2.151985,[ 20 105] ; [ 2 31],[ 17.40506329 107.59493671] ; [ 4.59493671 28.40506329],0
s5,1,0.170708,1.876717,[43 78] ; [ 7 24],[39.80263158 81.19736842] ; [10.19736842 20.80263158],0
b5,1,0.179474,1.801974,[71 54] ; [23 10],[74.36708861 50.63291139] ; [19.63291139 13.36708861],0
n2,1,0.197149,1.663371,[25  8] ; [3 3],[23.69230769  9.30769231] ; [4.30769231 1.69230769],0
s4,1,0.213115,1.550136,[28 95] ; [11 22],[30.75 92.25] ; [ 8.25 24.75],0
n6,1,0.215724,1.53259,[97 27] ; [29  4],[99.51592357 24.48407643] ; [26.48407643  6.51592357],0
s8,1,0.232545,1.425229,[60 65] ; [12 21],[56.96202532 68.03797468] ; [15.03797468 17.96202532],0
b4,1,0.237148,1.397469,[73 52] ; [23 10],[75.94936709 49.05063291] ; [20.05063291 12.94936709],0
a7,1,0.253594,1.303395,[88 36] ; [20 13],[85.29936306 38.70063694] ; [22.70063694 10.29936306],0
v1,1,0.346996,0.884411,[62 58] ; [14 19],[59.60784314 60.39215686] ; [16.39215686 16.60784314],0
s2,1,0.35516,0.854936,[77 47] ; [17 15],[74.71794872 49.28205128] ; [19.28205128 12.71794872],0
p11,1,0.374638,0.788221,[93 32] ; [22 11],[90.98101266 34.01898734] ; [24.01898734  8.98101266],0
p1,1,0.442372,0.590122,[ 13 111] ; [ 2 31],[ 11.84713376 112.15286624] ; [ 3.15286624 29.84713376],0
n4,1,0.454971,0.558237,[88 37] ; [21 12],[86.23417722 38.76582278] ; [22.76582278 10.23417722],0
n1,1,0.527677,0.398864,[12 21] ; [3 3],[12.69230769 20.30769231] ; [2.30769231 3.69230769],0
p6,1,0.569447,0.323608,[44 76] ; [10 22],[42.63157895 77.36842105] ; [11.36842105 20.63157895],0
v2,1,0.619681,0.246316,[55 63] ; [16 15],[56.22818792 61.77181208] ; [14.77181208 16.22818792],0
v3,1,0.628806,0.233683,[43 77] ; [10 22],[41.84210526 78.15789474] ; [11.15789474 20.84210526],0
u2,1,0.659456,0.194186,[38 21] ; [13  9],[37.14814815 21.85185185] ; [13.85185185  8.14814815],0
d2,1,0.667444,0.184607,[27 98] ; [ 6 27],[26.10759494 98.89240506] ; [ 6.89240506 26.10759494],0
r1,1,0.672699,0.178462,[91 33] ; [23 10],[90.03821656 33.96178344] ; [23.96178344  9.03821656],0
p12,1,0.708361,0.13992,[ 10 115] ; [ 2 31],[  9.49367089 115.50632911] ; [ 2.50632911 30.49367089],0
a4,1,0.714436,0.133887,[ 23 102] ; [ 5 27],[ 22.29299363 102.70700637] ; [ 5.70700637 26.29299363],0
r4,1,0.736623,0.113117,[107  18] ; [29  4],[107.59493671  17.40506329] ; [28.40506329  4.59493671],0
n3,1,0.778947,0.078788,[20 13] ; [4 2],[20.30769231 12.69230769] ; [3.69230769 2.30769231],0
u3,1,0.870207,0.026698,[40 21] ; [14  8],[39.68674699 21.31325301] ; [14.31325301  7.68674699],0
a8,1,0.912713,0.012016,[ 14 101] ; [ 4 27],[ 14.17808219 100.82191781] ; [ 3.82191781 27.17808219],0
a1,1,0.960496,0.002453,[  4 121] ; [ 1 32],[  3.9556962 121.0443038] ; [ 1.0443038 31.9556962],0
b2,1,0.988145,0.000221,[15 53] ; [ 4 14],[15.02325581 52.97674419] ; [ 3.97674419 14.02325581],0
b3,1,0.988145,0.000221,[15 53] ; [ 4 14],[15.02325581 52.97674419] ; [ 3.97674419 14.02325581],0
