Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.243853,[26 56] ; [103  63],[42.65322581 39.34677419] ; [86.34677419 79.65322581],1
d3,1,2.4e-05,17.811313,[31 51] ; [109  56],[46.47773279 35.52226721] ; [93.52226721 71.47773279],1
d5,1,2.6e-05,17.676286,[38 44] ; [122  44],[52.90322581 29.09677419] ; [107.09677419  58.90322581],1
d4,1,9.1e-05,15.314034,[42 39] ; [127  39],[55.42105263 25.57894737] ; [113.57894737  52.42105263],1
r3,1,0.004094,8.241827,[70 12] ; [157   7],[75.66666667  6.33333333] ; [151.33333333  12.66666667],0
d1,1,0.00487,7.927018,[17 65] ; [ 64 102],[26.78225806 55.21774194] ; [ 54.21774194 111.78225806],0
p2,1,0.005099,7.844077,[52 29] ; [133  32],[60.91463415 20.08536585] ; [124.08536585  40.91463415],0
p3,1,0.012977,6.172245,[21 60] ; [70 96],[29.84210526 51.15789474] ; [ 61.15789474 104.84210526],0
r4,1,0.019484,5.457515,[64 18] ; [148  18],[70.09677419 11.90322581] ; [141.90322581  24.09677419],0
n3,1,0.027517,4.858051,[16 13] ; [29  7],[20.07692308  8.92307692] ; [24.92307692 11.07692308],0
v4,1,0.05709,3.619978,[71 10] ; [156   9],[74.74390244  6.25609756] ; [152.25609756  12.74390244],0
n6,1,0.059228,3.558882,[56 25] ; [132  33],[61.90243902 19.09756098] ; [126.09756098  38.90243902],0
r1,1,0.060422,3.525768,[50 32] ; [120  45],[56.43724696 25.56275304] ; [113.56275304  51.43724696],0
d2,1,0.076669,3.134139,[24 58] ; [ 32 134],[18.51612903 63.48387097] ; [ 37.48387097 128.51612903],0
v3,1,0.095463,2.779748,[20 59] ; [ 57 101],[25.66666667 53.33333333] ; [ 51.33333333 106.66666667],0
b1,1,0.11454,2.490431,[34 48] ; [ 52 114],[28.43548387 53.56451613] ; [ 57.56451613 108.43548387],0
p10,1,0.127502,2.322661,[51 29] ; [118  43],[56.09958506 23.90041494] ; [112.90041494  48.09958506],0
a1,1,0.169543,1.88698,[ 4 78] ; [  3 163],[ 2.31451613 79.68548387] ; [  4.68548387 161.31451613],0
a4,1,0.195616,1.674806,[19 63] ; [ 27 138],[15.27125506 66.72874494] ; [ 30.72874494 134.27125506],0
s2,1,0.212442,1.554709,[31 50] ; [77 88],[35.56097561 45.43902439] ; [72.43902439 92.56097561],0
s5,1,0.225569,1.468584,[22 54] ; [ 35 126],[18.27848101 57.72151899] ; [ 38.72151899 122.27848101],0
p8,1,0.250668,1.319575,[31 50] ; [75 88],[35.18852459 45.81147541] ; [70.81147541 92.18852459],0
s6,1,0.250682,1.319501,[41 37] ; [99 65],[45.12396694 32.87603306] ; [94.87603306 69.12396694],0
a3,1,0.272096,1.206151,[33 48] ; [79 85],[37.02857143 43.97142857] ; [74.97142857 89.02857143],0
n5,1,0.282479,1.155125,[56 24] ; [104  61],[52.24489796 27.75510204] ; [107.75510204  57.24489796],0
v2,1,0.320515,0.986845,[29 46] ; [72 86],[32.51072961 42.48927039] ; [68.48927039 89.51072961],0
p12,1,0.354224,0.858266,[ 5 75] ; [  6 159],[ 3.59183673 76.40816327] ; [  7.40816327 157.59183673],0
u2,1,0.412863,0.670541,[25 24] ; [49 35],[27.26315789 21.73684211] ; [46.73684211 37.26315789],0
b5,1,0.418109,0.655623,[47 35] ; [104  62],[49.92741935 32.07258065] ; [101.07258065  64.92741935],0
u3,1,0.42345,0.640721,[25 24] ; [50 36],[27.22222222 21.77777778] ; [47.77777778 38.22222222],0
