Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,8.5e-05,15.443959,[68 11] ; [5 8],[62.68478261 16.31521739] ; [10.31521739  2.68478261],1
p6,1,0.003457,8.549213,[53 24] ; [3 9],[48.4494382 28.5505618] ; [7.5505618 4.4494382],0
p7,1,0.003824,8.365644,[69  9] ; [6 5],[65.73033708 12.26966292] ; [9.26966292 1.73033708],0
p2,1,0.013776,6.066667,[72  6] ; [9 4],[69.42857143  8.57142857] ; [11.57142857  1.42857143],0
s2,1,0.014082,6.027825,[46 31] ; [ 3 10],[41.92222222 35.07777778] ; [7.07777778 5.92222222],0
v2,1,0.014129,6.02201,[50 25] ; [4 9],[46.02272727 28.97727273] ; [7.97727273 5.02272727],0
s1,1,0.023209,5.152807,[ 4 75] ; [ 3 10],[ 6.01086957 72.98913043] ; [ 0.98913043 12.01086957],0
n5,1,0.024066,5.089847,[72  7] ; [9 4],[69.55434783  9.44565217] ; [11.44565217  1.55434783],0
r3,1,0.025965,4.958363,[73  4] ; [10  3],[71.01111111  5.98888889] ; [11.98888889  1.01111111],0
p10,1,0.026046,4.952944,[77  2] ; [10  2],[75.52747253  3.47252747] ; [11.47252747  0.52747253],0
v3,1,0.031487,4.626227,[47 28] ; [4 9],[43.46590909 31.53409091] ; [7.53409091 5.46590909],0
d1,1,0.047531,3.926496,[53 26] ; [5 8],[49.80434783 29.19565217] ; [8.19565217 4.80434783],0
b5,1,0.065501,3.392316,[33 46] ; [9 4],[36.06521739 42.93478261] ; [5.93478261 7.06521739],0
s3,1,0.071111,3.257198,[47 30] ; [4 8],[44.12359551 32.87640449] ; [6.87640449 5.12359551],0
p1,1,0.08839,2.90345,[24 55] ; [ 1 12],[21.4673913 57.5326087] ; [3.5326087 9.4673913],0
p12,1,0.110909,2.541217,[24 55] ; [ 1 11],[21.7032967 57.2967033] ; [3.2967033 8.7032967],0
d4,1,0.127615,2.32128,[68 11] ; [9 4],[66.11956522 12.88043478] ; [10.88043478  2.11956522],0
b4,1,0.14976,2.074689,[44 35] ; [10  3],[46.36956522 32.63043478] ; [7.63043478 5.36956522],0
p8,1,0.16222,1.953405,[66 13] ; [8 4],[64.24175824 14.75824176] ; [9.75824176 2.24175824],0
n6,1,0.167713,1.903268,[74  4] ; [11  2],[72.85714286  5.14285714] ; [12.14285714  0.85714286],0
s8,1,0.224833,1.473256,[47 31] ; [5 7],[45.06666667 32.93333333] ; [6.93333333 5.06666667],0
a5,1,0.244216,1.356094,[62 17] ; [12  1],[63.54347826 15.45652174] ; [10.45652174  2.54347826],0
r4,1,0.246379,1.34372,[70  9] ; [10  3],[68.69565217 10.30434783] ; [11.30434783  1.69565217],0
u2,1,0.247004,1.340171,[9 4] ; [1 2],[8.125 4.875] ; [1.875 1.125],0
u3,1,0.247004,1.340171,[9 4] ; [1 2],[8.125 4.875] ; [1.875 1.125],0
d5,1,0.271808,1.207599,[65 14] ; [9 4],[63.54347826 15.45652174] ; [10.45652174  2.54347826],0
a4,1,0.280151,1.166356,[37 42] ; [4 9],[35.20652174 43.79347826] ; [5.79347826 7.20652174],0
d2,1,0.285482,1.140804,[43 36] ; [5 8],[41.2173913 37.7826087] ; [6.7826087 6.2173913],0
p9,1,0.294287,1.099903,[77  2] ; [11  1],[76.3956044  2.6043956] ; [11.6043956  0.3956044],0
d3,1,0.305112,1.051716,[54 25] ; [7 6],[52.38043478 26.61956522] ; [8.61956522 4.38043478],0
r2,1,0.408295,0.683761,[71  7] ; [10  2],[70.2  7.8] ; [10.8  1.2],0
s5,1,0.445453,0.582196,[50 22] ; [7 5],[48.85714286 23.14285714] ; [8.14285714 3.85714286],0
v1,1,0.489637,0.477324,[52 24] ; [7 5],[50.95454545 25.04545455] ; [8.04545455 3.95454545],0
a3,1,0.559457,0.340645,[66 13] ; [10  3],[65.26086957 13.73913043] ; [10.73913043  2.26086957],0
n3,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
a8,1,0.604711,0.267949,[ 9 63] ; [2 9],[ 9.54216867 62.45783133] ; [1.45783133 9.54216867],0
a2,1,0.612644,0.256343,[17 62] ; [ 2 11],[16.31521739 62.68478261] ; [ 2.68478261 10.31521739],0
s6,1,0.640322,0.218322,[59 14] ; [9 3],[58.4 14.6] ; [9.6 2.4],0
b3,1,0.684424,0.165188,[30 28] ; [4 5],[29.43283582 28.56716418] ; [4.56716418 4.43283582],0
b2,1,0.684424,0.165188,[30 28] ; [4 5],[29.43283582 28.56716418] ; [4.56716418 4.43283582],0
