Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,54.241453,[80  4] ; [11 23],[64.77966102 19.22033898] ; [26.22033898  7.77966102],1
s7,1,1e-06,23.259204,[61 18] ; [10 24],[49.63716814 29.36283186] ; [21.36283186 12.63716814],1
s6,1,0.000162,14.226482,[78  4] ; [23 10],[72.0173913  9.9826087] ; [28.9826087  4.0173913],1
a4,1,0.000611,11.740643,[49 35] ; [ 8 26],[40.57627119 43.42372881] ; [16.42372881 17.57627119],1
s8,1,0.002058,9.497169,[51 33] ; [10 24],[43.42372881 40.57627119] ; [17.57627119 16.42372881],0
d2,1,0.020213,5.393421,[47 37] ; [11 23],[41.28813559 42.71186441] ; [16.71186441 17.28813559],0
u1,1,0.020734,5.349052,[24 60] ; [ 3 31],[19.22033898 64.77966102] ; [ 7.77966102 26.22033898],0
a2,1,0.039733,4.229237,[25 59] ; [ 4 30],[20.6440678 63.3559322] ; [ 8.3559322 25.6440678],0
a6,1,0.078037,3.105318,[61 23] ; [19 15],[56.94915254 27.05084746] ; [23.05084746 10.94915254],0
s5,1,0.092284,2.83407,[46 33] ; [13 19],[41.99099099 37.00900901] ; [17.00900901 14.99099099],0
p9,1,0.113503,2.504762,[74  8] ; [27  7],[71.39655172 10.60344828] ; [29.60344828  4.39655172],0
r3,1,0.123271,2.375266,[80  2] ; [31  3],[78.46551724  3.53448276] ; [32.53448276  1.46551724],0
d1,1,0.127314,2.324948,[57 27] ; [18 16],[53.38983051 30.61016949] ; [21.61016949 12.38983051],0
u3,1,0.158834,1.985294,[13  4] ; [5 5],[11.33333333  5.66666667] ; [6.66666667 3.33333333],0
d5,1,0.225475,1.469182,[72 12] ; [26  8],[69.76271186 14.23728814] ; [28.23728814  5.76271186],0
u2,1,0.246671,1.342059,[9 8] ; [3 7],[7.55555556 9.44444444] ; [4.44444444 5.55555556],0
b5,1,0.252475,1.309554,[54 30] ; [18 16],[51.25423729 32.74576271] ; [20.74576271 13.25423729],0
b4,1,0.268824,1.222737,[45 39] ; [22 12],[47.69491525 36.30508475] ; [19.30508475 14.69491525],0
a3,1,0.282649,1.154307,[67 17] ; [24 10],[64.77966102 19.22033898] ; [26.22033898  7.77966102],0
n1,1,0.315286,1.008403,[ 5 15] ; [2 2],[ 5.83333333 14.16666667] ; [1.16666667 2.83333333],0
b1,1,0.410635,0.676962,[34 50] ; [11 23],[32.03389831 51.96610169] ; [12.96610169 21.03389831],0
v1,1,0.450054,0.570517,[43 40] ; [15 19],[41.14529915 41.85470085] ; [16.85470085 17.14529915],0
a8,1,0.455453,0.557045,[ 5 71] ; [ 1 32],[ 4.18348624 71.81651376] ; [ 1.81651376 31.18348624],0
a7,1,0.472573,0.515953,[60 24] ; [22 12],[58.37288136 25.62711864] ; [23.62711864 10.37288136],0
d4,1,0.502649,0.449338,[71 13] ; [27  7],[69.76271186 14.23728814] ; [28.23728814  5.76271186],0
p1,1,0.56149,0.337132,[ 7 77] ; [ 4 30],[ 7.83050847 76.16949153] ; [ 3.16949153 30.83050847],0
p10,1,0.570836,0.321285,[69 13] ; [30  4],[69.98275862 12.01724138] ; [29.01724138  4.98275862],0
p2,1,0.583846,0.300058,[68 16] ; [26  8],[66.91525424 17.08474576] ; [27.08474576  6.91525424],0
n6,1,0.586972,0.295097,[70 13] ; [30  4],[70.94017094 12.05982906] ; [29.05982906  4.94017094],0
p11,1,0.589131,0.291704,[61 23] ; [23 11],[59.79661017 24.20338983] ; [24.20338983  9.79661017],0
a5,1,0.609918,0.260294,[63 21] ; [27  7],[64.06779661 19.93220339] ; [25.93220339  8.06779661],0
p4,1,0.612528,0.256511,[56 28] ; [21 13],[54.81355932 29.18644068] ; [22.18644068 11.81355932],0
n3,1,0.624206,0.24,[17  3] ; [3 1],[16.66666667  3.33333333] ; [3.33333333 0.66666667],0
p7,1,0.642601,0.215356,[56 25] ; [22 12],[54.93913043 26.06086957] ; [23.06086957 10.93913043],0
d3,1,0.643948,0.213615,[66 18] ; [28  6],[66.91525424 17.08474576] ; [27.08474576  6.91525424],0
r4,1,0.656556,0.197734,[80  4] ; [33  1],[80.44067797  3.55932203] ; [32.55932203  1.44067797],0
p5,1,0.758265,0.094716,[ 9 75] ; [ 3 31],[ 8.54237288 75.45762712] ; [ 3.45762712 30.54237288],0
n4,1,0.7819,0.076643,[59 25] ; [23 11],[58.37288136 25.62711864] ; [23.62711864 10.37288136],0
n5,1,0.7819,0.076643,[59 25] ; [23 11],[58.37288136 25.62711864] ; [23.62711864 10.37288136],0
p8,1,0.789877,0.071006,[43 40] ; [18 15],[43.64655172 39.35344828] ; [17.35344828 15.64655172],0
p12,1,0.793304,0.068656,[ 6 77] ; [ 2 32],[ 5.67521368 77.32478632] ; [ 2.32478632 31.67521368],0
b2,1,0.796095,0.066773,[ 8 33] ; [ 3 15],[ 7.6440678 33.3559322] ; [ 3.3559322 14.6440678],0
b3,1,0.796095,0.066773,[ 8 33] ; [ 3 15],[ 7.6440678 33.3559322] ; [ 3.3559322 14.6440678],0
p3,1,0.857313,0.032326,[46 38] ; [18 16],[45.55932203 38.44067797] ; [18.44067797 15.55932203],0
r2,1,0.861005,0.030658,[82  2] ; [33  1],[81.86440678  2.13559322] ; [33.13559322  0.86440678],0
p6,1,0.869481,0.027,[38 45] ; [15 19],[37.5982906 45.4017094] ; [15.4017094 18.5982906],0
v4,1,0.88475,0.021011,[81  3] ; [32  1],[81.12820513  2.87179487] ; [31.87179487  1.12820513],0
v3,1,0.914493,0.011529,[26 57] ; [10 23],[25.75862069 57.24137931] ; [10.24137931 22.75862069],0
v2,1,0.951823,0.00365,[41 40] ; [17 17],[40.85217391 40.14782609] ; [17.14782609 16.85217391],0
