Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.194296,[2 6] ; [61  6],[6.72 1.28] ; [56.28 10.72],1
p9,1,5.2e-05,16.371467,[3 5] ; [61  6],[6.82666667 1.17333333] ; [57.17333333  9.82666667],1
s6,1,0.010549,6.539802,[3 5] ; [53 14],[5.97333333 2.02666667] ; [50.02666667 16.97333333],0
p10,1,0.016108,5.79101,[4 4] ; [57 10],[6.50666667 1.49333333] ; [54.49333333 12.50666667],0
p7,1,0.020543,5.365131,[2 5] ; [48 19],[4.72972973 2.27027027] ; [45.27027027 21.72972973],0
s1,1,0.027849,4.83742,[2 6] ; [ 3 64],[0.53333333 7.46666667] ; [ 4.46666667 62.53333333],0
v4,1,0.029498,4.73834,[6 2] ; [63  3],[7.45945946 0.54054054] ; [61.54054054  4.45945946],0
p3,1,0.03347,4.521563,[1 7] ; [35 32],[3.84 4.16] ; [32.16 34.84],0
v2,1,0.044752,4.027972,[1 7] ; [32 32],[3.66666667 4.33333333] ; [29.33333333 34.66666667],0
s4,1,0.050739,3.816869,[4 4] ; [13 54],[1.81333333 6.18666667] ; [15.18666667 51.81333333],0
p2,1,0.053428,3.730482,[5 3] ; [59  8],[6.82666667 1.17333333] ; [57.17333333  9.82666667],0
d4,1,0.061641,3.492683,[2 6] ; [40 27],[4.48 3.52] ; [37.52 29.48],0
r2,1,0.063825,3.435086,[6 2] ; [62  4],[7.35135135 0.64864865] ; [60.64864865  5.35135135],0
p11,1,0.068486,3.318932,[4 4] ; [53 14],[6.08 1.92] ; [50.92 16.08],0
s8,1,0.119463,2.424345,[3 5] ; [44 23],[5.01333333 2.98666667] ; [41.98666667 25.01333333],0
p4,1,0.230134,1.440031,[3 5] ; [40 27],[4.58666667 3.41333333] ; [38.41333333 28.58666667],0
a6,1,0.230134,1.440031,[3 5] ; [40 27],[4.58666667 3.41333333] ; [38.41333333 28.58666667],0
b1,1,0.264724,1.243882,[5 3] ; [28 39],[3.52 4.48] ; [29.48 37.52],0
b5,1,0.285106,1.142588,[6 2] ; [37 30],[4.58666667 3.41333333] ; [38.41333333 28.58666667],0
a5,1,0.334963,0.929614,[4 4] ; [45 22],[5.22666667 2.77333333] ; [43.77333333 23.22666667],0
a7,1,0.334963,0.929614,[4 4] ; [45 22],[5.22666667 2.77333333] ; [43.77333333 23.22666667],0
n4,1,0.344184,0.894786,[5 3] ; [52 15],[6.08 1.92] ; [50.92 16.08],0
v1,1,0.361791,0.831668,[3 5] ; [36 30],[4.21621622 3.78378378] ; [34.78378378 31.21621622],0
s3,1,0.371866,0.797418,[4 3] ; [49 18],[5.01351351 1.98648649] ; [47.98648649 19.01351351],0
d2,1,0.377228,0.779716,[1 7] ; [18 49],[2.02666667 5.97333333] ; [16.97333333 50.02666667],0
n6,1,0.393513,0.72806,[6 2] ; [57  9],[6.81081081 1.18918919] ; [56.18918919  9.81081081],0
r1,1,0.402512,0.70081,[5 3] ; [51 16],[5.97333333 2.02666667] ; [50.02666667 16.97333333],0
s5,1,0.456748,0.553852,[2 6] ; [25 40],[2.95890411 5.04109589] ; [24.04109589 40.95890411],0
u3,1,0.470027,0.521912,[1 1] ; [17  6],[1.44 0.56] ; [16.56  6.44],0
v3,1,0.474842,0.510686,[2 6] ; [25 41],[2.91891892 5.08108108] ; [24.08108108 41.91891892],0
b2,1,0.506932,0.440394,[2 4] ; [21 23],[2.76 3.24] ; [20.24 23.76],0
b3,1,0.506932,0.440394,[2 4] ; [21 23],[2.76 3.24] ; [20.24 23.76],0
a3,1,0.596799,0.279851,[6 2] ; [44 23],[5.33333333 2.66666667] ; [44.66666667 22.33333333],0
a4,1,0.635778,0.224307,[1 7] ; [13 54],[1.49333333 6.50666667] ; [12.50666667 54.49333333],0
u2,1,0.667167,0.184934,[1 1] ; [15  8],[1.28 0.72] ; [14.72  8.28],0
n2,1,0.6885,0.160714,[5 1] ; [9 3],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
p5,1,0.690021,0.159062,[1 7] ; [12 54],[1.40540541 6.59459459] ; [11.59459459 54.40540541],0
n5,1,0.702386,0.146002,[7 1] ; [55 12],[6.61333333 1.38666667] ; [55.38666667 11.61333333],0
p6,1,0.744661,0.106072,[4 4] ; [29 37],[3.56756757 4.43243243] ; [29.43243243 36.56756757],0
d3,1,0.779073,0.078695,[4 4] ; [30 37],[3.62666667 4.37333333] ; [30.37333333 36.62666667],0
p1,1,0.788818,0.071741,[2 6] ; [14 53],[1.70666667 6.29333333] ; [14.29333333 52.70666667],0
s2,1,0.858597,0.031741,[5 3] ; [44 23],[5.22666667 2.77333333] ; [43.77333333 23.22666667],0
p8,1,0.858597,0.031741,[5 3] ; [44 23],[5.22666667 2.77333333] ; [43.77333333 23.22666667],0
b4,1,0.904644,0.014351,[4 4] ; [35 32],[4.16 3.84] ; [34.84 32.16],0
n3,1,1.0,0.0,[4 2] ; [8 4],[4. 2.] ; [8. 4.],0
n1,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
