Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,25.383574,[ 2 24] ; [26 10],[11.74193548 14.25806452] ; [16.25806452 19.74193548],1
s6,1,0.001711,9.835957,[10 16] ; [28  8],[15.93548387 10.06451613] ; [22.06451613 13.93548387],0
a7,1,0.004939,7.901748,[22  4] ; [18 18],[16.77419355  9.22580645] ; [23.22580645 12.77419355],0
s4,1,0.009927,6.647984,[ 2 24] ; [13 23],[ 6.29032258 19.70967742] ; [ 8.70967742 27.29032258],0
s5,1,0.011708,6.354607,[ 3 22] ; [14 19],[ 7.32758621 17.67241379] ; [ 9.67241379 23.32758621],0
a3,1,0.015718,5.834107,[22  4] ; [20 16],[17.61290323  8.38709677] ; [24.38709677 11.61290323],0
v1,1,0.029117,4.76071,[17  9] ; [13 22],[12.78688525 13.21311475] ; [17.21311475 17.78688525],0
s8,1,0.031743,4.612348,[ 6 20] ; [18 18],[10.06451613 15.93548387] ; [13.93548387 22.06451613],0
s7,1,0.041964,4.136671,[ 5 18] ; [16 17],[ 8.625 14.375] ; [12.375 20.625],0
v2,1,0.063449,3.444848,[16  9] ; [13 20],[12.5 12.5] ; [16.5 16.5],0
r1,1,0.067718,3.337488,[23  3] ; [24 11],[20.03278689  5.96721311] ; [26.96721311  8.03278689],0
u1,1,0.072028,3.236197,[ 4 22] ; [ 1 35],[ 2.09677419 23.90322581] ; [ 2.90322581 33.09677419],0
d5,1,0.110985,2.540134,[22  4] ; [24 12],[19.29032258  6.70967742] ; [26.70967742  9.29032258],0
v4,1,0.115484,2.477522,[25  1] ; [30  6],[23.06451613  2.93548387] ; [31.93548387  4.06451613],0
a4,1,0.120884,2.405824,[13 13] ; [11 25],[10.06451613 15.93548387] ; [13.93548387 22.06451613],0
b4,1,0.143126,2.144022,[11 15] ; [22 14],[13.83870968 12.16129032] ; [19.16129032 16.83870968],0
r4,1,0.194887,1.680285,[24  2] ; [29  7],[22.22580645  3.77419355] ; [30.77419355  5.22580645],0
p1,1,0.194887,1.680285,[ 2 24] ; [ 7 29],[ 3.77419355 22.22580645] ; [ 5.22580645 30.77419355],0
d4,1,0.19989,1.643177,[19  7] ; [31  5],[20.96774194  5.03225806] ; [29.03225806  6.96774194],0
a2,1,0.19989,1.643177,[ 7 19] ; [ 5 31],[ 5.03225806 20.96774194] ; [ 6.96774194 29.03225806],0
u2,1,0.226023,1.465714,[2 2] ; [12  3],[2.94736842 1.05263158] ; [11.05263158  3.94736842],0
n2,1,0.287495,1.131313,[1 1] ; [10  2],[1.57142857 0.42857143] ; [9.42857143 2.57142857],0
n5,1,0.317278,1.000136,[10 15] ; [10 26],[ 8.19672131 16.80327869] ; [11.80327869 24.19672131],0
a6,1,0.325918,0.965048,[19  7] ; [22 14],[17.19354839  8.80645161] ; [23.80645161 12.19354839],0
n4,1,0.367656,0.811571,[16 10] ; [18 18],[14.25806452 11.74193548] ; [19.74193548 16.25806452],0
p9,1,0.379974,0.770785,[20  6] ; [24 12],[18.4516129  7.5483871] ; [25.5483871 10.4516129],0
b1,1,0.380747,0.768287,[18  8] ; [21 15],[16.35483871  9.64516129] ; [22.64516129 13.35483871],0
p7,1,0.40043,0.707034,[19  7] ; [22 13],[17.47540984  8.52459016] ; [23.52459016 11.47540984],0
p8,1,0.415619,0.662669,[15 11] ; [17 19],[13.41935484 12.58064516] ; [18.58064516 17.41935484],0
d1,1,0.464792,0.53433,[12 14] ; [20 16],[13.41935484 12.58064516] ; [18.58064516 17.41935484],0
v3,1,0.497143,0.461029,[ 6 18] ; [11 22],[ 7.15789474 16.84210526] ; [ 9.84210526 23.15789474],0
p2,1,0.501295,0.452194,[22  4] ; [28  8],[20.96774194  5.03225806] ; [29.03225806  6.96774194],0
p11,1,0.573791,0.31638,[17  9] ; [21 15],[15.93548387 10.06451613] ; [22.06451613 13.93548387],0
b2,1,0.576449,0.31201,[5 8] ; [ 8 19],[4.225 8.775] ; [ 8.775 18.225],0
b3,1,0.576449,0.31201,[5 8] ; [ 8 19],[4.225 8.775] ; [ 8.775 18.225],0
p4,1,0.621096,0.24433,[15 11] ; [23 13],[15.93548387 10.06451613] ; [22.06451613 13.93548387],0
d3,1,0.621096,0.24433,[15 11] ; [23 13],[15.93548387 10.06451613] ; [22.06451613 13.93548387],0
a8,1,0.627077,0.236045,[ 2 20] ; [ 2 33],[ 1.54385965 20.45614035] ; [ 2.45614035 32.54385965],0
r2,1,0.653214,0.201872,[24  2] ; [32  4],[23.48387097  2.51612903] ; [32.51612903  3.48387097],0
r3,1,0.673594,0.177427,[23  3] ; [33  3],[23.48387097  2.51612903] ; [32.51612903  3.48387097],0
a5,1,0.676372,0.174238,[20  6] ; [26 10],[19.29032258  6.70967742] ; [26.70967742  9.29032258],0
p6,1,0.680517,0.169545,[ 8 17] ; [13 22],[ 8.75 16.25] ; [12.25 22.75],0
p5,1,0.735406,0.114206,[ 2 24] ; [ 2 34],[ 1.67741935 24.32258065] ; [ 2.32258065 33.67741935],0
b5,1,0.799597,0.064449,[16 10] ; [21 15],[15.51612903 10.48387097] ; [21.48387097 14.51612903],0
d2,1,0.893828,0.017812,[12 14] ; [16 20],[11.74193548 14.25806452] ; [16.25806452 19.74193548],0
p10,1,0.903324,0.014753,[17  9] ; [23 13],[16.77419355  9.22580645] ; [23.22580645 12.77419355],0
u3,1,1.0,0.0,[3 1] ; [12  4],[3. 1.] ; [12.  4.],0
