Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.013884,6.052873,[19 10] ; [18 31],[13.75641026 15.24358974] ; [23.24358974 25.75641026],0
p2,1,0.014146,6.019842,[24  7] ; [25 25],[18.75308642 12.24691358] ; [30.24691358 19.75308642],0
p9,1,0.016298,5.770383,[28  3] ; [32 16],[23.5443038  7.4556962] ; [36.4556962 11.5443038],0
p6,1,0.026026,4.954266,[10 21] ; [ 6 44],[ 6.12345679 24.87654321] ; [ 9.87654321 40.12345679],0
d5,1,0.041964,4.136669,[26  4] ; [33 17],[22.125  7.875] ; [36.875 13.125],0
p10,1,0.045864,3.986578,[25  6] ; [29 20],[20.925 10.075] ; [33.075 15.925],0
p3,1,0.075389,3.161613,[14 17] ; [13 37],[10.33333333 20.66666667] ; [16.66666667 33.33333333],0
s8,1,0.079259,3.080026,[16 15] ; [16 34],[12.24691358 18.75308642] ; [19.75308642 30.24691358],0
n2,1,0.080381,3.05719,[9 1] ; [13  9],[6.875 3.125] ; [15.125  6.875],0
a2,1,0.098608,2.727921,[ 9 22] ; [ 7 43],[ 6.12345679 24.87654321] ; [ 9.87654321 40.12345679],0
p4,1,0.140256,2.175149,[15 16] ; [16 34],[11.86419753 19.13580247] ; [19.13580247 30.86419753],0
s7,1,0.163642,1.940243,[17 13] ; [19 28],[14.02597403 15.97402597] ; [21.97402597 25.02597403],0
v3,1,0.19976,1.644125,[10 20] ; [10 39],[ 7.59493671 22.40506329] ; [12.40506329 36.59493671],0
r3,1,0.204183,1.612198,[29  2] ; [42  8],[27.17283951  3.82716049] ; [43.82716049  6.17283951],0
a3,1,0.213631,1.546645,[25  6] ; [34 16],[22.58024691  8.41975309] ; [36.41975309 13.58024691],0
s5,1,0.255818,1.291248,[16 14] ; [18 27],[13.6 16.4] ; [20.4 24.6],0
b4,1,0.27011,1.216188,[16 15] ; [32 18],[18.37037037 12.62962963] ; [29.62962963 20.37037037],0
s3,1,0.280128,1.16647,[23  8] ; [30 18],[20.79746835 10.20253165] ; [32.20253165 15.79746835],0
p1,1,0.2825,1.155024,[ 4 27] ; [ 3 47],[ 2.67901235 28.32098765] ; [ 4.32098765 45.67901235],0
a6,1,0.293401,1.103952,[21 10] ; [28 22],[18.75308642 12.24691358] ; [30.24691358 19.75308642],0
v1,1,0.31513,1.009053,[14 17] ; [17 33],[11.86419753 19.13580247] ; [19.13580247 30.86419753],0
s6,1,0.353679,0.860215,[25  6] ; [35 14],[23.25  7.75] ; [36.75 12.25],0
d2,1,0.398568,0.712642,[16 15] ; [21 29],[14.16049383 16.83950617] ; [22.83950617 27.16049383],0
p11,1,0.413434,0.668903,[19 12] ; [26 24],[17.22222222 13.77777778] ; [27.77777778 22.22222222],0
u3,1,0.415522,0.662946,[3 3] ; [11  5],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
a5,1,0.437797,0.60205,[23  8] ; [33 17],[21.43209877  9.56790123] ; [34.56790123 15.43209877],0
d1,1,0.439316,0.598068,[17 14] ; [23 27],[15.30864198 15.69135802] ; [24.69135802 25.30864198],0
u1,1,0.458651,0.549185,[ 7 24] ; [ 8 42],[ 5.74074074 25.25925926] ; [ 9.25925926 40.74074074],0
n1,1,0.490691,0.475011,[2 8] ; [ 7 15],[2.8125 7.1875] ; [ 6.1875 15.8125],0
a7,1,0.493294,0.469333,[22  8] ; [33 17],[20.625  9.375] ; [34.375 15.625],0
v4,1,0.562812,0.334858,[29  2] ; [44  5],[28.2875  2.7125] ; [44.7125  4.2875],0
b2,1,0.693527,0.155294,[ 4 16] ; [ 6 18],[ 4.54545455 15.45454545] ; [ 5.45454545 18.54545455],0
b3,1,0.693527,0.155294,[ 4 16] ; [ 6 18],[ 4.54545455 15.45454545] ; [ 5.45454545 18.54545455],0
n5,1,0.700042,0.148428,[16 15] ; [28 22],[16.83950617 14.16049383] ; [27.16049383 22.83950617],0
d4,1,0.728685,0.120322,[24  7] ; [37 13],[23.34567901  7.65432099] ; [37.65432099 12.34567901],0
b1,1,0.746476,0.104516,[11 20] ; [16 34],[10.33333333 20.66666667] ; [16.66666667 33.33333333],0
d3,1,0.749795,0.101704,[22  8] ; [35 15],[21.375  8.625] ; [35.625 14.375],0
s2,1,0.772567,0.083532,[21 10] ; [31 17],[20.40506329 10.59493671] ; [31.59493671 16.40506329],0
u2,1,0.793166,0.06875,[3 3] ; [7 9],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
r4,1,0.828631,0.046854,[26  5] ; [41  9],[25.64197531  5.35802469] ; [41.35802469  8.64197531],0
r1,1,0.830675,0.045726,[21 10] ; [35 15],[21.43209877  9.56790123] ; [34.56790123 15.43209877],0
b5,1,0.830675,0.045726,[21 10] ; [35 15],[21.43209877  9.56790123] ; [34.56790123 15.43209877],0
a1,1,0.85768,0.032159,[ 1 30] ; [ 2 48],[ 1.14814815 29.85185185] ; [ 1.85185185 48.14814815],0
n6,1,0.883503,0.021471,[24  7] ; [38 12],[23.72839506  7.27160494] ; [38.27160494 11.72839506],0
a4,1,0.918572,0.010452,[14 17] ; [22 28],[13.77777778 17.22222222] ; [22.22222222 27.77777778],0
r2,1,0.971333,0.001291,[29  2] ; [45  3],[29.03797468  1.96202532] ; [44.96202532  3.03797468],0
n4,1,0.995437,3.3e-05,[18 13] ; [29 21],[17.98765432 13.01234568] ; [29.01234568 20.98765432],0
