Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.015577,5.85,[ 7 23] ; [6 3],[10. 20.] ; [3. 6.],0
a3,1,0.0311,4.647423,[14 15] ; [8 1],[16.78947368 12.21052632] ; [5.21052632 3.78947368],0
v2,1,0.043924,4.059471,[ 6 23] ; [5 4],[ 8.39473684 20.60526316] ; [2.60526316 6.39473684],0
n3,1,0.054514,3.696875,[ 5 11] ; [4 1],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
n6,1,0.05607,3.649975,[ 9 20] ; [6 3],[11.44736842 17.55263158] ; [3.55263158 5.44736842],0
s8,1,0.062163,3.478704,[ 1 29] ; [2 7],[ 2.30769231 27.69230769] ; [0.69230769 8.30769231],0
d1,1,0.074574,3.179348,[10 20] ; [6 3],[12.30769231 17.69230769] ; [3.69230769 5.30769231],0
s6,1,0.08279,3.009259,[ 5 25] ; [4 5],[ 6.92307692 23.07692308] ; [2.07692308 6.92307692],0
r4,1,0.08883,2.895455,[ 3 27] ; [3 6],[ 4.61538462 25.38461538] ; [1.38461538 7.61538462],0
r3,1,0.11142,2.533957,[11 19] ; [6 3],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
v3,1,0.199053,1.649306,[ 5 25] ; [3 5],[ 6.31578947 23.68421053] ; [1.68421053 6.31578947],0
n5,1,0.229421,1.444444,[20 10] ; [4 5],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
b4,1,0.253555,1.303611,[17 13] ; [7 2],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
p1,1,0.277471,1.179435,[ 5 25] ; [3 6],[ 6.15384615 23.84615385] ; [1.84615385 7.15384615],0
d5,1,0.292425,1.108421,[14 16] ; [6 3],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
r1,1,0.310827,1.02716,[ 8 22] ; [4 5],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
d4,1,0.329501,0.950857,[18 12] ; [7 2],[19.23076923 10.76923077] ; [5.76923077 3.23076923],0
s5,1,0.336089,0.925294,[ 3 27] ; [2 7],[ 3.84615385 26.15384615] ; [1.15384615 7.84615385],0
s4,1,0.336089,0.925294,[ 3 27] ; [2 7],[ 3.84615385 26.15384615] ; [1.15384615 7.84615385],0
n2,1,0.338352,0.916667,[7 9] ; [4 2],[8. 8.] ; [3. 3.],0
s3,1,0.341864,0.903429,[ 8 21] ; [4 5],[ 9.15789474 19.84210526] ; [2.84210526 6.15789474],0
a4,1,0.341864,0.903429,[ 8 21] ; [4 5],[ 9.15789474 19.84210526] ; [2.84210526 6.15789474],0
u1,1,0.353512,0.860811,[ 1 29] ; [1 8],[ 1.53846154 28.46153846] ; [0.46153846 8.53846154],0
p6,1,0.368459,0.808855,[ 1 28] ; [1 8],[ 1.52631579 27.47368421] ; [0.47368421 8.52631579],0
n4,1,0.420113,0.65,[21  9] ; [5 4],[20. 10.] ; [6. 3.],0
p10,1,0.435739,0.607478,[ 6 23] ; [3 6],[ 6.86842105 22.13157895] ; [2.13157895 6.86842105],0
a7,1,0.479265,0.500535,[14 16] ; [3 6],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
n1,1,0.484423,0.488889,[8 8] ; [4 2],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
a8,1,0.516836,0.420202,[ 4 26] ; [2 7],[ 4.61538462 25.38461538] ; [1.38461538 7.61538462],0
b1,1,0.518871,0.416138,[13 17] ; [5 4],[13.84615385 16.15384615] ; [4.15384615 4.84615385],0
p4,1,0.542227,0.371429,[ 6 24] ; [1 8],[ 5.38461538 24.61538462] ; [1.61538462 7.38461538],0
p3,1,0.542227,0.371429,[ 6 24] ; [1 8],[ 5.38461538 24.61538462] ; [1.61538462 7.38461538],0
d3,1,0.542227,0.371429,[10 20] ; [4 5],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
b2,1,0.560714,0.338469,[ 8 13] ; [4 4],[ 8.68965517 12.31034483] ; [3.31034483 4.68965517],0
b3,1,0.560714,0.338469,[ 8 13] ; [4 4],[ 8.68965517 12.31034483] ; [3.31034483 4.68965517],0
v1,1,0.589032,0.291859,[ 5 25] ; [2 6],[ 5.52631579 24.47368421] ; [1.47368421 6.52631579],0
r2,1,0.654001,0.200893,[15 13] ; [5 3],[15.55555556 12.44444444] ; [4.44444444 3.55555556],0
a2,1,0.660768,0.192593,[ 2 28] ; [1 8],[ 2.30769231 27.69230769] ; [0.69230769 8.30769231],0
s1,1,0.685372,0.164141,[ 5 25] ; [1 8],[ 4.61538462 25.38461538] ; [1.38461538 7.61538462],0
p9,1,0.740947,0.109296,[ 9 20] ; [2 6],[ 8.62162162 20.37837838] ; [2.37837838 5.62162162],0
a5,1,0.769943,0.085526,[15 15] ; [5 4],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
d2,1,0.840617,0.040443,[15 14] ; [5 4],[15.26315789 13.73684211] ; [4.73684211 4.26315789],0
s2,1,0.861162,0.030588,[ 4 26] ; [1 8],[ 3.84615385 26.15384615] ; [1.15384615 7.84615385],0
p7,1,0.94468,0.004815,[ 7 23] ; [2 7],[ 6.92307692 23.07692308] ; [2.07692308 6.92307692],0
b5,1,0.952986,0.003476,[13 17] ; [4 5],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
a6,1,0.952986,0.003476,[13 17] ; [4 5],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
