Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7.2e-05,15.764282,[44  9] ; [228 191],[30.54237288 22.45762712] ; [241.45762712 177.54237288],1
s3,1,0.000123,14.746136,[39 13] ; [195 222],[25.9445629 26.0554371] ; [208.0554371 208.9445629],1
s2,1,0.000332,12.883189,[33 19] ; [157 261],[21.0212766 30.9787234] ; [168.9787234 249.0212766],1
b3,1,0.023768,5.111498,[ 3 20] ; [ 94 164],[ 7.93950178 15.06049822] ; [ 89.06049822 168.93950178],0
b2,1,0.023768,5.111498,[ 3 20] ; [ 94 164],[ 7.93950178 15.06049822] ; [ 89.06049822 168.93950178],0
v2,1,0.105993,2.612975,[24 27] ; [234 163],[29.37053571 21.62946429] ; [228.62946429 168.37053571],0
a3,1,0.106427,2.606497,[42 11] ; [286 132],[36.90870488 16.09129512] ; [291.09129512 126.90870488],0
d3,1,0.143191,2.143331,[42 11] ; [292 128],[37.42494715 15.57505285] ; [296.57505285 123.42494715],0
v3,1,0.155264,2.019756,[15 36] ; [158 240],[19.65033408 31.34966592] ; [153.34966592 244.65033408],0
n4,1,0.159101,1.982753,[36 17] ; [323  98],[40.14135021 12.85864979] ; [318.85864979 102.14135021],0
v1,1,0.16853,1.89597,[22 30] ; [215 195],[26.67532468 25.32467532] ; [210.32467532 199.67532468],0
d4,1,0.189845,1.718819,[40 13] ; [347  72],[43.45550847  9.54449153] ; [343.54449153  75.45550847],0
n5,1,0.205043,1.606082,[34 19] ; [303 115],[37.92144374 15.07855626] ; [299.07855626 118.92144374],0
p5,1,0.217801,1.518803,[ 1 52] ; [ 25 392],[ 2.93191489 50.06808511] ; [ 23.06808511 393.93191489],0
a8,1,0.218334,1.515289,[ 4 45] ; [ 55 321],[ 6.80235294 42.19764706] ; [ 52.19764706 323.80235294],0
b5,1,0.243696,1.359088,[36 17] ; [251 170],[32.0907173 20.9092827] ; [254.9092827 166.0907173],0
n3,1,0.252803,1.307746,[9 2] ; [64 35],[7.3 3.7] ; [65.7 33.3],0
u1,1,0.25446,1.298647,[12 41] ; [ 69 352],[ 9.05696203 43.94303797] ; [ 71.94303797 349.05696203],0
p12,1,0.282625,1.154426,[ 1 52] ; [ 22 396],[ 2.5881104 50.4118896] ; [ 20.4118896 397.5881104],0
u2,1,0.291028,1.114861,[5 6] ; [82 51],[6.64583333 4.35416667] ; [80.35416667 52.64583333],0
s7,1,0.30341,1.059148,[25 26] ; [165 233],[21.58129176 29.41870824] ; [168.41870824 229.58129176],0
p11,1,0.330032,0.948771,[38 15] ; [327  94],[40.81223629 12.18776371] ; [324.18776371  96.81223629],0
a4,1,0.366916,0.814083,[20 33] ; [185 233],[23.06794055 29.93205945] ; [181.93205945 236.06794055],0
