Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.821764,[8 1] ; [ 5 40],[2.16666667 6.83333333] ; [10.83333333 34.16666667],1
s3,1,0.000178,14.054351,[8 1] ; [11 35],[3.10909091 5.89090909] ; [15.89090909 30.10909091],1
s2,1,0.000533,11.996581,[6 3] ; [ 7 42],[2.01724138 6.98275862] ; [10.98275862 38.01724138],1
p10,1,0.004506,8.067928,[8 1] ; [18 30],[4.10526316 4.89473684] ; [21.89473684 26.10526316],0
r4,1,0.009116,6.799934,[4 5] ; [ 5 44],[1.39655172 7.60344828] ; [ 7.60344828 41.39655172],0
p6,1,0.010198,6.599971,[4 5] ; [ 5 43],[1.42105263 7.57894737] ; [ 7.57894737 40.42105263],0
b5,1,0.020394,5.377834,[8 1] ; [23 26],[4.81034483 4.18965517] ; [26.18965517 22.81034483],0
a7,1,0.030578,4.676522,[7 2] ; [19 30],[4.03448276 4.96551724] ; [21.96551724 27.03448276],0
r1,1,0.038581,4.2792,[6 3] ; [15 34],[3.25862069 5.74137931] ; [17.74137931 31.25862069],0
d1,1,0.038581,4.2792,[6 3] ; [15 34],[3.25862069 5.74137931] ; [17.74137931 31.25862069],0
d3,1,0.041029,4.174833,[7 2] ; [20 29],[4.18965517 4.81034483] ; [22.81034483 26.18965517],0
s6,1,0.041102,4.171823,[5 4] ; [11 38],[2.48275862 6.51724138] ; [13.51724138 35.48275862],0
p8,1,0.045534,3.998761,[5 4] ; [11 37],[2.52631579 6.47368421] ; [13.47368421 34.52631579],0
p2,1,0.053983,3.713228,[7 2] ; [21 28],[4.34482759 4.65517241] ; [23.65517241 25.34482759],0
d2,1,0.059429,3.553247,[6 3] ; [16 32],[3.47368421 5.52631579] ; [18.52631579 29.47368421],0
n6,1,0.078556,3.09452,[7 2] ; [22 26],[4.57894737 4.42105263] ; [24.42105263 23.57894737],0
b1,1,0.093776,2.808323,[3 6] ; [31 18],[5.27586207 3.72413793] ; [28.72413793 20.27586207],0
a2,1,0.113713,2.501844,[2 7] ; [ 3 46],[0.77586207 8.22413793] ; [ 4.22413793 44.77586207],0
p5,1,0.120093,2.416106,[2 7] ; [ 3 45],[0.78947368 8.21052632] ; [ 4.21052632 43.78947368],0
d5,1,0.137917,2.201051,[7 2] ; [25 24],[4.96551724 4.03448276] ; [27.03448276 21.96551724],0
r2,1,0.138843,2.190741,[7 1] ; [29 19],[5.14285714 2.85714286] ; [30.85714286 17.14285714],0
s5,1,0.159424,1.979678,[3 5] ; [ 8 41],[1.54385965 6.45614035] ; [ 9.45614035 39.54385965],0
u1,1,0.170465,1.878847,[1 8] ; [ 1 48],[0.31034483 8.68965517] ; [ 1.68965517 47.31034483],0
a6,1,0.188108,1.732378,[6 3] ; [21 28],[4.18965517 4.81034483] ; [22.81034483 26.18965517],0
p11,1,0.188836,1.726677,[5 4] ; [16 33],[3.25862069 5.74137931] ; [17.74137931 31.25862069],0
u3,1,0.193931,1.6875,[2 1] ; [ 7 17],[1. 2.] ; [ 8. 16.],0
n5,1,0.22893,1.447495,[8 1] ; [34 15],[6.51724138 2.48275862] ; [35.48275862 13.51724138],0
p7,1,0.24062,1.376956,[1 6] ; [18 31],[2.375 4.625] ; [16.625 32.375],0
u2,1,0.259656,1.270588,[2 1] ; [ 8 16],[1.11111111 1.88888889] ; [ 8.88888889 15.11111111],0
a5,1,0.329065,0.952575,[6 3] ; [24 25],[4.65517241 4.34482759] ; [25.34482759 23.65517241],0
n4,1,0.342242,0.902016,[7 2] ; [30 19],[5.74137931 3.25862069] ; [31.25862069 17.74137931],0
p4,1,0.344109,0.895062,[4 5] ; [14 35],[2.79310345 6.20689655] ; [15.20689655 33.79310345],0
s4,1,0.392741,0.730438,[3 6] ; [10 39],[2.01724138 6.98275862] ; [10.98275862 38.01724138],0
a3,1,0.45628,0.555003,[6 3] ; [25 22],[4.98214286 4.01785714] ; [26.01785714 20.98214286],0
b2,1,0.515599,0.422687,[2 6] ; [13 22],[2.79069767 5.20930233] ; [12.20930233 22.79069767],0
b3,1,0.515599,0.422687,[2 6] ; [13 22],[2.79069767 5.20930233] ; [12.20930233 22.79069767],0
n1,1,0.522003,0.409935,[3 2] ; [12 15],[2.34375 2.65625] ; [12.65625 14.34375],0
v2,1,0.564126,0.33261,[2 7] ; [ 7 41],[1.42105263 7.57894737] ; [ 7.57894737 40.42105263],0
p3,1,0.577594,0.310141,[3 6] ; [12 37],[2.32758621 6.67241379] ; [12.67241379 36.32758621],0
s1,1,0.587224,0.294701,[1 8] ; [ 3 46],[0.62068966 8.37931034] ; [ 3.37931034 45.62068966],0
n3,1,0.626354,0.237037,[3 2] ; [13 14],[2.5 2.5] ; [13.5 13.5],0
b4,1,0.673168,0.177919,[6 3] ; [29 20],[5.43103448 3.56896552] ; [29.56896552 19.43103448],0
v1,1,0.883828,0.021351,[2 7] ; [12 37],[2.17241379 6.82758621] ; [11.82758621 37.17241379],0
p1,1,0.923545,0.00921,[1 8] ; [ 6 43],[1.0862069 7.9137931] ; [ 5.9137931 43.0862069],0
a4,1,0.967161,0.001695,[3 6] ; [16 31],[3.05357143 5.94642857] ; [15.94642857 31.05357143],0
