Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.8e-05,17.530893,[29 71] ; [22  9],[38.93129771 61.06870229] ; [12.06870229 18.93129771],1
p3,1,0.00022,13.650494,[26 72] ; [20 12],[34.67692308 63.32307692] ; [11.32307692 20.67692308],1
b5,1,0.000491,12.1495,[54 46] ; [ 6 26],[45.45454545 54.54545455] ; [14.54545455 17.45454545],1
p1,1,0.000547,11.946532,[ 2 98] ; [ 6 26],[ 6.06060606 93.93939394] ; [ 1.93939394 30.06060606],1
p4,1,0.00073,11.410116,[34 64] ; [22 10],[42.21538462 55.78461538] ; [13.78461538 18.21538462],1
s4,1,0.001438,10.15639,[ 7 93] ; [ 9 23],[12.12121212 87.87878788] ; [ 3.87878788 28.12121212],0
r4,1,0.004075,8.25,[60 40] ; [28  4],[66.66666667 33.33333333] ; [21.33333333 10.66666667],0
p7,1,0.014556,5.969388,[43 55] ; [22 10],[49. 49.] ; [16. 16.],0
p6,1,0.018422,5.555556,[19 77] ; [13 19],[24. 72.] ; [ 8. 24.],0
p5,1,0.030523,4.679614,[ 6 93] ; [ 6 26],[ 9.06870229 89.93129771] ; [ 2.93129771 29.06870229],0
b4,1,0.032032,4.59677,[47 53] ; [22 10],[52.27272727 47.72727273] ; [16.72727273 15.27272727],0
d2,1,0.037639,4.321268,[41 58] ; [20 12],[46.09923664 52.90076336] ; [14.90076336 17.09923664],0
p10,1,0.038495,4.283011,[56 41] ; [25  7],[60.90697674 36.09302326] ; [20.09302326 11.90697674],0
d4,1,0.044368,4.0425,[62 38] ; [26  6],[66.66666667 33.33333333] ; [21.33333333 10.66666667],0
v4,1,0.055544,3.665672,[79 21] ; [30  2],[82.57575758 17.42424242] ; [26.42424242  5.57575758],0
n6,1,0.056827,3.627662,[74 25] ; [29  3],[77.83969466 21.16030534] ; [25.16030534  6.83969466],0
d1,1,0.069045,3.305583,[38 62] ; [18 14],[42.42424242 57.57575758] ; [13.57575758 18.42424242],0
a4,1,0.071209,3.254939,[32 67] ; [16 16],[36.27480916 62.72519084] ; [11.72519084 20.27480916],0
d5,1,0.076801,3.13133,[61 39] ; [25  7],[65.15151515 34.84848485] ; [20.84848485 11.15151515],0
a2,1,0.079434,3.076452,[ 4 96] ; [ 4 28],[ 6.06060606 93.93939394] ; [ 1.93939394 30.06060606],0
p9,1,0.0963,2.765774,[63 33] ; [26  6],[66.75 29.25] ; [22.25  9.75],0
r1,1,0.1339,2.246697,[57 43] ; [23  9],[60.60606061 39.39393939] ; [19.39393939 12.60606061],0
d3,1,0.191644,1.704934,[37 63] ; [16 16],[40.15151515 59.84848485] ; [12.84848485 19.15151515],0
p11,1,0.197008,1.664417,[66 34] ; [25  7],[68.93939394 31.06060606] ; [22.06060606  9.93939394],0
v2,1,0.219768,1.505882,[42 54] ; [18 14],[45. 51.] ; [15. 17.],0
u1,1,0.222192,1.490156,[ 2 98] ; [ 2 30],[ 3.03030303 96.96969697] ; [ 0.96969697 31.03030303],0
v3,1,0.222625,1.487372,[32 64] ; [ 7 25],[29.25 66.75] ; [ 9.75 22.25],0
a5,1,0.226201,1.464593,[60 40] ; [23  9],[62.87878788 37.12121212] ; [20.12121212 11.87878788],0
u3,1,0.245153,1.350714,[13 28] ; [6 6],[14.69811321 26.30188679] ; [4.30188679 7.69811321],0
p2,1,0.248824,1.329897,[62 35] ; [24  8],[64.66666667 32.33333333] ; [21.33333333 10.66666667],0
r3,1,0.270692,1.213235,[75 25] ; [27  5],[77.27272727 22.72727273] ; [24.72727273  7.27272727],0
n4,1,0.39465,0.724567,[67 33] ; [24  8],[68.93939394 31.06060606] ; [22.06060606  9.93939394],0
s8,1,0.402527,0.700765,[21 79] ; [ 9 23],[22.72727273 77.27272727] ; [ 7.27272727 24.72727273],0
n5,1,0.404866,0.693825,[74 26] ; [26  6],[75.75757576 24.24242424] ; [24.24242424  7.75757576],0
p8,1,0.418209,0.655342,[38 60] ; [15 17],[39.95384615 58.04615385] ; [13.04615385 18.95384615],0
r2,1,0.519826,0.414239,[76 20] ; [27  5],[77.25 18.75] ; [25.75  6.25],0
n1,1,0.52888,0.396543,[15 26] ; [2 6],[14.2244898 26.7755102] ; [2.7755102 5.2244898],0
a6,1,0.707264,0.141026,[40 60] ; [14 18],[40.90909091 59.09090909] ; [13.09090909 18.90909091],0
s2,1,0.72169,0.126879,[13 86] ; [ 5 27],[13.60305344 85.39694656] ; [ 4.39694656 27.60305344],0
a3,1,0.725181,0.123583,[59 41] ; [20 12],[59.84848485 40.15151515] ; [19.15151515 12.84848485],0
b1,1,0.758262,0.094719,[50 50] ; [17 15],[50.75757576 49.24242424] ; [16.24242424 15.75757576],0
b2,1,0.766084,0.088507,[24 38] ; [ 7 13],[23.43902439 38.56097561] ; [ 7.56097561 12.43902439],0
b3,1,0.766084,0.088507,[24 38] ; [ 7 13],[23.43902439 38.56097561] ; [ 7.56097561 12.43902439],0
s1,1,0.783591,0.075429,[ 5 95] ; [ 2 30],[ 5.3030303 94.6969697] ; [ 1.6969697 30.3030303],0
v1,1,0.789158,0.071505,[41 58] ; [12 19],[40.36153846 58.63846154] ; [12.63846154 18.36153846],0
p12,1,0.80698,0.059694,[ 4 94] ; [ 1 31],[ 3.76923077 94.23076923] ; [ 1.23076923 30.76923077],0
u2,1,0.81195,0.056601,[17 24] ; [5 6],[17.34615385 23.65384615] ; [4.65384615 6.34615385],0
n2,1,0.834732,0.043529,[24 17] ; [5 3],[24.26530612 16.73469388] ; [4.73469388 3.26530612],0
s7,1,0.951883,0.003641,[24 71] ; [ 8 23],[24.12698413 70.87301587] ; [ 7.87301587 23.12698413],0
a1,1,0.958857,0.002661,[ 6 94] ; [ 2 30],[ 6.06060606 93.93939394] ; [ 1.93939394 30.06060606],0
a8,1,0.967939,0.001615,[ 6 87] ; [ 2 30],[ 5.952 87.048] ; [ 2.048 29.952],0
n3,1,0.985933,0.000311,[23 17] ; [4 3],[22.9787234 17.0212766] ; [4.0212766 2.9787234],0
