Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.043402,4.07967,[ 5 25] ; [2 1],[ 6.36363636 23.63636364] ; [0.63636364 2.36363636],0
p3,1,0.079989,3.065134,[ 6 23] ; [2 1],[ 7.25 21.75] ; [0.75 2.25],0
r4,1,0.125551,2.346667,[ 2 28] ; [1 2],[ 2.72727273 27.27272727] ; [0.27272727 2.72727273],0
a2,1,0.125551,2.346667,[ 2 28] ; [1 2],[ 2.72727273 27.27272727] ; [0.27272727 2.72727273],0
p4,1,0.198959,1.65,[ 9 21] ; [2 1],[10. 20.] ; [1. 2.],0
a5,1,0.252481,1.309524,[10 20] ; [2 1],[10.90909091 19.09090909] ; [1.09090909 1.90909091],0
p7,1,0.252481,1.309524,[10 20] ; [2 1],[10.90909091 19.09090909] ; [1.09090909 1.90909091],0
s7,1,0.299934,1.074487,[ 3 23] ; [1 2],[ 3.5862069 22.4137931] ; [0.4137931 2.5862069],0
b4,1,0.310611,1.028077,[19 11] ; [1 2],[18.18181818 11.81818182] ; [1.81818182 1.18181818],0
d3,1,0.372898,0.793985,[12 18] ; [2 1],[12.72727273 17.27272727] ; [1.27272727 1.72727273],0
a3,1,0.400628,0.70644,[12 17] ; [2 1],[12.6875 16.3125] ; [1.3125 1.6875],0
a8,1,0.414216,0.666667,[ 4 23] ; [1 2],[ 4.5 22.5] ; [0.5 2.5],0
s2,1,0.47546,0.509259,[ 5 25] ; [1 2],[ 5.45454545 24.54545455] ; [0.54545455 2.45454545],0
p8,1,0.496631,0.462128,[ 5 24] ; [1 2],[ 5.4375 23.5625] ; [0.5625 2.4375],0
a6,1,0.508688,0.436765,[14 16] ; [2 1],[14.54545455 15.45454545] ; [1.45454545 1.54545455],0
n4,1,0.508688,0.436765,[16 14] ; [1 2],[15.45454545 14.54545455] ; [1.54545455 1.45454545],0
v4,1,0.508688,0.436765,[16 14] ; [1 2],[15.45454545 14.54545455] ; [1.54545455 1.45454545],0
r3,1,0.581815,0.303309,[15 15] ; [1 2],[14.54545455 15.45454545] ; [1.45454545 1.54545455],0
n5,1,0.581815,0.303309,[15 15] ; [1 2],[14.54545455 15.45454545] ; [1.45454545 1.54545455],0
n6,1,0.581815,0.303309,[15 15] ; [2 1],[15.45454545 14.54545455] ; [1.54545455 1.45454545],0
r1,1,0.59015,0.29011,[ 6 24] ; [1 2],[ 6.36363636 23.63636364] ; [0.63636364 2.36363636],0
d4,1,0.658332,0.195556,[16 14] ; [2 1],[16.36363636 13.63636364] ; [1.63636364 1.36363636],0
a4,1,0.699973,0.1485,[ 7 23] ; [1 2],[ 7.27272727 22.72727273] ; [0.72727273 2.27272727],0
d1,1,0.699973,0.1485,[ 7 23] ; [1 2],[ 7.27272727 22.72727273] ; [0.72727273 2.27272727],0
d5,1,0.738269,0.111654,[17 13] ; [2 1],[17.27272727 12.72727273] ; [1.72727273 1.27272727],0
a7,1,0.738269,0.111654,[13 17] ; [1 2],[12.72727273 17.27272727] ; [1.27272727 1.72727273],0
v2,1,0.804748,0.061111,[ 8 22] ; [1 2],[ 8.18181818 21.81818182] ; [0.81818182 2.18181818],0
d2,1,0.904656,0.014348,[ 9 21] ; [1 2],[ 9.09090909 20.90909091] ; [0.90909091 2.09090909],0
b1,1,0.908893,0.013095,[19 11] ; [2 1],[19.09090909 10.90909091] ; [1.90909091 1.09090909],0
p11,1,0.908893,0.013095,[11 19] ; [1 2],[10.90909091 19.09090909] ; [1.09090909 1.90909091],0
s3,1,0.96817,0.001592,[10 19] ; [1 2],[ 9.96875 19.03125] ; [1.03125 1.96875],0
