Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.545351,[57 11] ; [ 7 18],[46.79569892 21.20430108] ; [17.20430108  7.79569892],1
v2,1,0.000723,11.428869,[42 24] ; [ 6 19],[34.81318681 31.18681319] ; [13.18681319 11.81318681],1
s6,1,0.005045,7.863306,[58  7] ; [16  9],[53.44444444 11.55555556] ; [20.55555556  4.44444444],0
r4,1,0.008457,6.933971,[63  5] ; [18  7],[59.22580645  8.77419355] ; [21.77419355  3.22580645],0
s5,1,0.027568,4.854862,[33 28] ; [ 7 18],[28.37209302 32.62790698] ; [11.62790698 13.37209302],0
n3,1,0.028834,4.7775,[18  6] ; [6 9],[14.76923077  9.23076923] ; [9.23076923 5.76923077],0
p2,1,0.038514,4.282179,[55 13] ; [15 10],[51.1827957 16.8172043] ; [18.8172043  6.1827957],0
r3,1,0.043895,4.060581,[63  4] ; [20  5],[60.44565217  6.55434783] ; [22.55434783  2.44565217],0
p9,1,0.071695,3.243782,[56 10] ; [17  8],[52.94505495 13.05494505] ; [20.05494505  4.94505495],0
r2,1,0.089743,2.878973,[65  2] ; [22  3],[63.35869565  3.64130435] ; [23.64130435  1.35869565],0
v1,1,0.106492,2.605527,[40 28] ; [10 15],[36.55913978 31.44086022] ; [13.44086022 11.55913978],0
p6,1,0.138559,2.193889,[33 34] ; [ 8 17],[29.85869565 37.14130435] ; [11.14130435 13.85869565],0
p8,1,0.180083,1.79694,[22 45] ; [12 13],[24.76086957 42.23913043] ; [ 9.23913043 15.76086957],0
v4,1,0.186635,1.743986,[65  3] ; [22  3],[63.61290323  4.38709677] ; [23.38709677  1.61290323],0
b3,1,0.189647,1.720356,[16 23] ; [ 3 11],[13.98113208 25.01886792] ; [5.01886792 8.98113208],0
b2,1,0.189647,1.720356,[16 23] ; [ 3 11],[13.98113208 25.01886792] ; [5.01886792 8.98113208],0
n4,1,0.199644,1.644976,[51 15] ; [16  9],[48.59340659 17.40659341] ; [18.40659341  6.59340659],0
s8,1,0.210904,1.565208,[45 23] ; [13 12],[42.40860215 25.59139785] ; [15.59139785  9.40860215],0
d2,1,0.223537,1.48152,[39 28] ; [11 14],[36.41304348 30.58695652] ; [13.58695652 11.41304348],0
a7,1,0.229123,1.446295,[52 16] ; [16  9],[49.72043011 18.27956989] ; [18.27956989  6.72043011],0
