Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.00406,8.25679,[10 28] ; [89 82],[18. 20.] ; [81. 90.],0
s5,1,0.005873,7.588828,[21 15] ; [ 56 110],[13.72277228 22.27722772] ; [ 63.27722772 102.72277228],0
p8,1,0.010119,6.613909,[27 10] ; [84 85],[19.9368932 17.0631068] ; [91.0631068 77.9368932],0
b2,1,0.010999,6.465476,[ 4 19] ; [52 61],[ 9.47058824 13.52941176] ; [46.52941176 66.47058824],0
b3,1,0.010999,6.465476,[ 4 19] ; [52 61],[ 9.47058824 13.52941176] ; [46.52941176 66.47058824],0
p7,1,0.014322,5.998041,[32  5] ; [113  58],[25.79326923 11.20673077] ; [119.20673077  51.79326923],0
v2,1,0.01712,5.684058,[12 26] ; [88 78],[18.62745098 19.37254902] ; [81.37254902 84.62745098],0
s6,1,0.0194,5.465097,[29  7] ; [100  67],[22.87684729 13.12315271] ; [106.12315271  60.87684729],0
s7,1,0.023484,5.132365,[26 11] ; [81 82],[19.795 17.205] ; [87.205 75.795],0
s3,1,0.029871,4.716681,[28 10] ; [92 77],[22.02898551 15.97101449] ; [97.97101449 71.02898551],0
p3,1,0.04663,3.958672,[25 13] ; [82 89],[19.45454545 18.54545455] ; [87.54545455 83.45454545],0
a8,1,0.05392,3.71518,[ 1 35] ; [ 23 136],[ 4.43076923 31.56923077] ; [ 19.56923077 139.43076923],0
s2,1,0.06696,3.356014,[23 15] ; [75 95],[17.90384615 20.09615385] ; [80.09615385 89.90384615],0
d3,1,0.10188,2.675864,[22 16] ; [74 97],[17.45454545 20.54545455] ; [78.54545455 92.45454545],0
n6,1,0.108199,2.580332,[28 10] ; [143  26],[31.39130435  6.60869565] ; [139.60869565  29.39130435],0
p9,1,0.116762,2.460231,[29  9] ; [147  23],[32.15384615  5.84615385] ; [143.84615385  26.15384615],0
v1,1,0.137929,2.200909,[16 22] ; [92 74],[20.11764706 17.88235294] ; [87.88235294 78.11764706],0
u3,1,0.179592,1.800998,[7 7] ; [15 34],[4.88888889 9.11111111] ; [17.11111111 31.88888889],0
n2,1,0.193852,1.688099,[11  2] ; [31 16],[9.1 3.9] ; [32.9 14.1],0
p6,1,0.217076,1.523595,[17 20] ; [ 59 109],[13.71707317 23.28292683] ; [ 62.28292683 105.71707317],0
u2,1,0.252216,1.310988,[9 5] ; [23 26],[7.11111111 6.88888889] ; [24.88888889 24.11111111],0
n4,1,0.257646,1.281361,[28 10] ; [139  31],[30.50961538  7.49038462] ; [136.49038462  33.50961538],0
a3,1,0.294353,1.099603,[24 14] ; [122  48],[26.67307692 11.32692308] ; [119.32692308  50.67307692],0
p12,1,0.355409,0.854049,[ 1 37] ; [ 11 158],[ 2.20289855 35.79710145] ; [  9.79710145 159.20289855],0
d5,1,0.366824,0.814395,[30  8] ; [122  48],[27.76923077 10.23076923] ; [124.23076923  45.76923077],0
p4,1,0.376405,0.782409,[24 14] ; [94 76],[21.55769231 16.44230769] ; [96.44230769 73.55769231],0
r3,1,0.405778,0.691138,[33  5] ; [156  15],[34.36363636  3.63636364] ; [154.63636364  16.36363636],0
b4,1,0.411596,0.674187,[19 19] ; [98 73],[21.27272727 16.72727273] ; [95.72727273 75.27272727],0
a2,1,0.415873,0.661948,[ 2 36] ; [ 16 155],[ 3.27272727 34.72727273] ; [ 14.72727273 156.27272727],0
r2,1,0.445024,0.583294,[32  6] ; [149  19],[33.38834951  4.61165049] ; [147.61165049  20.38834951],0
p1,1,0.461832,0.541451,[ 4 34] ; [ 12 159],[ 2.90909091 35.09090909] ; [ 13.09090909 157.90909091],0
u1,1,0.528206,0.397843,[ 3 35] ; [  9 162],[ 2.18181818 35.81818182] ; [  9.81818182 161.18181818],0
v3,1,0.543787,0.368567,[13 25] ; [ 66 101],[14.64390244 23.35609756] ; [ 64.35609756 102.64390244],0
d4,1,0.601221,0.273159,[27 11] ; [127  42],[28.2705314  9.7294686] ; [125.7294686  43.2705314],0
p5,1,0.626901,0.236286,[ 4 34] ; [ 23 148],[ 4.90909091 33.09090909] ; [ 22.09090909 148.90909091],0
v4,1,0.627739,0.23514,[35  2] ; [156  13],[34.30582524  2.69417476] ; [156.69417476  12.30582524],0
s8,1,0.64666,0.210136,[16 22] ; [79 92],[17.27272727 20.72727273] ; [77.72727273 93.27272727],0
a4,1,0.647798,0.208687,[15 23] ; [74 96],[16.25961538 21.74038462] ; [72.74038462 97.25961538],0
p10,1,0.692461,0.156434,[31  7] ; [133  36],[30.10628019  7.89371981] ; [133.89371981  35.10628019],0
p11,1,0.716615,0.13176,[31  7] ; [135  36],[30.18181818  7.81818182] ; [135.81818182  35.18181818],0
