Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,82.069741,[105   9] ; [22 54],[76.2 37.8] ; [50.8 25.2],1
p11,1,0.0,30.502476,[87 28] ; [28 50],[68.52331606 46.47668394] ; [46.47668394 31.52331606],1
p2,1,4e-06,21.057628,[85 30] ; [32 46],[69.71502591 45.28497409] ; [47.28497409 30.71502591],1
v4,1,0.000172,14.110737,[105   9] ; [56 22],[95.59375 18.40625] ; [65.40625 12.59375],1
n6,1,0.000579,11.841405,[93 21] ; [46 32],[82.53125 31.46875] ; [56.46875 21.53125],1
a1,1,0.001033,10.768065,[  1 114] ; [ 9 69],[  5.95854922 109.04145078] ; [ 4.04145078 73.95854922],0
r3,1,0.001546,10.023439,[99 15] ; [53 25],[90.25 23.75] ; [61.75 16.25],0
s2,1,0.001756,9.788452,[52 62] ; [18 59],[41.78010471 72.21989529] ; [28.21989529 48.78010471],0
s3,1,0.006018,7.544946,[59 55] ; [24 52],[49.8 64.2] ; [33.2 42.8],0
p8,1,0.006046,7.536603,[32 82] ; [ 9 69],[24.34375 89.65625] ; [16.65625 61.34375],0
n2,1,0.008079,7.015909,[25  7] ; [19 21],[19.55555556 12.44444444] ; [24.44444444 15.55555556],0
s5,1,0.015531,5.855232,[31 78] ; [10 65],[24.28804348 84.71195652] ; [16.71195652 58.28804348],0
p4,1,0.017653,5.630245,[47 68] ; [19 59],[39.32642487 75.67357513] ; [26.67357513 51.32642487],0
r4,1,0.019031,5.498647,[90 25] ; [49 29],[82.8238342 32.1761658] ; [56.1761658 21.8238342],0
s8,1,0.020369,5.379969,[38 77] ; [14 64],[30.98445596 84.01554404] ; [21.01554404 56.98445596],0
s6,1,0.030184,4.698784,[60 53] ; [29 49],[52.65445026 60.34554974] ; [36.34554974 41.65445026],0
p3,1,0.031805,4.608994,[38 76] ; [15 63],[31.46875 82.53125] ; [21.53125 56.46875],0
v1,1,0.038769,4.270939,[41 69] ; [18 60],[34.5212766 75.4787234] ; [24.4787234 53.5212766],0
b1,1,0.041786,4.14385,[42 73] ; [40 38],[48.86010363 66.13989637] ; [33.13989637 44.86010363],0
b5,1,0.059177,3.560303,[76 39] ; [41 37],[69.71502591 45.28497409] ; [47.28497409 30.71502591],0
n3,1,0.063003,3.456507,[21 11] ; [16 21],[17.15942029 14.84057971] ; [19.84057971 17.15942029],0
n5,1,0.068356,3.322064,[85 30] ; [48 30],[79.24870466 35.75129534] ; [53.75129534 24.24870466],0
u2,1,0.087894,2.91253,[25 22] ; [10 20],[21.36363636 25.63636364] ; [13.63636364 16.36363636],0
a4,1,0.108646,2.573809,[44 71] ; [38 38],[49.37172775 65.62827225] ; [32.62827225 43.37172775],0
r2,1,0.115167,2.48185,[103  12] ; [62 14],[99.34554974 15.65445026] ; [65.65445026 10.34554974],0
d4,1,0.120979,2.404597,[87 28] ; [51 27],[82.22797927 32.77202073] ; [55.77202073 22.22797927],0
p5,1,0.124837,2.355558,[ 11 102] ; [ 3 75],[  8.28272251 104.71727749] ; [ 5.71727749 72.28272251],0
s7,1,0.129643,2.296779,[43 70] ; [19 51],[38.28415301 74.71584699] ; [23.71584699 46.28415301],0
a7,1,0.158214,1.991218,[75 40] ; [43 35],[70.31088083 44.68911917] ; [47.68911917 30.31088083],0
u3,1,0.267301,1.230544,[28 19] ; [14 16],[25.63636364 21.36363636] ; [16.36363636 13.63636364],0
a2,1,0.277101,1.181253,[18 97] ; [17 61],[20.85492228 94.14507772] ; [14.14507772 63.85492228],0
a8,1,0.292542,1.107886,[  8 100] ; [ 9 66],[10.03278689 97.96721311] ; [ 6.96721311 68.03278689],0
p12,1,0.348049,0.880559,[  4 110] ; [ 1 76],[  2.98429319 111.01570681] ; [ 2.01570681 74.98429319],0
u4,1,0.350369,0.872122,[  1 114] ; [ 2 76],[  1.78756477 113.21243523] ; [ 1.21243523 76.78756477],0
d2,1,0.351338,0.868617,[47 67] ; [37 40],[50.13612565 63.86387435] ; [33.86387435 43.13612565],0
a5,1,0.418376,0.654872,[73 42] ; [45 33],[70.31088083 44.68911917] ; [47.68911917 30.31088083],0
v3,1,0.430384,0.621786,[17 94] ; [15 61],[18.99465241 92.00534759] ; [13.00534759 62.99465241],0
b4,1,0.450009,0.57063,[74 41] ; [46 32],[71.50259067 43.49740933] ; [48.49740933 29.50259067],0
