Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,48.833979,[11 90] ; [95 84],[38.23571429 62.76428571] ; [ 67.76428571 111.23571429],1
d2,1,0.0,34.379284,[18 84] ; [95 83],[41.16428571 60.83571429] ; [ 71.83571429 106.16428571],1
a3,1,0.0,27.630993,[49 52] ; [140  37],[68.66546763 32.33453237] ; [120.33453237  56.66546763],1
a6,1,0.0,27.143717,[56 46] ; [148  29],[74.58064516 27.41935484] ; [129.41935484  47.58064516],1
d1,1,1e-06,24.653839,[33 69] ; [113  66],[52.99644128 49.00355872] ; [93.00355872 85.99644128],1
u1,1,0.000188,13.950345,[ 4 98] ; [ 36 143],[14.51957295 87.48042705] ; [ 25.48042705 153.51957295],1
n4,1,0.00032,12.948128,[53 49] ; [131  48],[66.79003559 35.20996441] ; [117.20996441  61.79003559],1
d5,1,0.000458,12.278481,[69 33] ; [152  26],[80.50714286 21.49285714] ; [140.49285714  37.50714286],1
d3,1,0.005684,7.647967,[62 39] ; [137  41],[72.03942652 28.96057348] ; [126.96057348  51.03942652],0
r1,1,0.027738,4.844261,[68 33] ; [141  37],[75.65949821 25.34050179] ; [133.34050179  44.65949821],0
n5,1,0.029746,4.723933,[54 48] ; [117  60],[62.51612903 39.48387097] ; [108.48387097  68.51612903],0
d4,1,0.053075,3.741548,[77 25] ; [151  27],[83.05714286 18.94285714] ; [144.94285714  33.05714286],0
p5,1,0.056271,3.64403,[  1 100] ; [ 10 168],[ 3.98207885 97.01792115] ; [  7.01792115 170.98207885],0
s5,1,0.08615,2.944874,[18 82] ; [ 46 123],[23.79182156 76.20817844] ; [ 40.20817844 128.79182156],0
r4,1,0.088269,2.905657,[79 23] ; [153  26],[84.21352313 17.78647687] ; [147.78647687  31.21352313],0
v2,1,0.093497,2.813106,[44 52] ; [95 73],[50.54545455 45.45454545] ; [88.45454545 79.54545455],0
a8,1,0.108123,2.581444,[11 86] ; [ 31 133],[15.6091954 81.3908046] ; [ 26.3908046 137.6091954],0
s1,1,0.117539,2.449814,[ 6 95] ; [  4 171],[ 3.65942029 97.34057971] ; [  6.34057971 168.65942029],0
b5,1,0.122154,2.389482,[62 40] ; [125  54],[67.87900356 34.12099644] ; [119.12099644  59.87900356],0
s7,1,0.127742,2.319736,[30 69] ; [ 68 104],[35.80073801 63.19926199] ; [ 62.19926199 109.80073801],0
p9,1,0.128337,2.312505,[71 27] ; [140  34],[76.02205882 21.97794118] ; [134.97794118  39.02205882],0
p6,1,0.163996,1.936991,[19 79] ; [ 23 153],[15.02189781 82.97810219] ; [ 26.97810219 149.02189781],0
v1,1,0.16611,1.917707,[35 64] ; [76 97],[40.40073529 58.59926471] ; [ 70.59926471 102.40073529],0
n3,1,0.169935,1.883519,[23  6] ; [35 19],[20.26506024  8.73493976] ; [37.73493976 16.26506024],0
s4,1,0.205092,1.605739,[19 83] ; [ 23 154],[15.35483871 86.64516129] ; [ 26.64516129 150.35483871],0
n6,1,0.212533,1.554086,[71 31] ; [136  42],[75.40714286 26.59285714] ; [131.59285714  46.40714286],0
p12,1,0.264695,1.244037,[  2 100] ; [  8 168],[ 3.66906475 98.33093525] ; [  6.33093525 169.66906475],0
a1,1,0.275071,1.191283,[  2 100] ; [  8 171],[ 3.62989324 98.37010676] ; [  6.37010676 172.62989324],0
s8,1,0.314105,1.013336,[29 73] ; [ 61 117],[32.78571429 69.21428571] ; [ 57.21428571 120.78571429],0
