Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000822,11.190687,[4 9] ; [30  7],[8.84 4.16] ; [25.16 11.84],1
d3,1,0.001583,9.97921,[ 3 10] ; [27 10],[7.8 5.2] ; [22.2 14.8],0
n5,1,0.006841,7.314286,[11  1] ; [17 19],[7. 5.] ; [21. 15.],0
p3,1,0.007608,7.123416,[ 1 12] ; [17 17],[4.9787234 8.0212766] ; [13.0212766 20.9787234],0
s6,1,0.018705,5.528903,[ 3 10] ; [22 14],[6.63265306 6.36734694] ; [18.36734694 17.63265306],0
a3,1,0.02918,4.756955,[6 7] ; [29  8],[9.1 3.9] ; [25.9 11.1],0
s3,1,0.030535,4.678933,[ 2 11] ; [17 17],[5.25531915 7.74468085] ; [13.74468085 20.25531915],0
s2,1,0.062472,3.470514,[ 2 11] ; [16 20],[4.7755102 8.2244898] ; [13.2244898 22.7755102],0
s7,1,0.090317,2.868711,[ 2 10] ; [15 19],[4.43478261 7.56521739] ; [12.56521739 21.43478261],0
p1,1,0.097666,2.743251,[ 2 11] ; [ 1 36],[ 0.78 12.22] ; [ 2.22 34.78],0
a6,1,0.106948,2.598753,[4 9] ; [21 16],[6.5 6.5] ; [18.5 18.5],0
a4,1,0.10806,2.582366,[ 3 10] ; [18 19],[5.46 7.54] ; [15.54 21.46],0
v4,1,0.114632,2.489177,[5 6] ; [25 10],[7.17391304 3.82608696] ; [22.82608696 12.17391304],0
n1,1,0.151494,2.057143,[4 2] ; [ 6 12],[2.5 3.5] ; [ 7.5 10.5],0
v3,1,0.174149,1.846864,[ 2 10] ; [14 23],[3.91836735 8.08163265] ; [12.08163265 24.91836735],0
p2,1,0.174567,1.843277,[7 6] ; [26  9],[8.9375 4.0625] ; [24.0625 10.9375],0
r3,1,0.183501,1.769042,[5 6] ; [25 12],[6.875 4.125] ; [23.125 13.875],0
p10,1,0.184393,1.761858,[10  3] ; [19 15],[8.0212766 4.9787234] ; [20.9787234 13.0212766],0
d2,1,0.197528,1.660554,[ 3 10] ; [16 21],[4.94 8.06] ; [14.06 22.94],0
r1,1,0.208209,1.583838,[ 2 10] ; [13 23],[3.75 8.25] ; [11.25 24.75],0
a7,1,0.212132,1.556817,[4 8] ; [20 17],[5.87755102 6.12244898] ; [18.12244898 18.87755102],0
p9,1,0.219492,1.507692,[11  2] ; [24 12],[9.28571429 3.71428571] ; [25.71428571 10.28571429],0
a5,1,0.236167,1.403326,[6 7] ; [24 13],[7.8 5.2] ; [22.2 14.8],0
n6,1,0.27031,1.215171,[5 7] ; [21 14],[6.63829787 5.36170213] ; [19.36170213 15.63829787],0
u2,1,0.280087,1.166667,[3 4] ; [5 2],[4. 3.] ; [4. 3.],0
a2,1,0.342209,0.902138,[ 1 12] ; [ 7 30],[ 2.08 10.92] ; [ 5.92 31.08],0
b2,1,0.360789,0.835146,[4 4] ; [ 7 15],[2.93333333 5.06666667] ; [ 8.06666667 13.93333333],0
b3,1,0.360789,0.835146,[4 4] ; [ 7 15],[2.93333333 5.06666667] ; [ 8.06666667 13.93333333],0
u1,1,0.451873,0.565951,[ 2 11] ; [ 3 34],[ 1.3 11.7] ; [ 3.7 33.3],0
b5,1,0.509358,0.435385,[6 7] ; [21 16],[7.02 5.98] ; [19.98 17.02],0
n4,1,0.543891,0.368375,[8 4] ; [21 16],[7.10204082 4.89795918] ; [21.89795918 15.10204082],0
p5,1,0.559084,0.341292,[ 1 12] ; [ 5 31],[ 1.59183673 11.40816327] ; [ 4.40816327 31.59183673],0
p7,1,0.559378,0.340782,[5 7] ; [18 17],[5.87234043 6.12765957] ; [17.12765957 17.87234043],0
s1,1,0.590759,0.289161,[ 2 10] ; [ 4 33],[ 1.46938776 10.53061224] ; [ 4.53061224 32.46938776],0
v2,1,0.614295,0.253968,[6 6] ; [21 15],[6.75 5.25] ; [20.25 15.75],0
b4,1,0.623808,0.240551,[7 6] ; [17 20],[6.24 6.76] ; [17.76 19.24],0
s8,1,0.645828,0.2112,[ 3 10] ; [11 26],[3.64 9.36] ; [10.36 26.64],0
b1,1,0.693023,0.155833,[8 5] ; [25 12],[8.58 4.42] ; [24.42 12.58],0
r2,1,0.702809,0.145566,[7 4] ; [20 15],[6.45652174 4.54347826] ; [20.54347826 14.45652174],0
p4,1,0.708678,0.139601,[5 8] ; [16 20],[5.57142857 7.42857143] ; [15.42857143 20.57142857],0
s4,1,0.74714,0.10395,[ 1 12] ; [ 4 33],[ 1.3 11.7] ; [ 3.7 33.3],0
a1,1,0.74714,0.10395,[ 1 12] ; [ 4 33],[ 1.3 11.7] ; [ 3.7 33.3],0
p11,1,0.763803,0.090295,[8 5] ; [21 16],[7.54 5.46] ; [21.46 15.54],0
u3,1,0.782055,0.076531,[4 3] ; [4 4],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
p8,1,0.865811,0.028555,[4 9] ; [12 24],[4.24489796 8.75510204] ; [11.75510204 24.24489796],0
p6,1,0.973855,0.001074,[ 3 10] ; [ 8 26],[3.04255319 9.95744681] ; [ 7.95744681 26.04255319],0
