Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.892286,[1 6] ; [87  8],[6.03921569 0.96078431] ; [81.96078431 13.03921569],1
p2,1,0.000682,11.537774,[2 5] ; [77 16],[5.53 1.47] ; [73.47 19.53],1
r3,1,0.001004,10.820956,[4 3] ; [89  6],[6.38235294 0.61764706] ; [86.61764706  8.38235294],0
r2,1,0.001266,10.391925,[4 3] ; [86  6],[6.36363636 0.63636364] ; [83.63636364  8.36363636],0
d5,1,0.004835,7.940255,[3 4] ; [80 14],[5.75247525 1.24752475] ; [77.24752475 16.75247525],0
p10,1,0.010848,6.490015,[3 4] ; [77 16],[5.6 1.4] ; [74.4 18.6],0
r1,1,0.017731,5.62255,[3 4] ; [77 18],[5.49019608 1.50980392] ; [74.50980392 20.49019608],0
n6,1,0.020295,5.386349,[4 3] ; [84 11],[6.03921569 0.96078431] ; [81.96078431 13.03921569],0
n5,1,0.029323,4.74854,[4 3] ; [83 12],[5.97058824 1.02941176] ; [81.02941176 13.97058824],0
p11,1,0.029823,4.719491,[3 4] ; [75 20],[5.35294118 1.64705882] ; [72.64705882 22.35294118],0
d1,1,0.044183,4.049559,[1 6] ; [51 44],[3.56862745 3.43137255] ; [48.43137255 46.56862745],0
p7,1,0.065657,3.388393,[3 4] ; [69 23],[5.09090909 1.90909091] ; [66.90909091 25.09090909],0
p9,1,0.09153,2.847252,[4 3] ; [78 16],[5.68316832 1.31683168] ; [76.31683168 17.68316832],0
n4,1,0.115931,2.47145,[5 2] ; [86  9],[6.24509804 0.75490196] ; [84.75490196 10.24509804],0
v2,1,0.12095,2.404974,[3 4] ; [66 27],[4.83 2.17] ; [64.17 28.83],0
s5,1,0.196797,1.665985,[1 6] ; [36 57],[2.59 4.41] ; [34.41 58.59],0
s1,1,0.233458,1.419667,[1 6] ; [ 4 91],[0.34313725 6.65686275] ; [ 4.65686275 90.34313725],0
a2,1,0.233458,1.419667,[1 6] ; [ 4 91],[0.34313725 6.65686275] ; [ 4.65686275 90.34313725],0
d2,1,0.240024,1.380451,[2 5] ; [49 46],[3.5 3.5] ; [47.5 47.5],0
p12,1,0.242445,1.366319,[1 6] ; [ 4 89],[0.35 6.65] ; [ 4.65 88.35],0
s8,1,0.314109,1.01332,[3 4] ; [59 36],[4.25490196 2.74509804] ; [57.74509804 37.25490196],0
p4,1,0.31879,0.993902,[3 4] ; [57 35],[4.24242424 2.75757576] ; [55.75757576 36.24242424],0
d3,1,0.335611,0.927124,[2 5] ; [45 50],[3.2254902 3.7745098] ; [43.7745098 51.2254902],0
n2,1,0.393769,0.727273,[1 1] ; [17  5],[1.5 0.5] ; [16.5  5.5],0
p1,1,0.420864,0.647901,[1 6] ; [ 6 89],[0.48039216 6.51960784] ; [ 6.51960784 88.48039216],0
s2,1,0.450714,0.568855,[5 2] ; [54 41],[4.04901961 2.95098039] ; [54.95098039 40.04901961],0
p3,1,0.455398,0.557182,[5 2] ; [53 40],[4.06 2.94] ; [53.94 39.06],0
s6,1,0.481827,0.494726,[4 3] ; [65 28],[4.83 2.17] ; [64.17 28.83],0
p8,1,0.499087,0.456876,[3 4] ; [51 40],[3.85714286 3.14285714] ; [50.14285714 40.85714286],0
s7,1,0.499941,0.455061,[3 3] ; [58 33],[3.77319588 2.22680412] ; [57.22680412 33.77319588],0
v1,1,0.536485,0.382094,[4 3] ; [63 29],[4.73737374 2.26262626] ; [62.26262626 29.73737374],0
p6,1,0.543258,0.369535,[2 5] ; [37 55],[2.75757576 4.24242424] ; [36.24242424 55.75757576],0
a5,1,0.550227,0.356912,[6 1] ; [72 23],[5.35294118 1.64705882] ; [72.64705882 22.35294118],0
a4,1,0.585633,0.297216,[2 5] ; [37 58],[2.67647059 4.32352941] ; [36.32352941 58.67647059],0
a3,1,0.588323,0.292971,[5 2] ; [76 19],[5.55882353 1.44117647] ; [75.44117647 19.55882353],0
d4,1,0.75077,0.100885,[6 1] ; [76 18],[5.68316832 1.31683168] ; [76.31683168 17.68316832],0
a1,1,0.756967,0.095769,[1 6] ; [10 85],[0.75490196 6.24509804] ; [10.24509804 84.75490196],0
p5,1,0.799956,0.064213,[1 6] ; [17 77],[1.24752475 5.75247525] ; [16.75247525 77.24752475],0
b4,1,0.817488,0.053258,[4 3] ; [50 45],[3.70588235 3.29411765] ; [50.29411765 44.70588235],0
s3,1,0.85525,0.033278,[4 3] ; [57 37],[4.22772277 2.77227723] ; [56.77227723 37.22772277],0
b1,1,0.859376,0.031389,[3 4] ; [44 51],[3.2254902 3.7745098] ; [43.7745098 51.2254902],0
b3,1,0.903312,0.014757,[2 2] ; [30 34],[1.88235294 2.11764706] ; [30.11764706 33.88235294],0
b2,1,0.903312,0.014757,[2 2] ; [30 34],[1.88235294 2.11764706] ; [30.11764706 33.88235294],0
s4,1,0.915916,0.011147,[1 6] ; [15 80],[1.09803922 5.90196078] ; [14.90196078 80.09803922],0
a6,1,0.925411,0.008765,[3 4] ; [39 56],[2.88235294 4.11764706] ; [39.11764706 55.88235294],0
u2,1,0.943494,0.005024,[1 1] ; [10  9],[1.04761905 0.95238095] ; [9.95238095 9.04761905],0
b5,1,0.968988,0.001511,[3 4] ; [40 55],[2.95098039 4.04901961] ; [40.04901961 54.95098039],0
