Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,30.232785,[ 54 240] ; [20 13],[ 66.53211009 227.46788991] ; [ 7.46788991 25.53211009],1
p12,1,4.2e-05,16.765784,[  8 288] ; [ 6 28],[ 12.55757576 283.44242424] ; [ 1.44242424 32.55757576],1
p3,1,0.000336,12.856395,[134 163] ; [27  8],[144.02710843 152.97289157] ; [16.97289157 18.02710843],1
v3,1,0.007658,7.111835,[ 91 199] ; [18 15],[ 97.86377709 192.13622291] ; [11.13622291 21.86377709],0
p10,1,0.008869,6.849029,[232  63] ; [34  1],[237.78787879  57.21212121] ; [28.21212121  6.78787879],0
b3,1,0.010678,6.518138,[ 53 114] ; [14 10],[ 58.58115183 108.41884817] ; [ 8.41884817 15.58115183],0
b2,1,0.010678,6.518138,[ 53 114] ; [14 10],[ 58.58115183 108.41884817] ; [ 8.41884817 15.58115183],0
s7,1,0.01591,5.812773,[ 78 205] ; [15 16],[ 83.81847134 199.18152866] ; [ 9.18152866 21.81847134],0
p7,1,0.017647,5.630819,[184 110] ; [29  6],[190.34042553 103.65957447] ; [22.65957447 12.34042553],0
p8,1,0.022256,5.225646,[154 137] ; [25  9],[160.27384615 130.72615385] ; [18.72615385 15.27384615],0
p1,1,0.023179,5.155074,[ 19 277] ; [ 6 29],[ 22.35649547 273.64350453] ; [ 2.64350453 32.35649547],0
p4,1,0.023369,5.140846,[170 127] ; [27  8],[176.23192771 120.76807229] ; [20.76807229 14.23192771],0
a1,1,0.041899,4.13926,[  7 290] ; [ 3 32],[  8.94578313 288.05421687] ; [ 1.05421687 33.94578313],0
a5,1,0.055882,3.655562,[209  88] ; [30  5],[213.80421687  83.19578313] ; [25.19578313  9.80421687],0
r2,1,0.057406,3.610794,[266  28] ; [28  7],[262.72340426  31.27659574] ; [31.27659574  3.72340426],0
u3,1,0.072405,3.22763,[47 54] ; [7 2],[49.58181818 51.41818182] ; [4.41818182 4.58181818],0
s8,1,0.072816,3.218383,[ 71 224] ; [13 21],[ 75.31914894 219.68085106] ; [ 8.68085106 25.31914894],0
p11,1,0.08273,3.010441,[235  62] ; [32  3],[238.85240964  58.14759036] ; [28.14759036  6.85240964],0
s6,1,0.109562,2.560521,[127 168] ; [18 13],[131.21165644 163.78834356] ; [13.78834356 17.21165644],0
u2,1,0.129606,2.297219,[52 49] ; [7 2],[54.17272727 46.82727273] ; [4.82727273 4.17272727],0
b5,1,0.135571,2.227529,[191 106] ; [18 17],[186.96686747 110.03313253] ; [22.03313253 12.96686747],0
n4,1,0.172346,1.862417,[214  83] ; [29  6],[217.38253012  79.61746988] ; [25.61746988  9.38253012],0
p6,1,0.180244,1.795608,[100 192] ; [16 19],[103.58409786 188.41590214] ; [12.41590214 22.58409786],0
v1,1,0.190166,1.716333,[162 134] ; [22 11],[165.54407295 130.45592705] ; [18.45592705 14.54407295],0
v2,1,0.192809,1.696021,[160 132] ; [22 11],[163.52 128.48] ; [18.48 14.52],0
r3,1,0.19418,1.685613,[278  17] ; [31  4],[276.22727273  18.77272727] ; [32.77272727  2.22727273],0
b4,1,0.208325,1.583029,[162 135] ; [23 12],[165.49698795 131.50301205] ; [19.50301205 15.49698795],0
n5,1,0.220325,1.502252,[206  88] ; [28  7],[209.10638298  84.89361702] ; [24.89361702 10.10638298],0
b1,1,0.228362,1.451033,[105 192] ; [16 19],[108.2439759 188.7560241] ; [12.7560241 22.2439759],0
d3,1,0.271702,1.208136,[204  91] ; [21 14],[201.13636364  93.86363636] ; [23.86363636 11.13636364],0
n3,1,0.317214,1.000398,[53 23] ; [3 3],[51.90243902 24.09756098] ; [4.09756098 1.90243902],0
a3,1,0.318024,0.997056,[195 101] ; [26  9],[197.63141994  98.36858006] ; [23.36858006 11.63141994],0
n6,1,0.383256,0.760231,[245  51] ; [31  4],[246.81570997  49.18429003] ; [29.18429003  5.81570997],0
s4,1,0.392251,0.731953,[ 31 263] ; [ 2 32],[ 29.57926829 264.42073171] ; [ 3.42073171 30.57926829],0
d5,1,0.442389,0.590077,[244  52] ; [27  8],[242.34441088  53.65558912] ; [28.65558912  6.34441088],0
d4,1,0.568463,0.325261,[233  63] ; [29  6],[234.29607251  61.70392749] ; [27.70392749  7.29607251],0
d1,1,0.577849,0.309725,[159 138] ; [17 18],[157.44578313 139.55421687] ; [18.55421687 16.44578313],0
a8,1,0.600962,0.273547,[ 34 228] ; [ 3 28],[ 33.08532423 228.91467577] ; [ 3.91467577 27.08532423],0
u1,1,0.632961,0.228067,[ 42 255] ; [ 6 29],[ 42.93975904 254.06024096] ; [ 5.06024096 29.93975904],0
a2,1,0.667985,0.183968,[ 60 237] ; [ 6 29],[ 59.04216867 237.95783133] ; [ 6.95783133 28.04216867],0
r1,1,0.716615,0.131759,[228  68] ; [26  9],[227.14199396  68.85800604] ; [26.85800604  8.14199396],0
r4,1,0.736444,0.113277,[257  40] ; [31  4],[257.63855422  39.36144578] ; [30.36144578  4.63855422],0
a7,1,0.753872,0.098306,[218  77] ; [25 10],[217.22727273  77.77272727] ; [25.77272727  9.22727273],0
v4,1,0.793793,0.068324,[283  14] ; [33  2],[282.68674699  14.31325301] ; [33.31325301  1.68674699],0
n1,1,0.929156,0.007904,[24 52] ; [2 4],[24.09756098 51.90243902] ; [1.90243902 4.09756098],0
