Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-06,23.108925,[49 20] ; [55 97],[32.47058824 36.52941176] ; [71.52941176 80.47058824],1
s8,1,2.6e-05,17.693505,[26 45] ; [ 19 134],[14.26339286 56.73660714] ; [ 30.73660714 122.26339286],1
v1,1,0.000794,11.254786,[39 30] ; [ 50 103],[27.66216216 41.33783784] ; [61.33783784 91.66216216],1
s7,1,0.003395,8.581925,[25 43] ; [ 27 120],[16.44651163 51.55348837] ; [ 35.55348837 111.44651163],0
p10,1,0.005795,7.613009,[51 19] ; [81 71],[41.62162162 28.37837838] ; [90.37837838 61.62162162],0
s2,1,0.008293,6.968992,[15 56] ; [ 13 139],[ 8.91479821 62.08520179] ; [ 19.08520179 132.91479821],0
n6,1,0.013141,6.150031,[61 10] ; [108  45],[53.56696429 17.43303571] ; [115.43303571  37.56696429],0
r2,1,0.015192,5.894109,[66  5] ; [122  30],[59.85650224 11.14349776] ; [128.14349776  23.85650224],0
r1,1,0.017177,5.678233,[54 17] ; [92 62],[46.07111111 24.92888889] ; [99.92888889 54.07111111],0
d4,1,0.026024,4.95441,[60 10] ; [111  43],[53.4375 16.5625] ; [117.5625  36.4375],0
r4,1,0.035064,4.442067,[58 13] ; [105  49],[51.43555556 19.56444444] ; [111.56444444  42.43555556],0
v4,1,0.035964,4.398795,[65  6] ; [124  30],[59.64 11.36] ; [129.36  24.64],0
n4,1,0.042489,4.115603,[54 17] ; [96 58],[47.33333333 23.66666667] ; [102.66666667  51.33333333],0
s6,1,0.046548,3.961636,[34 37] ; [ 52 101],[27.25892857 43.74107143] ; [58.74107143 94.25892857],0
a7,1,0.049765,3.849367,[52 18] ; [93 60],[45.51569507 24.48430493] ; [99.48430493 53.51569507],0
d3,1,0.062896,3.459334,[49 22] ; [85 67],[42.66367713 28.33632287] ; [91.33632287 60.66367713],0
n5,1,0.064443,3.419177,[52 19] ; [92 60],[45.84753363 25.15246637] ; [98.15246637 53.84753363],0
p3,1,0.070846,3.263305,[26 44] ; [ 39 115],[20.3125 49.6875] ; [ 44.6875 109.3125],0
p9,1,0.093692,2.809759,[52 19] ; [92 57],[46.47272727 24.52727273] ; [97.52727273 51.47272727],0
