Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.001158,10.556519,[ 5 14] ; [31 13],[10.85714286  8.14285714] ; [25.14285714 18.85714286],0
s5,1,0.001475,10.110125,[ 2 15] ; [24 18],[7.49152542 9.50847458] ; [18.50847458 23.49152542],0
r1,1,0.002194,9.379961,[11  8] ; [40  4],[15.38095238  3.61904762] ; [35.61904762  8.38095238],0
r4,1,0.0031,8.747793,[13  6] ; [42  2],[16.58730159  2.41269841] ; [38.41269841  5.58730159],0
s8,1,0.003311,8.627449,[ 4 15] ; [27 17],[9.34920635 9.65079365] ; [21.65079365 22.34920635],0
p4,1,0.003888,8.335426,[ 7 12] ; [33 11],[12.06349206  6.93650794] ; [27.93650794 16.06349206],0
s2,1,0.003888,8.335426,[ 7 12] ; [33 11],[12.06349206  6.93650794] ; [27.93650794 16.06349206],0
b5,1,0.004665,8.004985,[18  1] ; [26 18],[13.26984127  5.73015873] ; [30.73015873 13.26984127],0
d2,1,0.006576,7.385167,[ 8 11] ; [34 10],[12.66666667  6.33333333] ; [29.33333333 14.66666667],0
d1,1,0.011951,6.318196,[ 8 11] ; [33 11],[12.36507937  6.63492063] ; [28.63492063 15.36507937],0
v2,1,0.012324,6.26359,[ 7 12] ; [31 13],[11.46031746  7.53968254] ; [26.53968254 17.46031746],0
s7,1,0.015236,5.88895,[8 9] ; [31  8],[11.83928571  5.16071429] ; [27.16071429 11.83928571],0
a3,1,0.019997,5.41219,[9 9] ; [35  9],[12.77419355  5.22580645] ; [31.22580645 12.77419355],0
d5,1,0.026613,4.915719,[11  7] ; [38  6],[14.22580645  3.77419355] ; [34.77419355  9.22580645],0
b1,1,0.029822,4.719519,[ 6 13] ; [27 17],[9.95238095 9.04761905] ; [23.04761905 20.95238095],0
d4,1,0.036719,4.363393,[12  7] ; [38  6],[15.07936508  3.92063492] ; [34.92063492  9.07936508],0
a5,1,0.050485,3.825273,[10  9] ; [34 10],[13.26984127  5.73015873] ; [30.73015873 13.26984127],0
b4,1,0.104634,2.633449,[ 7 12] ; [26 18],[9.95238095 9.04761905] ; [23.04761905 20.95238095],0
n4,1,0.110495,2.547129,[12  7] ; [36  8],[14.47619048  4.52380952] ; [33.52380952 10.47619048],0
v1,1,0.130425,2.287439,[ 6 13] ; [23 21],[ 8.74603175 10.25396825] ; [20.25396825 23.74603175],0
r3,1,0.137564,2.204995,[16  3] ; [41  2],[17.46774194  1.53225806] ; [39.53225806  3.46774194],0
p3,1,0.167432,1.905786,[ 9 10] ; [29 15],[11.46031746  7.53968254] ; [26.53968254 17.46031746],0
a6,1,0.174215,1.846292,[15  4] ; [27 17],[12.66666667  6.33333333] ; [29.33333333 14.66666667],0
p10,1,0.174563,1.843317,[11  8] ; [33 11],[13.26984127  5.73015873] ; [30.73015873 13.26984127],0
u3,1,0.210096,1.570767,[5 5] ; [7 2],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
a4,1,0.214452,1.541111,[ 8 11] ; [26 18],[10.25396825  8.74603175] ; [23.74603175 20.25396825],0
p9,1,0.240444,1.37799,[13  6] ; [36  8],[14.77777778  4.22222222] ; [34.22222222  9.77777778],0
p7,1,0.268923,1.222233,[12  7] ; [33 10],[13.79032258  5.20967742] ; [31.20967742 11.79032258],0
u1,1,0.300724,1.070979,[ 4 15] ; [15 29],[ 5.73015873 13.26984127] ; [13.26984127 30.73015873],0
v3,1,0.369874,0.804088,[ 5 14] ; [16 26],[ 6.54098361 12.45901639] ; [14.45901639 27.54098361],0
r2,1,0.506643,0.440993,[17  1] ; [43  1],[17.41935484  0.58064516] ; [42.58064516  1.41935484],0
p2,1,0.532294,0.390011,[16  3] ; [34 10],[15.07936508  3.92063492] ; [34.92063492  9.07936508],0
a2,1,0.542883,0.370222,[ 5 14] ; [15 29],[ 6.03174603 12.96825397] ; [13.96825397 30.03174603],0
d3,1,0.586734,0.295474,[12  5] ; [34 10],[12.81967213  4.18032787] ; [33.18032787 10.81967213],0
p8,1,0.60064,0.274032,[10  9] ; [20 24],[9.04761905 9.95238095] ; [20.95238095 23.04761905],0
v4,1,0.605964,0.266095,[18  1] ; [40  4],[17.49206349  1.50793651] ; [40.50793651  3.49206349],0
s1,1,0.605964,0.266095,[ 1 18] ; [ 4 40],[ 1.50793651 17.49206349] ; [ 3.49206349 40.50793651],0
n3,1,0.61209,0.257143,[3 1] ; [12  2],[3.33333333 0.66666667] ; [11.66666667  2.33333333],0
n6,1,0.640087,0.218628,[14  5] ; [34  9],[14.70967742  4.29032258] ; [33.29032258  9.70967742],0
a7,1,0.679952,0.17018,[14  4] ; [32 12],[13.35483871  4.64516129] ; [32.64516129 11.35483871],0
n2,1,0.6885,0.160714,[3 1] ; [9 5],[2.66666667 1.33333333] ; [9.33333333 4.66666667],0
a8,1,0.750922,0.100758,[ 1 13] ; [ 4 36],[ 1.2962963 12.7037037] ; [ 3.7037037 36.2962963],0
n5,1,0.769018,0.086236,[13  6] ; [31 12],[13.48387097  5.51612903] ; [30.51612903 12.48387097],0
n1,1,0.799846,0.064286,[2 2] ; [8 6],[2.22222222 1.77777778] ; [7.77777778 6.22222222],0
u2,1,0.875975,0.024359,[7 3] ; [6 3],[6.84210526 3.15789474] ; [6.15789474 2.84210526],0
b2,1,0.876438,0.024176,[3 4] ; [12 14],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
b3,1,0.876438,0.024176,[3 4] ; [12 14],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
s4,1,0.912317,0.012126,[ 5 14] ; [11 33],[ 4.82539683 14.17460317] ; [11.17460317 32.82539683],0
