Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.725932,[ 6 24] ; [46 21],[16.08247423 13.91752577] ; [35.91752577 31.08247423],1
d1,1,1.4e-05,18.821132,[ 1 30] ; [32 35],[10.43877551 20.56122449] ; [22.56122449 44.43877551],1
d5,1,3.9e-05,16.909633,[12 19] ; [54 13],[20.87755102 10.12244898] ; [45.12244898 21.87755102],1
r1,1,0.001861,9.682041,[12 19] ; [48 19],[18.97959184 12.02040816] ; [41.02040816 25.97959184],0
r3,1,0.002153,9.414576,[15 16] ; [53 14],[21.51020408  9.48979592] ; [46.48979592 20.51020408],0
n5,1,0.002366,9.241585,[20 11] ; [21 45],[13.10309278 17.89690722] ; [27.89690722 38.10309278],0
a7,1,0.004786,7.958447,[13 18] ; [48 19],[19.29591837 11.70408163] ; [41.70408163 25.29591837],0
a3,1,0.007222,7.216962,[14 16] ; [50 17],[19.79381443 10.20618557] ; [44.20618557 22.79381443],0
r4,1,0.007918,7.051895,[12 19] ; [45 22],[18.03061224 12.96938776] ; [38.96938776 28.03061224],0
p1,1,0.019063,5.49574,[ 6 25] ; [ 3 63],[ 2.87628866 28.12371134] ; [ 6.12371134 59.87628866],0
a6,1,0.026421,4.928269,[14 17] ; [46 21],[18.97959184 12.02040816] ; [41.02040816 25.97959184],0
a5,1,0.03852,4.281897,[13 18] ; [43 24],[17.71428571 13.28571429] ; [38.28571429 28.71428571],0
a1,1,0.050108,3.837848,[ 5 26] ; [ 3 64],[ 2.53061224 28.46938776] ; [ 5.46938776 61.53061224],0
p3,1,0.053662,3.723189,[ 4 27] ; [20 44],[ 7.83157895 23.16842105] ; [16.16842105 47.83157895],0
b4,1,0.054215,3.706065,[13 18] ; [42 25],[17.39795918 13.60204082] ; [37.60204082 29.39795918],0
p2,1,0.058571,3.577397,[12 19] ; [38 26],[16.31578947 14.68421053] ; [33.68421053 30.31578947],0
b3,1,0.100639,2.695392,[7 8] ; [ 9 29],[ 4.52830189 10.47169811] ; [11.47169811 26.52830189],0
b2,1,0.100639,2.695392,[7 8] ; [ 9 29],[ 4.52830189 10.47169811] ; [11.47169811 26.52830189],0
b5,1,0.100744,2.693729,[13 18] ; [40 27],[16.76530612 14.23469388] ; [36.23469388 30.76530612],0
v4,1,0.105381,2.622156,[18 12] ; [51 16],[21.34020619  8.65979381] ; [47.65979381 19.34020619],0
p9,1,0.110091,2.552917,[12 18] ; [38 28],[15.625 14.375] ; [34.375 31.625],0
s2,1,0.123151,2.37678,[ 3 28] ; [15 51],[ 5.75257732 25.24742268] ; [12.24742268 53.75257732],0
s8,1,0.164779,1.929808,[ 1 30] ; [ 8 59],[ 2.84693878 28.15306122] ; [ 6.15306122 60.84693878],0
u3,1,0.169327,1.888889,[ 6 11] ; [10  7],[8. 9.] ; [8. 9.],0
u2,1,0.169327,1.888889,[ 7 10] ; [11  6],[9. 8.] ; [9. 8.],0
a2,1,0.176169,1.82965,[ 2 29] ; [11 56],[ 4.1122449 26.8877551] ; [ 8.8877551 58.1122449],0
p10,1,0.200073,1.641843,[11 19] ; [33 32],[13.89473684 16.10526316] ; [30.10526316 34.89473684],0
s5,1,0.204424,1.610481,[ 1 30] ; [ 7 57],[ 2.61052632 28.38947368] ; [ 5.38947368 58.61052632],0
s3,1,0.205668,1.60166,[ 7 24] ; [23 42],[ 9.6875 21.3125] ; [20.3125 44.6875],0
d2,1,0.225649,1.46808,[ 9 22] ; [28 39],[11.70408163 19.29591837] ; [25.29591837 41.70408163],0
a4,1,0.240984,1.374828,[10 21] ; [30 37],[12.65306122 18.34693878] ; [27.34693878 39.65306122],0
s1,1,0.263227,1.251703,[ 4 27] ; [ 4 61],[ 2.58333333 28.41666667] ; [ 5.41666667 59.58333333],0
r2,1,0.290206,1.118668,[23  8] ; [55 11],[24.92783505  6.07216495] ; [53.07216495 12.92783505],0
v2,1,0.387254,0.747548,[ 8 20] ; [25 41],[ 9.82978723 18.17021277] ; [23.17021277 42.82978723],0
s4,1,0.403856,0.696814,[ 2 29] ; [ 8 59],[ 3.16326531 27.83673469] ; [ 6.83673469 60.16326531],0
n3,1,0.407434,0.686275,[12  6] ; [9 8],[10.8  7.2] ; [10.2  6.8],0
