Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,78.727531,[ 2 60] ; [184  98],[33.52325581 28.47674419] ; [152.47674419 129.52325581],1
d4,1,0.0,60.820571,[27 35] ; [247  35],[49.38372093 12.61627907] ; [224.61627907  57.38372093],1
d3,1,0.0,30.107006,[30 32] ; [229  52],[46.81632653 15.18367347] ; [212.18367347  68.81632653],1
d2,1,9e-06,19.735833,[10 52] ; [132 150],[25.59302326 36.40697674] ; [116.40697674 165.59302326],1
a5,1,0.00028,13.20122,[32 30] ; [211  71],[43.79651163 18.20348837] ; [199.20348837  82.79651163],1
a6,1,0.002741,8.972512,[39 23] ; [227  55],[47.94186047 14.05813953] ; [218.05813953  63.94186047],0
a4,1,0.00486,7.930661,[15 46] ; [124 157],[24.79239766 36.20760234] ; [114.20760234 166.79239766],0
a2,1,0.005187,7.813054,[ 6 56] ; [ 74 208],[14.41860465 47.58139535] ; [ 65.58139535 216.41860465],0
u1,1,0.010902,6.481218,[ 3 59] ; [ 50 232],[ 9.55232558 52.44767442] ; [ 43.44767442 238.55232558],0
a3,1,0.014493,5.977057,[33 27] ; [200  81],[40.99706745 19.00293255] ; [192.00293255  88.99706745],0
n4,1,0.046324,3.969789,[37 24] ; [207  75],[43.39358601 17.60641399] ; [200.60641399  81.39358601],0
n1,1,0.080723,3.050277,[9 7] ; [23 47],[ 5.95348837 10.04651163] ; [26.04651163 43.95348837],0
p4,1,0.085054,2.965577,[25 35] ; [152 130],[31.05263158 28.94736842] ; [145.94736842 136.05263158],0
n2,1,0.091148,2.853976,[14  3] ; [43 28],[11.01136364  5.98863636] ; [45.98863636 25.01136364],0
r4,1,0.112449,2.519466,[49 13] ; [245  37],[52.98837209  9.01162791] ; [241.01162791  40.98837209],0
s1,1,0.144551,2.128826,[ 3 58] ; [  5 274],[ 1.43529412 59.56470588] ; [  6.56470588 272.43529412],0
a8,1,0.156657,2.006206,[ 4 54] ; [ 34 214],[ 7.20261438 50.79738562] ; [ 30.79738562 217.20261438],0
n3,1,0.162537,1.950464,[14  3] ; [46 25],[11.59090909  5.40909091] ; [48.40909091 22.59090909],0
b5,1,0.168745,1.894059,[34 28] ; [181 101],[38.75 23.25] ; [176.25 105.75],0
p2,1,0.169708,1.885521,[45 17] ; [226  55],[48.98542274 13.01457726] ; [222.01457726  58.98542274],0
u3,1,0.179657,1.800459,[13 16] ; [48 33],[16.08181818 12.91818182] ; [44.91818182 36.08181818],0
n5,1,0.185686,1.751516,[36 25] ; [190  90],[40.42815249 20.57184751] ; [185.57184751  94.42815249],0
p3,1,0.18876,1.727273,[23 39] ; [130 151],[27.65597668 34.34402332] ; [125.34402332 155.65597668],0
s8,1,0.191267,1.707832,[11 50] ; [ 73 208],[14.98245614 46.01754386] ; [ 69.01754386 211.98245614],0
r1,1,0.196666,1.666962,[44 18] ; [220  60],[47.85964912 14.14035088] ; [216.14035088  63.85964912],0
r3,1,0.204923,1.606933,[54  7] ; [263  19],[56.37609329  4.62390671] ; [260.62390671  21.37609329],0
r2,1,0.256004,1.290239,[54  8] ; [254  23],[56.33038348  5.66961652] ; [251.66961652  25.33038348],0
p9,1,0.258197,1.278398,[43 17] ; [218  60],[46.33136095 13.66863905] ; [214.66863905  63.33136095],0
p5,1,0.266193,1.236262,[ 8 53] ; [ 24 257],[ 5.70760234 55.29239766] ; [ 26.29239766 254.70760234],0
v3,1,0.297723,1.084365,[25 36] ; [ 93 181],[21.48656716 39.51343284] ; [ 96.51343284 177.48656716],0
