Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.467335,[5 5] ; [290  25],[9.07692308 0.92307692] ; [285.92307692  29.07692308],1
r2,1,1.6e-05,18.562212,[6 3] ; [300  11],[8.60625 0.39375] ; [297.39375  13.60625],1
p11,1,0.012859,6.188382,[5 5] ; [257  58],[8.06153846 1.93846154] ; [253.93846154  61.06153846],0
b1,1,0.017492,5.646372,[7 3] ; [106 209],[3.47692308 6.52307692] ; [109.52307692 205.47692308],0
r1,1,0.026185,4.943793,[6 4] ; [268  45],[8.48297214 1.51702786] ; [265.51702786  47.48297214],0
p2,1,0.029432,4.742157,[6 4] ; [267  46],[8.45201238 1.54798762] ; [264.54798762  48.45201238],0
s3,1,0.076946,3.128253,[3 7] ; [179 129],[5.72327044 4.27672956] ; [176.27672956 131.72327044],0
p9,1,0.082329,3.018324,[7 3] ; [272  36],[8.77358491 1.22641509] ; [270.22641509  37.77358491],0
n3,1,0.124273,2.36263,[1 2] ; [43 15],[2.16393443 0.83606557] ; [41.83606557 16.16393443],0
p1,1,0.156793,2.004884,[2 8] ; [ 24 290],[0.80246914 9.19753086] ; [ 25.19753086 288.80246914],0
s8,1,0.175269,1.837293,[3 7] ; [161 150],[5.10903427 4.89096573] ; [158.89096573 152.10903427],0
v1,1,0.23617,1.403313,[5 5] ; [209  99],[6.72955975 3.27044025] ; [207.27044025 100.72955975],0
n1,1,0.238078,1.391941,[2 1] ; [19 38],[1.05 1.95] ; [19.95 37.05],0
n5,1,0.277866,1.177496,[9 1] ; [234  78],[7.54658385 2.45341615] ; [235.45341615  76.54658385],0
a6,1,0.280771,1.163352,[6 4] ; [235  78],[7.46130031 2.53869969] ; [233.53869969  79.46130031],0
b3,1,0.29523,1.095618,[2 7] ; [ 80 122],[3.49763033 5.50236967] ; [ 78.50236967 123.49763033],0
b2,1,0.29523,1.095618,[2 7] ; [ 80 122],[3.49763033 5.50236967] ; [ 78.50236967 123.49763033],0
p5,1,0.363583,0.825478,[2 8] ; [ 34 280],[1.11111111 8.88888889] ; [ 34.88888889 279.11111111],0
p8,1,0.377056,0.780279,[7 3] ; [170 134],[5.63694268 4.36305732] ; [171.36305732 132.63694268],0
p12,1,0.393951,0.726712,[2 8] ; [ 35 276],[1.15264798 8.84735202] ; [ 35.84735202 275.15264798],0
a4,1,0.424437,0.637998,[7 3] ; [180 134],[5.77160494 4.22839506] ; [181.22839506 132.77160494],0
v4,1,0.45299,0.563161,[9 1] ; [299  15],[9.50617284 0.49382716] ; [298.49382716  15.50617284],0
p7,1,0.463956,0.536333,[5 4] ; [205 100],[6.01910828 2.98089172] ; [203.98089172 101.01910828],0
p6,1,0.475898,0.508248,[5 5] ; [118 186],[3.91719745 6.08280255] ; [119.08280255 184.91719745],0
p4,1,0.477015,0.505679,[7 2] ; [206 104],[6.00940439 2.99059561] ; [206.99059561 103.00940439],0
a7,1,0.490956,0.474431,[7 3] ; [249  66],[7.87692308 2.12307692] ; [248.12307692  66.87692308],0
s6,1,0.513453,0.427023,[6 4] ; [216  94],[6.9375 3.0625] ; [215.0625  94.9375],0
d3,1,0.524089,0.405839,[8 2] ; [273  41],[8.67283951 1.32716049] ; [272.32716049  41.67283951],0
a3,1,0.550614,0.356219,[9 1] ; [260  54],[8.30246914 1.69753086] ; [260.69753086  53.30246914],0
v3,1,0.566175,0.329124,[5 5] ; [179 124],[5.87859425 4.12140575] ; [178.12140575 124.87859425],0
a5,1,0.590084,0.290214,[8 2] ; [271  44],[8.58461538 1.41538462] ; [270.41538462  44.58461538],0
s4,1,0.622944,0.241752,[2 8] ; [ 45 267],[1.45962733 8.54037267] ; [ 45.54037267 266.45962733],0
s2,1,0.642868,0.215011,[5 5] ; [179 133],[5.71428571 4.28571429] ; [178.28571429 133.71428571],0
p10,1,0.698661,0.149869,[8 2] ; [262  48],[8.4375 1.5625] ; [261.5625  48.4375],0
s7,1,0.707032,0.14126,[5 5] ; [168 132],[5.58064516 4.41935484] ; [167.41935484 132.58064516],0
d2,1,0.73349,0.115931,[7 3] ; [234  79],[7.46130031 2.53869969] ; [233.53869969  79.46130031],0
n6,1,0.748749,0.102585,[9 1] ; [269  42],[8.66043614 1.33956386] ; [269.33956386  41.66043614],0
p3,1,0.768758,0.086436,[6 4] ; [172 139],[5.54517134 4.45482866] ; [172.45482866 138.54517134],0
a2,1,0.788951,0.071649,[4 6] ; [113 202],[3.6 6.4] ; [113.4 201.6],0
n4,1,0.881554,0.022201,[8 2] ; [257  57],[8.17901235 1.82098765] ; [256.82098765  57.17901235],0
u1,1,0.886229,0.020471,[3 7] ; [ 88 227],[2.8 7.2] ; [ 88.2 226.8],0
b5,1,0.886571,0.020348,[6 4] ; [196 119],[6.21538462 3.78461538] ; [195.78461538 119.21538462],0
s5,1,0.90455,0.01438,[4 6] ; [114 185],[3.81877023 6.18122977] ; [114.18122977 184.81877023],0
b4,1,0.935331,0.006584,[6 4] ; [193 122],[6.12307692 3.87692308] ; [192.87692308 122.12307692],0
