Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00014,14.496229,[24 82] ; [45 48],[36.75376884 69.24623116] ; [32.24623116 60.75376884],1
r3,1,0.000339,12.84058,[84 25] ; [91  5],[93.04878049 15.95121951] ; [81.95121951 14.04878049],1
v1,1,0.000616,11.72691,[37 72] ; [56 41],[49.20873786 59.79126214] ; [43.79126214 53.20873786],1
s6,1,0.00062,11.714727,[56 52] ; [70 23],[67.70149254 40.29850746] ; [58.29850746 34.70149254],1
s2,1,0.002389,9.223686,[42 68] ; [57 39],[52.86407767 57.13592233] ; [46.13592233 49.86407767],0
a5,1,0.003439,8.558422,[64 46] ; [75 22],[73.8647343 36.1352657] ; [65.1352657 31.8647343],0
d4,1,0.008132,7.004187,[75 34] ; [82 15],[83.07281553 25.92718447] ; [73.92718447 23.07281553],0
a2,1,0.008826,6.857681,[19 91] ; [32 65],[27.10144928 82.89855072] ; [23.89855072 73.10144928],0
s8,1,0.009979,6.638587,[30 79] ; [43 53],[38.81463415 70.18536585] ; [34.18536585 61.81463415],0
p6,1,0.013215,6.14005,[26 84] ; [37 56],[34.13793103 75.86206897] ; [28.86206897 64.13793103],0
d5,1,0.013715,6.074468,[77 31] ; [83 14],[84.29268293 23.70731707] ; [75.70731707 21.29268293],0
s7,1,0.014302,6.000472,[37 65] ; [48 41],[45.39267016 56.60732984] ; [39.60732984 49.39267016],0
r1,1,0.016481,5.750817,[72 36] ; [79 18],[79.55121951 28.44878049] ; [71.44878049 25.55121951],0
d1,1,0.025722,4.974591,[51 59] ; [60 37],[58.98550725 51.01449275] ; [52.01449275 44.98550725],0
r4,1,0.036693,4.364601,[84 26] ; [85 12],[89.80676329 20.19323671] ; [79.19323671 17.80676329],0
p4,1,0.04351,4.075491,[42 67] ; [50 45],[49.15686275 59.84313725] ; [42.84313725 52.15686275],0
p10,1,0.04623,3.973191,[51 56] ; [58 36],[58.02487562 48.97512438] ; [50.97512438 43.02487562],0
p1,1,0.062818,3.461379,[14 96] ; [ 5 91],[10.14563107 99.85436893] ; [ 8.85436893 87.14563107],0
d3,1,0.063486,3.443879,[64 43] ; [70 27],[70.28431373 36.71568627] ; [63.71568627 33.28431373],0
p9,1,0.067394,3.345377,[60 46] ; [65 29],[66.25 39.75] ; [58.75 35.25],0
s5,1,0.075182,3.166102,[30 75] ; [37 54],[35.89285714 69.10714286] ; [31.10714286 59.89285714],0
a1,1,0.07589,3.1508,[ 10 100] ; [ 3 94],[  6.90821256 103.09178744] ; [ 6.09178744 90.90821256],0
u1,1,0.087451,2.920676,[14 96] ; [21 76],[18.59903382 91.40096618] ; [16.40096618 80.59903382],0
p5,1,0.104048,2.642376,[11 98] ; [ 4 92],[  7.97560976 101.02439024] ; [ 7.02439024 88.97560976],0
n6,1,0.114777,2.487184,[71 39] ; [71 24],[76.19512195 33.80487805] ; [65.80487805 29.19512195],0
a4,1,0.121083,2.403258,[44 64] ; [50 47],[49.52195122 58.47804878] ; [44.47804878 52.52195122],0
s1,1,0.150996,2.062155,[10 98] ; [ 4 92],[  7.41176471 100.58823529] ; [ 6.58823529 89.41176471],0
a6,1,0.181074,1.788787,[62 47] ; [64 33],[66.66990291 42.33009709] ; [59.33009709 37.66990291],0
p3,1,0.193019,1.694424,[38 71] ; [42 54],[42.53658537 66.46341463] ; [37.46341463 58.53658537],0
b1,1,0.198773,1.651367,[62 48] ; [46 51],[57.39130435 52.60869565] ; [50.60869565 46.39130435],0
v4,1,0.218281,1.51564,[95 15] ; [89  8],[97.77777778 12.22222222] ; [86.22222222 10.77777778],0
a3,1,0.239785,1.381857,[69 38] ; [70 27],[72.90686275 34.09313725] ; [66.09313725 30.90686275],0
p7,1,0.25799,1.279508,[47 62] ; [48 46],[51.00985222 57.99014778] ; [43.99014778 50.00985222],0
n5,1,0.272959,1.201815,[73 37] ; [56 39],[69.2195122 40.7804878] ; [59.7804878 35.2195122],0
n3,1,0.27499,1.191687,[28 17] ; [23  8],[30.19736842 14.80263158] ; [20.80263158 10.19736842],0
p2,1,0.351806,0.866933,[67 42] ; [65 31],[70.18536585 38.81463415] ; [61.81463415 34.18536585],0
n2,1,0.477517,0.504529,[32 16] ; [23  8],[33.41772152 14.58227848] ; [21.58227848  9.41772152],0
b4,1,0.481738,0.494925,[57 53] ; [55 42],[59.51690821 50.48309179] ; [52.48309179 44.51690821],0
n1,1,0.486699,0.483816,[23 23] ; [13 18],[21.50649351 24.49350649] ; [14.49350649 16.50649351],0
s3,1,0.52007,0.413755,[53 56] ; [51 45],[55.29756098 53.70243902] ; [48.70243902 47.29756098],0
b5,1,0.548495,0.36002,[67 43] ; [63 34],[69.0821256 40.9178744] ; [60.9178744 36.0821256],0
a8,1,0.599087,0.276375,[ 9 96] ; [ 9 74],[10.05319149 94.94680851] ; [ 7.94680851 75.05319149],0
d2,1,0.678178,0.172184,[57 51] ; [54 43],[58.47804878 49.52195122] ; [52.52195122 44.47804878],0
a7,1,0.700407,0.148049,[76 33] ; [70 27],[77.25242718 31.74757282] ; [68.74757282 28.25242718],0
n4,1,0.728977,0.120053,[69 40] ; [63 33],[70.18536585 38.81463415] ; [61.81463415 34.18536585],0
p12,1,0.773428,0.082883,[  3 107] ; [ 2 93],[  2.68292683 107.31707317] ; [ 2.31707317 92.68292683],0
s4,1,0.866001,0.028473,[23 87] ; [21 75],[23.49514563 86.50485437] ; [20.50485437 75.49514563],0
b2,1,0.874397,0.024988,[17 40] ; [15 33],[17.37142857 39.62857143] ; [14.62857143 33.37142857],0
