Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.5e-05,17.778739,[26 22] ; [132  26],[36.81553398 11.18446602] ; [121.18446602  36.81553398],1
d1,1,4e-05,16.872974,[18 30] ; [111  47],[30.05825243 17.94174757] ; [98.94174757 59.05825243],1
d2,1,0.000441,12.348886,[17 31] ; [100  56],[27.52941176 20.47058824] ; [89.47058824 66.52941176],1
r2,1,0.001138,10.587741,[38  9] ; [148   7],[43.27722772  3.72277228] ; [142.72277228  12.27722772],0
p3,1,0.00179,9.753085,[14 33] ; [87 69],[23.38423645 23.61576355] ; [77.61576355 78.38423645],0
d4,1,0.001844,9.698454,[35 13] ; [143  15],[41.47572816  6.52427184] ; [136.52427184  21.47572816],0
a4,1,0.002154,9.413505,[16 32] ; [92 65],[25.28780488 22.71219512] ; [82.71219512 74.28780488],0
n6,1,0.005557,7.688651,[32 15] ; [134  22],[38.43349754  8.56650246] ; [127.56650246  28.43349754],0
a6,1,0.009772,6.676023,[11 37] ; [69 89],[18.6407767 29.3592233] ; [61.3592233 96.6407767],0
s8,1,0.019701,5.438228,[16 32] ; [82 74],[23.05882353 24.94117647] ; [74.94117647 81.05882353],0
p9,1,0.026071,4.951275,[31 15] ; [128  27],[36.3880597  9.6119403] ; [122.6119403  32.3880597],0
b2,1,0.027503,4.858957,[ 7 20] ; [53 54],[12.08955224 14.91044776] ; [47.91044776 59.08955224],0
b3,1,0.027503,4.858957,[ 7 20] ; [53 54],[12.08955224 14.91044776] ; [47.91044776 59.08955224],0
p10,1,0.092293,2.83391,[31 15] ; [123  32],[35.24378109 10.75621891] ; [118.75621891  36.24378109],0
n5,1,0.104259,2.639148,[32 15] ; [124  32],[36.1182266 10.8817734] ; [119.8817734  36.1182266],0
r4,1,0.11702,2.456763,[36 12] ; [134  24],[39.61165049  8.38834951] ; [130.38834951  27.61165049],0
p2,1,0.1198,2.419939,[32 15] ; [121  32],[35.955 11.045] ; [117.045  35.955],0
u1,1,0.138515,2.194378,[ 1 47] ; [ 13 145],[ 3.26213592 44.73786408] ; [ 10.73786408 147.26213592],0
b5,1,0.146458,2.10876,[27 21] ; [70 88],[22.60194175 25.39805825] ; [74.39805825 83.60194175],0
s7,1,0.153716,2.034985,[20 24] ; [87 64],[24.14358974 19.85641026] ; [82.85641026 68.14358974],0
a1,1,0.169026,1.891563,[ 1 47] ; [ 12 146],[ 3.02912621 44.97087379] ; [  9.97087379 148.02912621],0
n3,1,0.170864,1.875349,[10  8] ; [33 12],[12.28571429  5.71428571] ; [30.71428571 14.28571429],0
r1,1,0.200308,1.640125,[32 16] ; [120  38],[35.41747573 12.58252427] ; [116.58252427  41.41747573],0
n4,1,0.203144,1.619624,[35 13] ; [127  29],[38.11764706  9.88235294] ; [123.88235294  32.11764706],0
v3,1,0.210143,1.570444,[16 31] ; [67 84],[19.7020202 27.2979798] ; [63.2979798 87.7020202],0
p11,1,0.231196,1.433485,[34 14] ; [125  33],[37.04854369 10.95145631] ; [121.95145631  36.04854369],0
s5,1,0.231649,1.430707,[15 30] ; [65 85],[18.46153846 26.53846154] ; [61.53846154 88.46153846],0
u2,1,0.301742,1.066479,[13  9] ; [11 14],[11.23404255 10.76595745] ; [12.76595745 12.23404255],0
v1,1,0.373671,0.791422,[23 25] ; [84 68],[25.68 22.32] ; [81.32 70.68],0
r3,1,0.377632,0.778396,[42  6] ; [144  13],[43.55121951  4.44878049] ; [142.44878049  14.55121951],0
u3,1,0.397752,0.715111,[12 10] ; [11 15],[10.54166667 11.45833333] ; [12.45833333 13.54166667],0
p1,1,0.409212,0.68109,[ 4 44] ; [  8 148],[ 2.82352941 45.17647059] ; [  9.17647059 146.82352941],0
p7,1,0.491504,0.473231,[27 18] ; [101  53],[28.94472362 16.05527638] ; [99.05527638 54.94472362],0
s3,1,0.538265,0.378765,[28 19] ; [85 71],[26.16256158 20.83743842] ; [86.83743842 69.16256158],0
s6,1,0.543615,0.36888,[28 17] ; [102  50],[29.69543147 15.30456853] ; [100.30456853  51.69543147],0
p8,1,0.562814,0.334855,[20 27] ; [72 80],[21.72864322 25.27135678] ; [70.27135678 81.72864322],0
s4,1,0.577352,0.310535,[11 37] ; [ 30 126],[ 9.64705882 38.35294118] ; [ 31.35294118 124.64705882],0
p6,1,0.60596,0.2661,[19 27] ; [56 95],[17.51269036 28.48730964] ; [57.48730964 93.51269036],0
