Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,49.090798,[36 83] ; [163  72],[66.89548023 52.10451977] ; [132.10451977 102.89548023],1
a6,1,0.0,32.888452,[53 66] ; [177  58],[77.31638418 41.68361582] ; [152.68361582  82.31638418],1
d5,1,4.1e-05,16.832138,[71 48] ; [189  47],[87.15492958 31.84507042] ; [172.84507042  63.15492958],1
a2,1,8.7e-05,15.399821,[  9 110] ; [ 59 178],[22.73033708 96.26966292] ; [ 45.26966292 191.73033708],1
d1,1,0.001872,9.671104,[43 76] ; [127 110],[56.8258427 62.1741573] ; [113.1741573 123.8258427],0
r3,1,0.002001,9.548818,[96 23] ; [216  19],[104.88135593  14.11864407] ; [207.11864407  27.88135593],0
u1,1,0.002186,9.386495,[  5 114] ; [ 36 201],[ 13.70505618 105.29494382] ; [ 27.29494382 209.70505618],0
u3,1,0.005668,7.652971,[13 33] ; [40 34],[20.31666667 25.68333333] ; [32.68333333 41.31666667],0
d4,1,0.00596,7.562219,[80 38] ; [191  45],[90.33333333 27.66666667] ; [180.66666667  55.33333333],0
p10,1,0.00728,7.202597,[66 51] ; [165  68],[77.22 39.78] ; [153.78  79.22],0
r4,1,0.008515,6.921796,[84 35] ; [196  41],[93.59550562 25.40449438] ; [186.40449438  50.59550562],0
r1,1,0.0106,6.531256,[77 42] ; [182  53],[87.06497175 31.93502825] ; [171.93502825  63.06497175],0
b3,1,0.018302,5.566966,[37 39] ; [40 85],[29.11442786 46.88557214] ; [47.88557214 77.11442786],0
b2,1,0.018302,5.566966,[37 39] ; [40 85],[29.11442786 46.88557214] ; [47.88557214 77.11442786],0
b5,1,0.018947,5.50636,[62 57] ; [154  83],[72.20224719 46.79775281] ; [143.79775281  93.20224719],0
s6,1,0.02078,5.345187,[46 70] ; [124 111],[56.18233618 59.81766382] ; [113.81766382 121.18233618],0
p9,1,0.027687,4.847439,[74 41] ; [174  56],[82.66666667 32.33333333] ; [165.33333333  64.66666667],0
b1,1,0.029302,4.749763,[58 61] ; [ 87 150],[48.46910112 70.53089888] ; [ 96.53089888 140.46910112],0
a8,1,0.03277,4.557733,[ 10 103] ; [ 39 183],[16.52835821 96.47164179] ; [ 32.47164179 189.52835821],0
a1,1,0.035278,4.431674,[ 11 108] ; [  9 228],[  6.68539326 112.31460674] ; [ 13.31460674 223.68539326],0
r2,1,0.038199,4.296126,[102  17] ; [214  17],[107.44  11.56] ; [208.56  22.44],0
p8,1,0.041854,4.141083,[30 88] ; [ 84 148],[38.43428571 79.56571429] ; [ 75.56571429 156.43428571],0
u2,1,0.057312,3.6135,[17 29] ; [39 32],[22.01709402 23.98290598] ; [33.98290598 37.01709402],0
v4,1,0.073077,3.212516,[98 20] ; [210  24],[103.25  14.75] ; [204.75  29.25],0
v2,1,0.099992,2.705668,[48 66] ; [115 108],[55.13946588 58.86053412] ; [107.86053412 115.13946588],0
a3,1,0.141963,2.156549,[73 45] ; [163  71],[79.11363636 38.88636364] ; [156.88636364  77.11363636],0
v3,1,0.192369,1.699379,[32 82] ; [ 80 148],[37.33333333 76.66666667] ; [ 74.66666667 153.33333333],0
n5,1,0.225714,1.467666,[82 36] ; [148  87],[76.88385269 41.11614731] ; [153.11614731  81.88385269],0
p2,1,0.294615,1.09841,[76 42] ; [165  71],[80.33333333 37.66666667] ; [160.66666667  75.33333333],0
n3,1,0.318275,0.996022,[27 18] ; [47 21],[29.46902655 15.53097345] ; [44.53097345 23.46902655],0
s2,1,0.38437,0.756678,[37 81] ; [ 85 151],[40.66666667 77.33333333] ; [ 81.33333333 154.66666667],0
s3,1,0.389995,0.738957,[50 68] ; [110 123],[53.78917379 64.21082621] ; [106.21082621 126.78917379],0
a4,1,0.39601,0.720408,[42 76] ; [ 95 141],[45.66666667 72.33333333] ; [ 91.33333333 144.66666667],0
s8,1,0.415574,0.662797,[33 85] ; [ 76 160],[36.33333333 81.66666667] ; [ 72.66666667 163.33333333],0
p6,1,0.490408,0.47563,[22 94] ; [ 37 194],[19.72334294 96.27665706] ; [ 39.27665706 191.72334294],0
n1,1,0.497535,0.460191,[16 31] ; [27 40],[17.72807018 29.27192982] ; [25.27192982 41.72807018],0
a5,1,0.500969,0.452884,[73 46] ; [154  83],[75.87921348 43.12078652] ; [151.12078652  85.87921348],0
b4,1,0.510004,0.434059,[69 50] ; [146  91],[71.86797753 47.13202247] ; [143.13202247  93.86797753],0
p5,1,0.580797,0.304949,[  4 113] ; [ 11 224],[  4.98579545 112.01420455] ; [ 10.01420455 224.98579545],0
s7,1,0.585981,0.296664,[35 78] ; [ 77 150],[37.22352941 75.77647059] ; [ 74.77647059 152.22352941],0
v1,1,0.621347,0.243979,[52 65] ; [ 95 133],[49.85217391 67.14782609] ; [ 97.14782609 130.85217391],0
n2,1,0.62652,0.236809,[34 13] ; [47 22],[32.81896552 14.18103448] ; [48.18103448 20.81896552],0
p7,1,0.703462,0.144896,[52 66] ; [104 121],[53.66763848 64.33236152] ; [102.33236152 122.66763848],0
p3,1,0.719266,0.129197,[28 90] ; [ 52 184],[26.66666667 91.33333333] ; [ 53.33333333 182.66666667],0
u4,1,0.719371,0.129097,[  1 118] ; [  3 234],[  1.33707865 117.66292135] ; [  2.66292135 234.33707865],0
p1,1,0.73102,0.118177,[  7 112] ; [ 16 218],[  7.75354108 111.24645892] ; [ 15.24645892 218.75354108],0
s5,1,0.756079,0.096494,[26 90] ; [ 48 181],[24.88115942 91.11884058] ; [ 49.11884058 179.88115942],0
n6,1,0.832424,0.044772,[87 30] ; [173  63],[86.17563739 30.82436261] ; [173.82436261  62.17563739],0
p11,1,0.89188,0.018476,[81 38] ; [163  74],[81.56179775 37.43820225] ; [162.43820225  74.56179775],0
n4,1,0.915283,0.011316,[81 37] ; [164  73],[81.43661972 36.56338028] ; [163.56338028  73.43661972],0
s1,1,0.968397,0.00157,[  5 114] ; [ 10 223],[  5.07102273 113.92897727] ; [  9.92897727 223.07102273],0
d2,1,0.99016,0.000152,[49 68] ; [ 99 137],[49.05382436 67.94617564] ; [ 98.94617564 137.05382436],0
p12,1,1.0,0.0,[  5 112] ; [ 10 224],[  5. 112.] ; [ 10. 224.],0
