Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.246937,[ 9 28] ; [26  6],[18.76811594 18.23188406] ; [16.23188406 15.76811594],1
p7,1,0.000226,13.600936,[12 22] ; [25  6],[19.35384615 14.64615385] ; [17.64615385 13.35384615],1
p6,1,0.000707,11.470734,[ 5 32] ; [16 15],[11.42647059 25.57352941] ; [ 9.57352941 21.42647059],1
p8,1,0.003829,8.363088,[11 25] ; [21 11],[16.94117647 19.05882353] ; [15.05882353 16.94117647],0
d1,1,0.003983,8.291476,[15 22] ; [24  8],[20.91304348 16.08695652] ; [18.08695652 13.91304348],0
a5,1,0.009312,6.762078,[19 18] ; [26  6],[24.13043478 12.86956522] ; [20.86956522 11.13043478],0
s6,1,0.012611,6.2229,[28  9] ; [31  1],[31.63768116  5.36231884] ; [27.36231884  4.63768116],0
d3,1,0.02947,4.73994,[21 16] ; [26  6],[25.20289855 11.79710145] ; [21.79710145 10.20289855],0
p1,1,0.041588,4.151904,[ 2 34] ; [ 7 24],[ 4.8358209 31.1641791] ; [ 4.1641791 26.8358209],0
u2,1,0.084978,2.967033,[ 5 10] ; [8 4],[7.22222222 7.77777778] ; [5.77777778 6.22222222],0
a7,1,0.087117,2.92686,[29  8] ; [19 13],[25.73913043 11.26086957] ; [22.26086957  9.73913043],0
n6,1,0.123056,2.377991,[30  7] ; [20 11],[27.20588235  9.79411765] ; [22.79411765  8.20588235],0
p5,1,0.125233,2.350617,[ 1 35] ; [ 4 28],[ 2.64705882 33.35294118] ; [ 2.35294118 29.64705882],0
b1,1,0.147128,2.101779,[ 8 29] ; [12 20],[10.72463768 26.27536232] ; [ 9.27536232 22.72463768],0
p2,1,0.173654,1.851111,[24 12] ; [26  6],[26.47058824  9.52941176] ; [23.52941176  8.47058824],0
v4,1,0.19639,1.669018,[31  4] ; [31  1],[32.3880597  2.6119403] ; [29.6119403  2.3880597],0
n5,1,0.19679,1.666037,[12 25] ; [ 6 26],[ 9.65217391 27.34782609] ; [ 8.34782609 23.65217391],0
d4,1,0.197225,1.662806,[31  6] ; [30  2],[32.71014493  4.28985507] ; [28.28985507  3.71014493],0
u3,1,0.246671,1.342059,[8 7] ; [9 3],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
v3,1,0.258176,1.278509,[ 8 27] ; [11 20],[10.07575758 24.92424242] ; [ 8.92424242 22.07575758],0
b4,1,0.280219,1.166026,[22 15] ; [23  9],[24.13043478 12.86956522] ; [20.86956522 11.13043478],0
b5,1,0.28117,1.161427,[16 21] ; [18 14],[18.23188406 18.76811594] ; [15.76811594 16.23188406],0
s8,1,0.295864,1.092743,[15 22] ; [17 15],[17.15942029 19.84057971] ; [14.84057971 17.15942029],0
a1,1,0.296951,1.087838,[ 2 35] ; [ 4 28],[ 3.2173913 33.7826087] ; [ 2.7826087 29.2173913],0
r4,1,0.318821,0.993777,[29  8] ; [28  4],[30.56521739  6.43478261] ; [26.43478261  5.56521739],0
