Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5.6e-05,16.228492,[34 24] ; [ 5 28],[24.85714286 33.14285714] ; [14.14285714 18.85714286],1
s2,1,0.001057,10.724516,[34 24] ; [ 9 28],[26.25263158 31.74736842] ; [16.74736842 20.25263158],0
s3,1,0.00606,7.53248,[35 22] ; [12 25],[28.5 28.5] ; [18.5 18.5],0
s8,1,0.014035,6.033678,[27 31] ; [ 8 29],[21.36842105 36.63157895] ; [13.63157895 23.36842105],0
p9,1,0.016763,5.720998,[47 11] ; [21 15],[41.95744681 16.04255319] ; [26.04255319  9.95744681],0
s5,1,0.077727,3.111791,[22 33] ; [ 8 28],[18.13186813 36.86813187] ; [11.86813187 24.13186813],0
s4,1,0.101024,2.689306,[12 46] ; [ 3 34],[ 9.15789474 48.84210526] ; [ 5.84210526 31.15789474],0
a2,1,0.106022,2.612539,[14 44] ; [ 4 33],[10.98947368 47.01052632] ; [ 7.01052632 29.98947368],0
s1,1,0.153418,2.037937,[ 3 55] ; [ 5 32],[ 4.88421053 53.11578947] ; [ 3.11578947 33.88421053],0
n2,1,0.168598,1.895363,[15  3] ; [4 3],[13.68  4.32] ; [5.32 1.68],0
b1,1,0.169339,1.888785,[20 38] ; [18 19],[23.2 34.8] ; [14.8 22.2],0
u2,1,0.173016,1.856614,[16  4] ; [5 4],[14.48275862  5.51724138] ; [6.51724138 2.48275862],0
p10,1,0.180442,1.793981,[38 19] ; [19 17],[34.93548387 22.06451613] ; [22.06451613 13.93548387],0
n6,1,0.223117,1.484213,[35 22] ; [18 19],[32.13829787 24.86170213] ; [20.86170213 16.13829787],0
p2,1,0.224174,1.477447,[42 16] ; [30  6],[44.42553191 13.57446809] ; [27.57446809  8.42553191],0
a3,1,0.224373,1.476181,[37 21] ; [28  9],[39.68421053 18.31578947] ; [25.31578947 11.68421053],0
d3,1,0.240568,1.377263,[39 19] ; [29  8],[41.51578947 16.48421053] ; [26.48421053 10.51578947],0
u3,1,0.258383,1.2774,[16  5] ; [5 4],[14.7  6.3] ; [6.3 2.7],0
n4,1,0.302202,1.064454,[22 36] ; [18 19],[24.42105263 33.57894737] ; [15.57894737 21.42105263],0
p5,1,0.315013,1.009539,[ 2 55] ; [ 3 33],[ 3.06451613 53.93548387] ; [ 1.93548387 34.06451613],0
p6,1,0.353853,0.85959,[18 37] ; [ 8 26],[16.06741573 38.93258427] ; [ 9.93258427 24.06741573],0
p3,1,0.3746,0.788348,[27 31] ; [13 22],[24.94623656 33.05376344] ; [15.05376344 19.94623656],0
v3,1,0.37738,0.779221,[20 35] ; [16 19],[22. 33.] ; [14. 21.],0
a6,1,0.390739,0.73664,[38 20] ; [21 16],[36.02105263 21.97894737] ; [22.97894737 14.02105263],0
p11,1,0.445856,0.581165,[38 20] ; [27 10],[39.68421053 18.31578947] ; [25.31578947 11.68421053],0
b3,1,0.463436,0.537584,[15 16] ; [ 8 13],[13.71153846 17.28846154] ; [ 9.28846154 11.71153846],0
b2,1,0.463436,0.537584,[15 16] ; [ 8 13],[13.71153846 17.28846154] ; [ 9.28846154 11.71153846],0
v4,1,0.492859,0.470279,[53  4] ; [32  4],[52.09677419  4.90322581] ; [32.90322581  3.09677419],0
r3,1,0.50291,0.44879,[54  4] ; [33  4],[53.11578947  4.88421053] ; [33.88421053  3.11578947],0
r2,1,0.503375,0.447814,[49  7] ; [34  3],[49.97849462  6.02150538] ; [33.02150538  3.97849462],0
d4,1,0.504062,0.446373,[50  8] ; [30  7],[48.84210526  9.15789474] ; [31.15789474  5.84210526],0
a8,1,0.524976,0.404107,[ 4 48] ; [ 4 30],[ 4.8372093 47.1627907] ; [ 3.1627907 30.8372093],0
d5,1,0.532142,0.3903,[47 11] ; [28  9],[45.78947368 12.21052632] ; [29.21052632  7.78947368],0
b4,1,0.606292,0.26561,[36 22] ; [21 16],[34.8 23.2] ; [22.2 14.8],0
a5,1,0.613418,0.255228,[42 16] ; [25 12],[40.90526316 17.09473684] ; [26.09473684 10.90526316],0
n1,1,0.629412,0.232859,[ 7 11] ; [2 5],[ 6.48 11.52] ; [2.52 4.48],0
n3,1,0.629412,0.232859,[11  7] ; [5 2],[11.52  6.48] ; [4.48 2.52],0
u1,1,0.669616,0.182052,[ 8 50] ; [ 4 33],[ 7.32631579 50.67368421] ; [ 4.67368421 32.32631579],0
p7,1,0.679871,0.170271,[26 31] ; [18 18],[26.96774194 30.03225806] ; [17.03225806 18.96774194],0
p8,1,0.686837,0.162531,[25 33] ; [14 22],[24.06382979 33.93617021] ; [14.93617021 21.06382979],0
a4,1,0.715703,0.132647,[26 32] ; [18 19],[26.86315789 31.13684211] ; [17.13684211 19.86315789],0
v2,1,0.716167,0.132195,[33 21] ; [24 13],[33.82417582 20.17582418] ; [23.17582418 13.82417582],0
b5,1,0.739406,0.11065,[38 20] ; [23 14],[37.24210526 20.75789474] ; [23.75789474 13.24210526],0
p4,1,0.763865,0.090245,[26 32] ; [15 21],[25.29787234 32.70212766] ; [15.70212766 20.29787234],0
d1,1,0.77001,0.085476,[30 28] ; [18 19],[29.30526316 28.69473684] ; [18.69473684 18.30526316],0
a1,1,0.770778,0.084889,[ 4 54] ; [ 2 35],[ 3.66315789 54.33684211] ; [ 2.33684211 34.66315789],0
r1,1,0.776786,0.080378,[44 14] ; [29  8],[44.56842105 13.43157895] ; [28.43157895  8.56842105],0
a7,1,0.80986,0.057891,[41 17] ; [27 10],[41.51578947 16.48421053] ; [26.48421053 10.51578947],0
p12,1,0.822105,0.050552,[ 4 54] ; [ 2 33],[ 3.74193548 54.25806452] ; [ 2.25806452 32.74193548],0
p1,1,0.828523,0.046914,[ 7 50] ; [ 4 33],[ 6.67021277 50.32978723] ; [ 4.32978723 32.67021277],0
d2,1,0.859405,0.031376,[23 35] ; [14 23],[22.58947368 35.41052632] ; [14.41052632 22.58947368],0
r4,1,0.91348,0.011805,[46 12] ; [29  8],[45.78947368 12.21052632] ; [29.21052632  7.78947368],0
