Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,7.3e-05,15.738923,[99 28] ; [3 9],[93.1942446 33.8057554] ; [8.8057554 3.1942446],1
r4,1,7.5e-05,15.677607,[111  17] ; [5 7],[106.05714286  21.94285714] ; [9.94285714 2.05714286],1
a1,1,0.000886,11.052632,[  4 124] ; [3 9],[  6.4 121.6] ; [ 0.6 11.4],1
r2,1,0.001487,10.094494,[122   5] ; [8 3],[119.63768116   7.36231884] ; [10.36231884  0.63768116],0
p2,1,0.003216,8.680838,[101  26] ; [5 7],[96.84892086 30.15107914] ; [9.15107914 2.84892086],0
s8,1,0.008737,6.875819,[61 67] ; [ 1 11],[56.68571429 71.31428571] ; [5.31428571 6.68571429],0
d4,1,0.009358,6.753232,[104  23] ; [6 6],[100.50359712  26.49640288] ; [9.49640288 2.50359712],0
s2,1,0.013548,6.096115,[79 49] ; [3 9],[74.97142857 53.02857143] ; [7.02857143 4.97142857],0
s6,1,0.016246,5.776085,[90 36] ; [4 7],[86.45255474 39.54744526] ; [7.54744526 3.45255474],0
r3,1,0.019581,5.44887,[114  13] ; [8 4],[111.4676259  15.5323741] ; [10.5323741  1.4676259],0
d1,1,0.025082,5.018223,[75 53] ; [3 9],[71.31428571 56.68571429] ; [6.68571429 5.31428571],0
n6,1,0.026341,4.933472,[96 30] ; [5 6],[92.89051095 33.10948905] ; [8.10948905 2.89051095],0
d3,1,0.029488,4.738918,[90 35] ; [5 7],[86.67883212 38.32116788] ; [8.32116788 3.67883212],0
b1,1,0.043203,4.087454,[57 71] ; [9 3],[60.34285714 67.65714286] ; [5.65714286 6.34285714],0
d5,1,0.066105,3.377186,[102  24] ; [7 5],[99.52173913 26.47826087] ; [9.47826087 2.52173913],0
p1,1,0.072239,3.231398,[ 11 116] ; [3 9],[ 12.79136691 114.20863309] ; [ 1.20863309 10.79136691],0
a4,1,0.092422,2.831682,[64 63] ; [3 9],[61.21582734 65.78417266] ; [5.78417266 6.21582734],0
