Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,87.214645,[124   8] ; [19 43],[97.29896907 34.70103093] ; [45.70103093 16.29896907],1
p11,1,0.0,30.626404,[105  28] ; [25 39],[87.76649746 45.23350254] ; [42.23350254 21.76649746],1
r4,1,6e-06,20.612813,[118  15] ; [39 25],[105.99492386  27.00507614] ; [51.00507614 12.99492386],1
p2,1,0.000121,14.782577,[101  32] ; [31 33],[89.11675127 43.88324873] ; [42.88324873 21.11675127],1
s2,1,0.00127,10.385361,[78 55] ; [21 41],[67.52307692 65.47692308] ; [31.47692308 30.52307692],0
v4,1,0.002324,9.274357,[125   8] ; [51 13],[118.82233503  14.17766497] ; [57.17766497  6.82233503],0
n5,1,0.002811,8.926446,[100  32] ; [35 29],[90.91836735 41.08163265] ; [44.08163265 19.91836735],0
s3,1,0.003303,8.632083,[81 51] ; [25 39],[71.3877551 60.6122449] ; [34.6122449 29.3877551],0
r3,1,0.005755,7.625585,[126   7] ; [52 11],[120.78571429  12.21428571] ; [57.21428571  5.78571429],0
n6,1,0.010293,6.583537,[114  19] ; [45 19],[107.34517766  25.65482234] ; [51.65482234 12.34517766],0
p12,1,0.010482,6.551124,[ 17 116] ; [ 1 63],[ 12.15228426 120.84771574] ; [ 5.84771574 58.15228426],0
n4,1,0.010985,6.467678,[104  29] ; [39 25],[96.54314721 36.45685279] ; [46.45685279 17.54314721],0
s8,1,0.013604,6.088774,[60 72] ; [17 46],[52.12307692 79.87692308] ; [24.87692308 38.12307692],0
p3,1,0.013684,6.078419,[53 79] ; [14 49],[45.35384615 86.64615385] ; [21.64615385 41.35384615],0
r2,1,0.015538,5.854393,[128   5] ; [53  8],[124.08762887   8.91237113] ; [56.91237113  4.08762887],0
s5,1,0.022358,5.217698,[40 84] ; [10 51],[33.51351351 90.48648649] ; [16.48648649 44.51351351],0
n2,1,0.035754,4.408794,[28 10] ; [18 18],[23.62162162 14.37837838] ; [22.37837838 13.62162162],0
v3,1,0.044812,4.025712,[49 75] ; [15 46],[42.8972973 81.1027027] ; [21.1027027 39.8972973],0
s1,1,0.060488,3.523952,[  3 130] ; [ 5 58],[  5.42857143 127.57142857] ; [ 2.57142857 60.42857143],0
a1,1,0.064233,3.424563,[  3 130] ; [ 5 59],[  5.40101523 127.59898477] ; [ 2.59898477 61.40101523],0
s6,1,0.069386,3.297484,[87 45] ; [33 30],[81.23076923 50.76923077] ; [38.76923077 24.23076923],0
