Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.006002,7.549751,[4 3] ; [ 7 44],[1.32758621 5.67241379] ; [ 9.67241379 41.32758621],0
v3,1,0.008949,6.832884,[4 3] ; [ 8 45],[1.4 5.6] ; [10.6 42.4],0
p11,1,0.021234,5.307523,[6 1] ; [21 32],[3.15 3.85] ; [23.85 29.15],0
r4,1,0.036651,4.366577,[4 3] ; [11 42],[1.75 5.25] ; [13.25 39.75],0
s7,1,0.044716,4.029304,[3 2] ; [10 40],[1.18181818 3.81818182] ; [11.81818182 38.18181818],0
s6,1,0.052374,3.763783,[4 3] ; [12 41],[1.86666667 5.13333333] ; [14.13333333 38.86666667],0
r1,1,0.089245,2.887948,[5 2] ; [20 33],[2.91666667 4.08333333] ; [22.08333333 30.91666667],0
b5,1,0.117948,2.444359,[1 6] ; [24 29],[2.91666667 4.08333333] ; [22.08333333 30.91666667],0
p10,1,0.125509,2.34719,[4 2] ; [18 34],[2.27586207 3.72413793] ; [19.72413793 32.27586207],0
a8,1,0.150229,2.069928,[2 4] ; [ 6 45],[0.84210526 5.15789474] ; [ 7.15789474 43.84210526],0
n2,1,0.182698,1.775543,[3 1] ; [ 9 14],[1.77777778 2.22222222] ; [10.22222222 12.77777778],0
a7,1,0.193255,1.692626,[5 2] ; [24 29],[3.38333333 3.61666667] ; [25.61666667 27.38333333],0
p7,1,0.19379,1.68857,[3 4] ; [11 42],[1.63333333 5.36666667] ; [12.36666667 40.63333333],0
n4,1,0.2215,1.494624,[6 1] ; [33 20],[4.55 2.45] ; [34.45 18.55],0
p9,1,0.233961,1.416618,[4 2] ; [21 30],[2.63157895 3.36842105] ; [22.36842105 28.63157895],0
p5,1,0.237868,1.393184,[1 6] ; [ 2 50],[0.3559322 6.6440678] ; [ 2.6440678 49.3559322],0
u2,1,0.310557,1.028307,[1 1] ; [ 4 17],[0.43478261 1.56521739] ; [ 4.56521739 16.43478261],0
d4,1,0.334384,0.931844,[6 1] ; [36 17],[4.9 2.1] ; [37.1 15.9],0
v2,1,0.449758,0.571261,[3 4] ; [15 37],[2.13559322 4.86440678] ; [15.86440678 36.13559322],0
a5,1,0.49202,0.472107,[3 4] ; [30 23],[3.85 3.15] ; [29.15 23.85],0
n5,1,0.511368,0.431267,[5 2] ; [31 22],[4.2 2.8] ; [31.8 21.2],0
r2,1,0.513193,0.427551,[3 4] ; [28 22],[3.80701754 3.19298246] ; [27.19298246 22.80701754],0
d2,1,0.519738,0.414412,[4 3] ; [23 29],[3.20338983 3.79661017] ; [23.79661017 28.20338983],0
a2,1,0.544339,0.367557,[1 6] ; [ 4 49],[0.58333333 6.41666667] ; [ 4.41666667 48.58333333],0
d1,1,0.571933,0.319459,[2 5] ; [21 32],[2.68333333 4.31666667] ; [20.31666667 32.68333333],0
d5,1,0.571933,0.319459,[5 2] ; [32 21],[4.31666667 2.68333333] ; [32.68333333 20.31666667],0
a4,1,0.593777,0.284485,[3 4] ; [17 35],[2.37288136 4.62711864] ; [17.62711864 34.37288136],0
a3,1,0.611452,0.258066,[5 2] ; [32 20],[4.38983051 2.61016949] ; [32.61016949 19.38983051],0
p3,1,0.614017,0.254366,[1 6] ; [12 41],[1.51666667 5.48333333] ; [11.48333333 41.51666667],0
p2,1,0.642845,0.215041,[3 4] ; [18 35],[2.45 4.55] ; [18.55 34.45],0
b1,1,0.687573,0.161725,[3 4] ; [27 26],[3.5 3.5] ; [26.5 26.5],0
d3,1,0.687573,0.161725,[3 4] ; [27 26],[3.5 3.5] ; [26.5 26.5],0
b4,1,0.704382,0.143953,[5 2] ; [34 19],[4.55 2.45] ; [34.45 18.55],0
s2,1,0.813599,0.055595,[1 5] ; [11 42],[1.22033898 4.77966102] ; [10.77966102 42.22033898],0
p4,1,0.816397,0.053908,[2 5] ; [13 40],[1.75 5.25] ; [13.25 39.75],0
s1,1,0.818352,0.052746,[1 6] ; [ 6 47],[0.81666667 6.18333333] ; [ 6.18333333 46.81666667],0
b3,1,0.865664,0.028618,[2 3] ; [13 23],[1.82926829 3.17073171] ; [13.17073171 22.82926829],0
b2,1,0.865664,0.028618,[2 3] ; [13 23],[1.82926829 3.17073171] ; [13.17073171 22.82926829],0
s3,1,0.897716,0.016524,[2 4] ; [16 36],[1.86206897 4.13793103] ; [16.13793103 35.86206897],0
v1,1,0.926623,0.008481,[2 5] ; [14 38],[1.89830508 5.10169492] ; [14.10169492 37.89830508],0
n1,1,0.935989,0.00645,[2 2] ; [11 12],[1.92592593 2.07407407] ; [11.07407407 11.92592593],0
p1,1,0.937137,0.00622,[1 6] ; [ 7 46],[0.93333333 6.06666667] ; [ 7.06666667 45.93333333],0
s5,1,0.952319,0.003575,[1 6] ; [ 7 45],[0.94915254 6.05084746] ; [ 7.05084746 44.94915254],0
s4,1,0.955093,0.003171,[1 6] ; [ 8 45],[1.05 5.95] ; [ 7.95 45.05],0
a6,1,0.978419,0.000732,[3 4] ; [23 30],[3.03333333 3.96666667] ; [22.96666667 30.03333333],0
