Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000411,12.479387,[10 15] ; [88 28],[17.37588652  7.62411348] ; [80.62411348 35.37588652],1
p4,1,0.004734,7.978326,[ 9 16] ; [77 39],[15.24822695  9.75177305] ; [70.75177305 45.24822695],0
n4,1,0.010637,6.524975,[11 14] ; [82 34],[16.4893617  8.5106383] ; [76.5106383 39.4893617],0
a5,1,0.016367,5.763044,[13 12] ; [88 28],[17.90780142  7.09219858] ; [83.09219858 32.90780142],0
a6,1,0.017947,5.601274,[11 14] ; [80 36],[16.13475177  8.86524823] ; [74.86524823 41.13475177],0
u1,1,0.028429,4.801846,[ 1 24] ; [27 89],[ 4.96453901 20.03546099] ; [23.03546099 92.96453901],0
s1,1,0.036857,4.35702,[ 3 22] ; [  3 111],[ 1.07913669 23.92086331] ; [  4.92086331 109.07913669],0
d3,1,0.03831,4.291188,[14 10] ; [91 25],[18.  6.] ; [87. 29.],0
v2,1,0.040162,4.211033,[ 7 17] ; [59 54],[11.5620438 12.4379562] ; [54.4379562 58.5620438],0
s6,1,0.04822,3.902293,[17  6] ; [100  12],[19.93333333  3.06666667] ; [97.06666667 14.93333333],0
p11,1,0.070085,3.281019,[14 11] ; [86 30],[17.73049645  7.26950355] ; [82.26950355 33.73049645],0
a4,1,0.076093,3.146438,[ 7 18] ; [55 61],[10.9929078 14.0070922] ; [51.0070922 64.9929078],0
d1,1,0.08021,3.060636,[11 14] ; [73 43],[14.89361702 10.10638298] ; [69.10638298 46.89361702],0
b2,1,0.085788,2.951677,[6 9] ; [11 47],[ 3.49315068 11.50684932] ; [13.50684932 44.49315068],0
b3,1,0.085788,2.951677,[6 9] ; [11 47],[ 3.49315068 11.50684932] ; [13.50684932 44.49315068],0
n3,1,0.087669,2.916667,[10  5] ; [18  2],[12.  3.] ; [16.  4.],0
s3,1,0.0946,2.794306,[15 10] ; [87 27],[18.34532374  6.65467626] ; [83.65467626 30.34532374],0
p3,1,0.194012,1.686885,[10 15] ; [63 53],[12.94326241 12.05673759] ; [60.05673759 55.94326241],0
b4,1,0.213509,1.547474,[18  7] ; [68 48],[15.24822695  9.75177305] ; [70.75177305 45.24822695],0
d4,1,0.214966,1.537665,[18  7] ; [96 20],[20.21276596  4.78723404] ; [93.78723404 22.21276596],0
p10,1,0.216373,1.528263,[19  6] ; [98 16],[21.04316547  3.95683453] ; [95.95683453 18.04316547],0
p7,1,0.257243,1.283536,[13 11] ; [75 38],[15.41605839  8.58394161] ; [72.58394161 40.41605839],0
p1,1,0.263109,1.252325,[ 4 21] ; [ 10 106],[ 2.4822695 22.5177305] ; [ 11.5177305 104.4822695],0
p5,1,0.319927,0.989244,[ 1 24] ; [ 12 104],[ 2.30496454 22.69503546] ; [ 10.69503546 105.30496454],0
p8,1,0.328787,0.953671,[10 14] ; [60 54],[12.17391304 11.82608696] ; [57.82608696 56.17391304],0
n6,1,0.367649,0.811594,[20  5] ; [100  15],[21.42857143  3.57142857] ; [98.57142857 16.42857143],0
s8,1,0.391157,0.735344,[11 14] ; [62 54],[12.94326241 12.05673759] ; [60.05673759 55.94326241],0
d2,1,0.40662,0.688662,[10 15] ; [57 59],[11.87943262 13.12056738] ; [55.12056738 60.87943262],0
a7,1,0.428553,0.626741,[15  9] ; [82 34],[16.62857143  7.37142857] ; [80.37142857 35.62857143],0
v4,1,0.479245,0.500582,[24  1] ; [113   2],[24.46428571  0.53571429] ; [112.53571429   2.46428571],0
r3,1,0.484092,0.489632,[24  1] ; [112   2],[24.46043165  0.53956835] ; [111.53956835   2.46043165],0
p12,1,0.500798,0.453244,[ 1 24] ; [  9 106],[ 1.78571429 23.21428571] ; [  8.21428571 106.78571429],0
n1,1,0.537371,0.380435,[6 9] ; [ 6 14],[5.14285714 9.85714286] ; [ 6.85714286 13.14285714],0
p6,1,0.537853,0.379534,[ 9 15] ; [51 64],[10.35971223 13.64028777] ; [49.64028777 65.35971223],0
s7,1,0.5531,0.351793,[13 11] ; [68 44],[14.29411765  9.70588235] ; [66.70588235 45.29411765],0
s5,1,0.559703,0.340219,[14  9] ; [58 49],[12.73846154 10.26153846] ; [59.26153846 47.73846154],0
n5,1,0.568401,0.325364,[16  9] ; [81 35],[17.19858156  7.80141844] ; [79.80141844 36.19858156],0
s2,1,0.601061,0.273398,[19  6] ; [80 33],[17.93478261  7.06521739] ; [81.06521739 31.93478261],0
n2,1,0.604542,0.268199,[13  2] ; [16  4],[12.42857143  2.57142857] ; [16.57142857  3.42857143],0
u3,1,0.606394,0.265459,[9 6] ; [19  9],[9.76744186 5.23255814] ; [18.23255814  9.76744186],0
b5,1,0.629382,0.232899,[14 11] ; [71 45],[15.07092199  9.92907801] ; [69.92907801 46.07092199],0
d5,1,0.675782,0.174913,[19  5] ; [96 20],[19.71428571  4.28571429] ; [95.28571429 20.71428571],0
a1,1,0.699354,0.149145,[ 1 24] ; [  3 113],[ 0.70921986 24.29078014] ; [  3.29078014 112.70921986],0
p2,1,0.713749,0.134561,[19  6] ; [92 24],[19.68085106  5.31914894] ; [91.31914894 24.68085106],0
v1,1,0.764549,0.089708,[12 13] ; [59 56],[12.67857143 12.32142857] ; [58.32142857 56.67857143],0
a8,1,0.769714,0.085702,[ 1 23] ; [  6 100],[ 1.29230769 22.70769231] ; [  5.70769231 100.29230769],0
u2,1,0.810529,0.057477,[7 8] ; [12 16],[6.62790698 8.37209302] ; [12.37209302 15.62790698],0
